gene_id	gene_biotype	gene_name	species
ENSMUSG00000102693	TEC	4933401J01Rik	mouse
ENSMUSG00000064842	snRNA	Gm26206	mouse
ENSMUSG00000051951	protein_coding	Xkr4	mouse
ENSMUSG00000102851	processed_pseudogene	Gm18956	mouse
ENSMUSG00000103377	TEC	Gm37180	mouse
ENSMUSG00000104017	TEC	Gm37363	mouse
ENSMUSG00000103025	TEC	Gm37686	mouse
ENSMUSG00000089699	antisense	Gm1992	mouse
ENSMUSG00000103201	TEC	Gm37329	mouse
ENSMUSG00000103147	processed_pseudogene	Gm7341	mouse
ENSMUSG00000103161	TEC	Gm38148	mouse
ENSMUSG00000102331	sense_intronic	Gm19938	mouse
ENSMUSG00000102348	TEC	Gm10568	mouse
ENSMUSG00000102592	TEC	Gm38385	mouse
ENSMUSG00000088333	snRNA	Gm27396	mouse
ENSMUSG00000102343	lincRNA	Gm37381	mouse
ENSMUSG00000025900	protein_coding	Rp1	mouse
ENSMUSG00000102948	processed_pseudogene	Gm6101	mouse
ENSMUSG00000104123	TEC	Gm37483	mouse
ENSMUSG00000025902	protein_coding	Sox17	mouse
ENSMUSG00000104238	processed_transcript	Gm37587	mouse
ENSMUSG00000102269	processed_pseudogene	Gm7357	mouse
ENSMUSG00000096126	snRNA	Gm22307	mouse
ENSMUSG00000103003	processed_pseudogene	Gm38076	mouse
ENSMUSG00000104328	lincRNA	Gm37323	mouse
ENSMUSG00000102735	processed_pseudogene	Gm7369	mouse
ENSMUSG00000098104	processed_pseudogene	Gm6085	mouse
ENSMUSG00000102175	processed_pseudogene	Gm6119	mouse
ENSMUSG00000088000	snRNA	Gm25493	mouse
ENSMUSG00000103265	processed_pseudogene	Gm2053	mouse
ENSMUSG00000103922	processed_pseudogene	Gm6123	mouse
ENSMUSG00000033845	protein_coding	Mrpl15	mouse
ENSMUSG00000102275	TEC	Gm37144	mouse
ENSMUSG00000025903	protein_coding	Lypla1	mouse
ENSMUSG00000104217	protein_coding	Gm37988	mouse
ENSMUSG00000033813	protein_coding	Tcea1	mouse
ENSMUSG00000062588	processed_pseudogene	Gm6104	mouse
ENSMUSG00000103280	TEC	Gm37277	mouse
ENSMUSG00000002459	protein_coding	Rgs20	mouse
ENSMUSG00000091305	processed_pseudogene	Gm17100	mouse
ENSMUSG00000102653	TEC	Gm37079	mouse
ENSMUSG00000085623	antisense	Gm16041	mouse
ENSMUSG00000091665	processed_pseudogene	Gm17101	mouse
ENSMUSG00000033793	protein_coding	Atp6v1h	mouse
ENSMUSG00000104352	processed_pseudogene	Gm7182	mouse
ENSMUSG00000104046	TEC	Gm37567	mouse
ENSMUSG00000102907	TEC	Gm38264	mouse
ENSMUSG00000025905	protein_coding	Oprk1	mouse
ENSMUSG00000103936	processed_pseudogene	Gm36965	mouse
ENSMUSG00000093015	miRNA	Gm22463	mouse
ENSMUSG00000103519	TEC	Gm37429	mouse
ENSMUSG00000033774	protein_coding	Npbwr1	mouse
ENSMUSG00000103090	processed_pseudogene	Gm19214	mouse
ENSMUSG00000025907	protein_coding	Rb1cc1	mouse
ENSMUSG00000090031	antisense	4732440D04Rik	mouse
ENSMUSG00000087247	protein_coding	Alkal1	mouse
ENSMUSG00000103355	processed_pseudogene	Gm2147	mouse
ENSMUSG00000102706	processed_pseudogene	Gm7417	mouse
ENSMUSG00000103845	processed_pseudogene	Gm19026	mouse
ENSMUSG00000033740	protein_coding	St18	mouse
ENSMUSG00000103329	TEC	Gm42492	mouse
ENSMUSG00000104385	processed_pseudogene	Gm7449	mouse
ENSMUSG00000102135	processed_pseudogene	Gm37108	mouse
ENSMUSG00000103282	processed_pseudogene	Gm37275	mouse
ENSMUSG00000102534	processed_pseudogene	Gm37225	mouse
ENSMUSG00000102213	processed_pseudogene	Gm37489	mouse
ENSMUSG00000103629	processed_pseudogene	Gm5694	mouse
ENSMUSG00000051285	protein_coding	Pcmtd1	mouse
ENSMUSG00000098201	processed_pseudogene	Gm26983	mouse
ENSMUSG00000103509	TEC	Gm38372	mouse
ENSMUSG00000048538	processed_pseudogene	Gm9826	mouse
ENSMUSG00000103709	processed_pseudogene	Nras-ps2	mouse
ENSMUSG00000077244	snoRNA	Gm23274	mouse
ENSMUSG00000102768	processed_pseudogene	Gm19002	mouse
ENSMUSG00000097797	lincRNA	Gm26901	mouse
ENSMUSG00000103498	processed_pseudogene	Gm18984	mouse
ENSMUSG00000103067	lincRNA	Gm30414	mouse
ENSMUSG00000102320	processed_pseudogene	Gm37791	mouse
ENSMUSG00000104226	processed_pseudogene	Gm7470	mouse
ENSMUSG00000103903	processed_pseudogene	Rps2-ps2	mouse
ENSMUSG00000103557	processed_pseudogene	Gm38216	mouse
ENSMUSG00000025909	protein_coding	Sntg1	mouse
ENSMUSG00000102647	TEC	Gm38024	mouse
ENSMUSG00000086235	processed_pseudogene	Gm16284	mouse
ENSMUSG00000102253	TEC	Gm38259	mouse
ENSMUSG00000093970	miRNA	Gm23358	mouse
ENSMUSG00000103884	TEC	Gm37005	mouse
ENSMUSG00000084353	processed_pseudogene	Gm15452	mouse
ENSMUSG00000103933	processed_pseudogene	Gm36964	mouse
ENSMUSG00000076135	miRNA	Gm24276	mouse
ENSMUSG00000086195	processed_pseudogene	Gm6152	mouse
ENSMUSG00000104504	processed_pseudogene	Gm7445	mouse
ENSMUSG00000066693	processed_pseudogene	Gm7493	mouse
ENSMUSG00000102316	TEC	Gm37629	mouse
ENSMUSG00000103819	processed_pseudogene	Gm38008	mouse
ENSMUSG00000102871	TEC	Gm37143	mouse
ENSMUSG00000101571	processed_pseudogene	Gm6187	mouse
ENSMUSG00000104428	processed_pseudogene	Gm18299	mouse
ENSMUSG00000102272	processed_pseudogene	Gm7512	mouse
ENSMUSG00000065625	snRNA	Gm24765	mouse
ENSMUSG00000103411	processed_pseudogene	Gm18300	mouse
ENSMUSG00000061024	protein_coding	Rrs1	mouse
ENSMUSG00000025911	protein_coding	Adhfe1	mouse
ENSMUSG00000079671	processed_transcript	2610203C22Rik	mouse
ENSMUSG00000081441	processed_pseudogene	Gm6161	mouse
ENSMUSG00000067879	protein_coding	Vxn	mouse
ENSMUSG00000099827	lincRNA	Gm29520	mouse
ENSMUSG00000025912	protein_coding	Mybl1	mouse
ENSMUSG00000045210	protein_coding	Vcpip1	mouse
ENSMUSG00000097893	antisense	1700034P13Rik	mouse
ENSMUSG00000025915	protein_coding	Sgk3	mouse
ENSMUSG00000046334	processed_pseudogene	Gm6195	mouse
ENSMUSG00000088916	snRNA	Gm22607	mouse
ENSMUSG00000046101	protein_coding	Mcmdc2	mouse
ENSMUSG00000098234	lincRNA	Snhg6	mouse
ENSMUSG00000093178	snoRNA	Snord87	mouse
ENSMUSG00000099032	protein_coding	Tcf24	mouse
ENSMUSG00000104025	TEC	E330040D14Rik	mouse
ENSMUSG00000025916	protein_coding	Ppp1r42	mouse
ENSMUSG00000087199	antisense	Gm15818	mouse
ENSMUSG00000095780	snRNA	Gm24674	mouse
ENSMUSG00000025917	protein_coding	Cops5	mouse
ENSMUSG00000056763	protein_coding	Cspp1	mouse
ENSMUSG00000102356	TEC	1700047N06Rik	mouse
ENSMUSG00000067851	protein_coding	Arfgef1	mouse
