gene_id	gene_biotype	gene_name	species
PBANKA_0000101	protein_coding	PBANKA-0000101-pb	p.berghei
PBANKA_0000201	protein_coding	PBANKA-0000201-pb	p.berghei
PBANKA_0000301	protein_coding	PBANKA-0000301-pb	p.berghei
PBANKA_0000401	protein_coding	PBANKA-0000401-pb	p.berghei
PBANKA_0000600	protein_coding	PBANKA-0000600-pb	p.berghei
PBANKA_0000701	protein_coding	PBANKA-0000701-pb	p.berghei
PBANKA_0000801	protein_coding	PBANKA-0000801-pb	p.berghei
PBANKA_0000901	protein_coding	PBANKA-0000901-pb	p.berghei
PBANKA_0001001	protein_coding	PBANKA-0001001-pb	p.berghei
PBANKA_0001101	protein_coding	PBANKA-0001101-pb	p.berghei
PBANKA_0001200	protein_coding	PBANKA-0001200-pb	p.berghei
PBANKA_0001201	protein_coding	PBANKA-0001201-pb	p.berghei
PBANKA_0001301	protein_coding	PBANKA-0001301-pb	p.berghei
PBANKA_0001401	protein_coding	PBANKA-0001401-pb	p.berghei
PBANKA_0001501	protein_coding	PBANKA-0001501-pb	p.berghei
PBANKA_0001601	protein_coding	PBANKA-0001601-pb	p.berghei
PBANKA_0006300	protein_coding	PBANKA-0006300-pb	p.berghei
PBANKA_0006401	protein_coding	PBANKA-0006401-pb	p.berghei
PBANKA_0006501	protein_coding	PBANKA-0006501-pb	p.berghei
PBANKA_0006600	protein_coding	PBANKA-0006600-pb	p.berghei
PBANKA_0006701	protein_coding	PBANKA-0006701-pb	p.berghei
PBANKA_0006800	protein_coding	PBANKA-0006800-pb	p.berghei
PBANKA_0006900	protein_coding	PBANKA-0006900-pb	p.berghei
PBANKA_0007000	protein_coding	PBANKA-0007000-pb	p.berghei
PBANKA_0007100	protein_coding	PBANKA-0007100-pb	p.berghei
PBANKA_0007200	protein_coding	PBANKA-0007200-pb	p.berghei
PBANKA_0007300	protein_coding	PBANKA-0007300-pb	p.berghei
PBANKA_0007401	protein_coding	PBANKA-0007401-pb	p.berghei
PBANKA_0007501	protein_coding	PBANKA-0007501-pb	p.berghei
PBANKA_0007601	protein_coding	PBANKA-0007601-pb	p.berghei
PBANKA_0007701	protein_coding	PBANKA-0007701-pb	p.berghei
PBANKA_0007801	protein_coding	PBANKA-0007801-pb	p.berghei
PBANKA_0007901	protein_coding	PBANKA-0007901-pb	p.berghei
PBANKA_0008001	protein_coding	PBANKA-0008001-pb	p.berghei
PBANKA_0008101	protein_coding	PBANKA-0008101-pb	p.berghei
PBANKA_0008201	protein_coding	PBANKA-0008201-pb	p.berghei
PBANKA_0008301	protein_coding	PBANKA-0008301-pb	p.berghei
PBANKA_0008401	protein_coding	PBANKA-0008401-pb	p.berghei
PBANKA_0008501	protein_coding	PBANKA-0008501-pb	p.berghei
PBANKA_0008601	protein_coding	PBANKA-0008601-pb	p.berghei
PBANKA_0008701	protein_coding	PBANKA-0008701-pb	p.berghei
PBANKA_0008801	protein_coding	PBANKA-0008801-pb	p.berghei
PBANKA_0008901	protein_coding	PBANKA-0008901-pb	p.berghei
PBANKA_0009101	protein_coding	PBANKA-0009101-pb	p.berghei
PBANKA_0100021	protein_coding	PBANKA-0100021-pb	p.berghei
PBANKA_0100041	protein_coding	PBANKA-0100041-pb	p.berghei
PBANKA_0100061	protein_coding	PBANKA-0100061-pb	p.berghei
PBANKA_0100081	protein_coding	PBANKA-0100081-pb	p.berghei
PBANKA_0100100	protein_coding	PBANKA-0100100-pb	p.berghei
PBANKA_0100200	protein_coding	PBANKA-0100200-pb	p.berghei
PBANKA_0100300	protein_coding	PBANKA-0100300-pb	p.berghei
PBANKA_0100400	protein_coding	Pb235-pb	p.berghei
PBANKA_0100500	protein_coding	PBANKA-0100500-pb	p.berghei
PBANKA_0100600	protein_coding	SMAC-pb	p.berghei
PBANKA_0100700	protein_coding	PBANKA-0100700-pb	p.berghei
PBANKA_0100800	protein_coding	PBANKA-0100800-pb	p.berghei
PBANKA_0100900	protein_coding	MTR4-pb	p.berghei
PBANKA_0101000	protein_coding	PBANKA-0101000-pb	p.berghei
PBANKA_0101100	protein_coding	PALM-pb	p.berghei
PBANKA_0101200	protein_coding	EF-G-pb	p.berghei
PBANKA_0101300	protein_coding	PBANKA-0101300-pb	p.berghei
PBANKA_0101400	protein_coding	PBANKA-0101400-pb	p.berghei
PBANKA_0101500	protein_coding	PBANKA-0101500-pb	p.berghei
PBANKA_0101600	protein_coding	JmjC2-pb	p.berghei
PBANKA_0101700	protein_coding	PBANKA-0101700-pb	p.berghei
PBANKA_0101800	protein_coding	PBANKA-0101800-pb	p.berghei
PBANKA_0101900	protein_coding	PBANKA-0101900-pb	p.berghei
PBANKA_0102000	protein_coding	BCS1-pb	p.berghei
PBANKA_0102100	protein_coding	DHODH-pb	p.berghei
PBANKA_0102200	protein_coding	TEX1-pb	p.berghei
PBANKA_0102300	protein_coding	CAX-pb	p.berghei
PBANKA_0102400	protein_coding	PBANKA-0102400-pb	p.berghei
PBANKA_0102500	protein_coding	PBANKA-0102500-pb	p.berghei
PBANKA_0102600	protein_coding	CEP76-pb	p.berghei
PBANKA_0102700	protein_coding	PBANKA-0102700-pb	p.berghei
PBANKA_0102800	protein_coding	PBANKA-0102800-pb	p.berghei
PBANKA_0102900	protein_coding	SIP2-pb	p.berghei
PBANKA_0103000	protein_coding	PBANKA-0103000-pb	p.berghei
PBANKA_0103100	protein_coding	PBANKA-0103100-pb	p.berghei
PBANKA_0103200	protein_coding	PBANKA-0103200-pb	p.berghei
PBANKA_0103300	protein_coding	PBANKA-0103300-pb	p.berghei
PBANKA_0103400	protein_coding	GILP-pb	p.berghei
PBANKA_0103500	protein_coding	PBANKA-0103500-pb	p.berghei
PBANKA_0103700	protein_coding	PBANKA-0103700-pb	p.berghei
PBANKA_0103800	protein_coding	PBANKA-0103800-pb	p.berghei
PBANKA_0103900	protein_coding	PBANKA-0103900-pb	p.berghei
PBANKA_0104000	protein_coding	PBANKA-0104000-pb	p.berghei
PBANKA_0104100	protein_coding	ARK1-pb	p.berghei
PBANKA_0104200	protein_coding	PBANKA-0104200-pb	p.berghei
PBANKA_0104300	protein_coding	PBANKA-0104300-pb	p.berghei
PBANKA_0104400	protein_coding	PBANKA-0104400-pb	p.berghei
PBANKA_0104500	protein_coding	PBANKA-0104500-pb	p.berghei
PBANKA_0104600	protein_coding	RAD50-pb	p.berghei
PBANKA_0104700	protein_coding	ELO-B-pb	p.berghei
PBANKA_0104800	protein_coding	PBANKA-0104800-pb	p.berghei
PBANKA_0104900	protein_coding	PBANKA-0104900-pb	p.berghei
PBANKA_0105000	protein_coding	PEX4-pb	p.berghei
PBANKA_0105100	protein_coding	PBANKA-0105100-pb	p.berghei
PBANKA_0105200	protein_coding	PTB-pb	p.berghei
PBANKA_0105300	protein_coding	PBANKA-0105300-pb	p.berghei
