	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
12x18	0.040735256	0.033750195	1.441012e-10	1.4436556e-10	1.4396218e-10	0.0062193754	1.444011e-10	1.4434932e-10	0.2525775	1.4356102e-10	1.4458684e-10	1.4408966e-10	0.66671765	1.441614e-10
13x17	0.044190373	0.039990418	1.4037055e-10	1.3967989e-10	1.3983156e-10	1.4072066e-10	0.048575893	1.402643e-10	0.24717377	1.4054817e-10	1.4024398e-10	1.4074213e-10	0.60064924	0.019420357
13x19	1.2090912e-10	1.2075055e-10	1.2052415e-10	0.011145908	0.050355658	1.2065664e-10	0.04617446	1.1992747e-10	0.120174795	1.2068885e-10	0.46460205	0.024779338	0.23630749	0.046460304
13x21	1.15071695e-10	1.15606726e-10	0.019715462	0.062481694	0.029049562	1.15043836e-10	1.14848485e-10	0.005282149	0.020860346	1.14761776e-10	0.858204	0.0044068075	1.1532789e-10	1.15133396e-10
14x18	0.08206706	1.3848052e-10	1.379117e-10	0.04095124	0.024945958	1.380367e-10	0.042300154	1.3771377e-10	0.21723643	1.3829021e-10	1.3783963e-10	1.3810227e-10	0.5632031	0.029296061
14x20	1.1155163e-10	1.1174542e-10	1.11449114e-10	0.057442863	0.014312508	1.11070535e-10	0.030192215	0.035197448	1.1128704e-10	1.113482e-10	0.7958541	0.06700089	1.11525886e-10	1.11461666e-10
14x22	1.1899941e-10	1.1872826e-10	0.056745682	0.08160971	1.187183e-10	1.1828909e-10	1.1825861e-10	1.1911204e-10	0.13815601	1.1879712e-10	0.59304786	1.1841753e-10	0.13044076	1.1875091e-10
14x24	0.0049947533	0.01822426	0.1907521	9.4802985e-05	0.007781835	1.2589957e-10	1.2600816e-10	0.10326936	0.10150774	0.028108984	1.252161e-10	0.13333966	0.41192654	1.251712e-10
15x17	0.07395045	1.363885e-10	1.3620002e-10	0.02738931	1.3662751e-10	1.3638017e-10	0.05809145	0.011172796	0.21674033	1.3654988e-10	0.19827408	1.3652489e-10	0.4143816	1.368038e-10
15x19	1.2255827e-10	0.054988388	1.2176163e-10	0.06951297	0.05126079	1.2158109e-10	0.11216082	0.031953078	0.11856124	1.220148e-10	1.2191897e-10	0.047277916	0.50146264	0.012822197
15x21	1.1702764e-10	0.027619874	0.04309796	0.0596447	0.12702577	1.1645672e-10	0.070115544	0.011950532	0.06893592	1.1683071e-10	0.4478077	1.1695021e-10	0.12930743	0.014494558
15x23	1.2859808e-10	0.04446386	0.14568059	0.083685726	0.059787635	1.1868428e-10	1.190241e-10	0.18537118	1.192161e-10	1.1864332e-10	1.1918677e-10	0.17202367	0.30898735	1.1869401e-10
15x25	1.2019459e-10	1.2033727e-10	0.019078549	0.04035976	0.10108946	1.1964404e-10	0.059280485	0.028180206	0.12768182	1.1969951e-10	0.28565305	1.1984845e-10	0.30977988	0.028896714
15x27	0.0042118845	0.014037146	1.3371455e-10	1.3365999e-10	1.342338e-10	1.3427581e-10	0.03382043	1.3429374e-10	0.2519544	1.3363884e-10	0.14951897	1.3411328e-10	0.5406319	0.0058252336
15x33	0.00010387331	1.4969237e-10	1.4959477e-10	1.4960302e-10	1.4948608e-10	0.04031969	1.4911701e-10	1.4902887e-10	0.1852141	1.4901722e-10	0.4328333	1.4949834e-10	0.341529	1.4996986e-10
15x35	1.3378931e-10	1.3420207e-10	1.3380182e-10	0.017300896	0.10018623	1.3345647e-10	0.05266534	0.038136344	0.23103556	1.3386768e-10	1.3349924e-10	1.335382e-10	0.5606756	1.3379442e-10
16x16	1.2572166e-10	1.263315e-10	0.01935386	0.0247133	0.030196367	1.2601864e-10	1.2563896e-10	1.2652344e-10	0.1250089	1.259576e-10	0.8007276	1.2640694e-10	1.2649233e-10	1.2580731e-10
16x18	1.210318e-10	1.2136445e-10	1.2093535e-10	0.08781801	0.051702496	1.20803e-10	0.067359015	1.2089198e-10	0.13200063	0.06678582	0.18100595	1.2109021e-10	0.41332808	1.2142558e-10
16x20	1.2053794e-10	0.061403673	0.064546995	0.08980702	0.046768077	1.206693e-10	0.042258825	0.02384734	0.13316877	1.1985431e-10	1.2074665e-10	1.2054484e-10	0.53819937	1.2023485e-10
16x22	0.0380187	0.011518035	1.3313216e-10	0.021119539	0.060497425	0.026552234	1.33218e-10	0.045320373	0.17898658	1.3294818e-10	1.3349602e-10	1.338706e-10	0.56663436	0.051352732
16x24	0.096218124	0.016270583	0.13207816	0.05534081	0.08684824	0.0027327633	1.2294685e-10	1.2324385e-10	0.06493774	1.2303905e-10	1.2294052e-10	0.055216804	0.49035677	1.2308882e-10
16x26	1.1972281e-10	1.1978404e-10	1.1962535e-10	0.01747845	0.031960826	1.1993058e-10	0.031295206	0.021951288	0.12151974	1.1970136e-10	0.6715211	1.1969041e-10	0.10427336	1.1971871e-10
16x28	1.2006936e-10	1.2023964e-10	1.1958734e-10	0.090982676	0.04666033	1.1978138e-10	1.1936196e-10	0.027065495	0.13604495	1.1916769e-10	0.40053648	1.1988446e-10	0.2987101	1.1958279e-10
16x30	1.3170762e-10	1.3214191e-10	1.3150703e-10	1.3227582e-10	0.019503703	1.3141477e-10	0.033066045	0.005555391	0.22229105	1.3199605e-10	0.7195838	1.3213511e-10	1.3238208e-10	1.3218932e-10
16x32	1.4121344e-10	0.043874465	1.4090243e-10	0.046785805	1.4111894e-10	1.4017092e-10	0.024727527	1.4030946e-10	0.2248111	0.044452056	0.27747563	1.4058753e-10	0.33787343	2.4899055e-10
16x34	1.3597708e-10	0.0051114266	0.011186269	0.01852277	1.3566182e-10	1.3532507e-10	0.018488474	1.355705e-10	0.21809715	1.353483e-10	0.4127405	1.3566415e-10	0.3158534	1.3574826e-10
16x36	1.2989755e-10	1.3005397e-10	1.3008448e-10	0.018578677	0.03180269	1.2971557e-10	0.030301122	1.2970122e-10	0.21942486	1.294926e-10	0.51096606	0.013230788	0.17569587	1.298978e-10
16x38	1.303676e-10	1.3000087e-10	1.302118e-10	0.0745133	0.049482178	1.2986308e-10	1.2958991e-10	1.302061e-10	0.10356462	1.2949775e-10	0.74176055	1.304614e-10	0.030679308	1.3029354e-10
17x17	1.3401649e-10	0.003627731	1.3373205e-10	0.07843876	0.011954282	1.3393295e-10	0.018598147	1.3376496e-10	0.23776118	1.3309842e-10	0.42241788	1.333543e-10	0.22720198	1.3399963e-10
17x19	1.201793e-10	0.078040645	0.025801549	0.10738654	0.03555086	1.2004138e-10	1.1969614e-10	0.02002107	0.11626128	1.1995943e-10	0.23941326	1.1970709e-10	0.35588458	0.021640249
17x21	1.3383687e-10	0.020239225	1.3371848e-10	1.3333062e-10	0.09512558	1.3328535e-10	1.3281866e-10	1.3378482e-10	0.20552666	1.3331256e-10	0.12889993	0.06524546	0.4849632	1.3338988e-10
17x23	0.088530205	0.048434224	0.1261479	0.031662535	1.2422684e-10	0.02071578	1.2461628e-10	0.031649586	0.042971954	1.2459656e-10	1.241006e-10	0.11969994	0.4901878	1.2406891e-10
17x25	0.09693429	1.3902568e-10	1.3822372e-10	0.009206661	1.388521e-10	1.3912407e-10	1.387536e-10	0.011601322	0.25188816	1.3817601e-10	0.2190063	1.3885315e-10	0.41136327	1.3888493e-10
17x27	0.019320017	0.040442392	1.2820868e-10	0.04556949	0.041944284	0.0022127545	0.04702998	0.052713145	0.17875563	1.27878e-10	1.27378e-10	0.04790372	0.5241086	1.2723256e-10
17x29	1.1024954e-10	1.1036377e-10	0.01032083	0.044639073	0.030205548	1.0976965e-10	0.0567287	1.1009739e-10	1.0980734e-10	1.1020075e-10	0.83376765	0.019749368	1.10013845e-10	0.004588856
17x31	1.2254424e-10	0.009127614	1.2316896e-10	0.02585697	1.229202e-10	1.2305132e-10	1.2293544e-10	0.033560902	0.15891927	1.2214055e-10	0.75320613	1.2310063e-10	0.01932907	1.2304194e-10
17x33	0.046087623	0.07001143	0.03683367	0.008141511	0.10722259	1.2425265e-10	0.053561695	0.012597564	0.121498585	0.021001311	1.2341393e-10	0.028382238	0.46001214	0.034649674
17x35	1.2230757e-10	0.09422046	1.2229451e-10	1.2230686e-10	0.054537807	1.2207776e-10	0.013276037	1.2177429e-10	0.09160912	1.2228167e-10	0.53200406	0.07964063	0.13471195	1.2162062e-10
17x37	1.1258244e-10	1.12793934e-10	1.1269438e-10	0.089897715	0.028436948	1.12222905e-10	0.015367798	0.02028507	1.12607784e-10	1.1277114e-10	0.82611954	0.019892918	1.1258524e-10	1.12177545e-10
17x39	1.3376422e-10	1.3391714e-10	1.3340802e-10	0.0445023	0.006470531	1.3301471e-10	0.025319932	1.3331214e-10	0.21657582	1.3363545e-10	0.6653827	1.3336529e-10	0.041748762	1.3353404e-10
18x16	1.3208278e-10	1.3261112e-10	0.036930922	0.025223263	0.01777742	1.3181023e-10	0.0489606	1.3230492e-10	0.200738	1.3240616e-10	0.44440803	1.3247563e-10	0.18830125	0.037660472
