	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
2x32	0.31552085	1.561478e-10	1.5573379e-10	0.08971385	1.5602307e-10	1.5657309e-10	0.0105328085	1.56018e-10	0.013869233	1.5643457e-10	1.562059e-10	0.032054994	0.5383082	1.561049e-10
2x34	1.4392738e-10	1.4412517e-10	1.4370163e-10	0.07234507	1.4400538e-10	0.0047557387	1.4369726e-10	0.012708777	0.009101603	1.4361862e-10	0.842344	1.4375619e-10	0.05874478	1.4331569e-10
2x36	1.3835866e-10	0.005603176	1.3828585e-10	0.022777576	1.382898e-10	1.3797943e-10	1.3755165e-10	1.380584e-10	0.032203745	1.3834996e-10	0.89600104	1.3838321e-10	0.04341439	1.3847773e-10
2x38	0.3286288	1.513701e-10	0.047180068	0.07957089	0.029589487	1.516915e-10	0.00834345	1.5103355e-10	0.031003442	0.057222743	1.5075727e-10	1.5141487e-10	0.41846117	1.514504e-10
2x40	0.26581982	1.4040412e-10	1.4028928e-10	0.08941538	0.08010742	1.4031122e-10	0.041027382	1.4012294e-10	1.402085e-10	1.3957878e-10	1.3934312e-10	0.028558021	0.46856117	0.02651079
2x42	0.287784	1.5215318e-10	0.048390616	0.028779626	0.053753145	0.025619319	0.08282369	0.02660238	1.5206615e-10	1.5197046e-10	1.5162968e-10	1.5222633e-10	0.44624713	1.5134188e-10
2x44	0.111785404	0.063663416	1.4853549e-10	0.07083347	0.056472305	0.031078476	0.063530855	1.480106e-10	0.0064025884	0.06109917	0.5351343	1.4908955e-10	1.4914131e-10	1.4835712e-10
2x48	1.4187829e-10	1.4157822e-10	1.419205e-10	0.03445569	0.025139956	0.05349443	1.4196977e-10	0.015750939	1.419641e-10	0.008358496	0.86280054	1.4209847e-10	1.4209411e-10	1.41927e-10
3x29	0.17908072	1.5303951e-10	1.5217617e-10	0.043471437	1.5254058e-10	1.5328402e-10	1.5286855e-10	1.5281258e-10	0.08764151	1.5315836e-10	0.41364807	1.5341768e-10	0.27615818	1.5300272e-10
3x31	0.5296899	1.6493024e-10	1.6496893e-10	1.6497775e-10	1.646194e-10	1.6490444e-10	1.6418762e-10	1.6484028e-10	1.6503408e-10	1.6446092e-10	1.6453591e-10	1.6490065e-10	0.4703101	1.6413594e-10
3x33	1.3058368e-10	1.307422e-10	1.3067464e-10	0.03160838	1.3039478e-10	1.3053911e-10	0.05769998	0.030102808	0.0017365938	0.04632801	0.8325242	1.3060213e-10	1.3071999e-10	1.3076913e-10
3x35	1.4376482e-10	1.4384408e-10	1.433519e-10	0.11420887	0.016237307	0.003731956	1.4413162e-10	0.022539081	1.439437e-10	0.09367635	0.7288131	0.020793412	1.441605e-10	1.437703e-10
3x37	0.050601393	0.14672107	1.4498253e-10	0.013551349	1.4511366e-10	1.4492252e-10	1.4458348e-10	1.446301e-10	1.4517706e-10	1.4471123e-10	0.36450064	0.017320963	0.3864235	0.020881131
3x39	0.2707792	0.045863334	0.06822384	0.015892806	0.042695586	1.5014794e-10	0.023256546	1.495891e-10	1.5025223e-10	1.4996278e-10	1.4948928e-10	0.040035214	0.47991595	0.013337501
3x41	0.3262618	0.087345965	0.036778465	1.510157e-10	1.503148e-10	1.512042e-10	0.01639552	1.5074174e-10	0.009263133	1.5083462e-10	1.5089967e-10	1.5093132e-10	0.48173815	0.04221696
3x43	0.13334402	0.09249061	0.04366396	0.024270352	0.066702254	1.4359278e-10	0.015139269	1.4306899e-10	1.4401436e-10	0.059291206	0.5280931	0.01551735	1.4375445e-10	0.021487815
3x45	0.052596528	0.04524282	0.012338178	0.006776165	1.5752709e-10	0.07361925	1.5816053e-10	0.021720283	0.044554867	1.5736763e-10	0.57868105	1.5823295e-10	0.1536485	0.010822333
3x47	0.3406405	1.6031872e-10	0.015083397	1.599714e-10	0.0143370405	1.6001168e-10	0.15043968	1.59965e-10	0.022264266	1.5944442e-10	1.600126e-10	1.600007e-10	0.4375544	0.0196807
