	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
2x34	0.47702318	0.04598349	2.0732242e-10	0.014389469	2.066024e-10	0.007952529	0.029317258	0.008352775	2.073153e-10	2.0729118e-10	2.0675811e-10	0.1180611	0.2989202	2.0728526e-10
3x33	0.28220022	0.07773432	2.3989682e-10	2.3895474e-10	2.401129e-10	0.06257556	0.09304	2.4015415e-10	0.053955656	0.09296378	2.400932e-10	2.3913985e-10	0.33149627	0.006034192
3x35	0.048765447	0.083973475	2.049203e-10	2.052203e-10	2.0511387e-10	0.021311292	0.17018633	2.0519172e-10	0.11150736	0.028182702	0.21347107	0.04968183	0.22333407	0.049586337
4x32	0.13558759	2.2253815e-10	0.0044880714	0.00020778942	0.01767782	2.2244818e-10	2.2324813e-10	0.029538333	0.17516641	0.1579005	2.2179615e-10	0.010144075	0.33790928	0.1313802
4x34	0.26638755	2.6800104e-10	2.671263e-10	2.675975e-10	2.6693328e-10	0.068083294	0.049891192	2.6634842e-10	0.27015212	0.017340973	2.6620114e-10	0.0025833447	0.32556158	2.678809e-10
5x31	0.56715417	0.033669483	0.007894697	2.3103178e-10	2.3078646e-10	0.028468203	0.016931828	0.06427419	2.314393e-10	2.3144592e-10	2.3004372e-10	2.3093616e-10	0.28160736	2.3100885e-10
5x33	0.20473528	2.2354905e-10	2.2302481e-10	0.052348513	2.2327891e-10	0.052413207	0.078695394	2.2331297e-10	2.2369663e-10	0.057609282	2.2292826e-10	2.2414723e-10	0.4384733	0.115725
5x35	2.136582e-10	0.022021502	0.010933868	2.138078e-10	2.1295803e-10	0.0057937773	0.03631917	2.1227914e-10	0.24891433	0.045029208	0.5996173	0.03137077	2.1371567e-10	2.1348588e-10
6x30	0.12978481	2.383352e-10	0.003150439	2.367436e-10	0.07207036	2.3744182e-10	0.072532006	2.3773727e-10	0.20680872	0.15582436	2.383143e-10	2.3699342e-10	0.323452	0.03637728
6x32	0.18218209	0.13187635	0.15427633	0.066448845	1.9973062e-10	0.036287162	2.0016426e-10	0.05962088	2.0049398e-10	2.0015548e-10	2.0011386e-10	0.0075837066	0.319359	0.04236565
