	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
14x48	1.6063345e-10	1.601232e-10	1.6011924e-10	1.6028273e-10	1.60144e-10	0.007194597	1.5958325e-10	1.593305e-10	0.24601077	1.6023044e-10	0.31534848	1.603769e-10	0.4314462	1.5954764e-10
14x50	0.17633781	1.6215487e-10	1.6175299e-10	1.6222015e-10	1.622183e-10	0.10544876	1.6153039e-10	1.6189187e-10	1.6285413e-10	1.6219756e-10	0.2770396	1.6236842e-10	0.44117385	1.6170486e-10
15x47	0.14301702	1.5560543e-10	1.5519491e-10	1.5606316e-10	1.5522392e-10	0.063007526	1.5616738e-10	0.02141022	0.09049217	1.5586088e-10	0.12171591	1.5617364e-10	0.5603572	1.5543428e-10
15x49	0.18329197	1.6589236e-10	1.6621288e-10	1.6590027e-10	1.655898e-10	0.04644693	1.6621668e-10	1.661276e-10	0.11172472	1.6570513e-10	1.6660104e-10	1.6556992e-10	0.65853643	1.6585439e-10
15x51	0.09341992	1.6374016e-10	1.6376672e-10	1.6324964e-10	1.6353448e-10	0.055496946	1.6371486e-10	1.6370426e-10	0.124693476	1.6329635e-10	0.23409392	1.6369427e-10	0.49229577	1.6396362e-10
15x53	0.1218384	1.5742517e-10	1.5803438e-10	1.5741106e-10	1.5733753e-10	0.04397828	1.5813902e-10	1.579455e-10	0.09630019	1.5746031e-10	0.2356188	1.5730302e-10	0.50226444	1.5802716e-10
16x18	0.073032014	1.6654456e-10	1.6628396e-10	0.015867934	1.6581901e-10	0.08450801	1.6630616e-10	0.028282788	0.046823334	1.6665833e-10	0.18859069	1.6630489e-10	0.56289524	1.6632297e-10
16x20	1.6859897e-10	1.6788913e-10	0.006928646	1.6816988e-10	1.6739415e-10	0.12299601	1.6741555e-10	1.6731148e-10	0.019100148	1.673533e-10	0.32009104	1.6772783e-10	0.5308842	1.6780685e-10
16x42	1.5729115e-10	1.5649097e-10	1.5683371e-10	1.5705971e-10	1.5665373e-10	0.086890355	1.5688516e-10	1.566597e-10	0.06827445	1.5605013e-10	0.36059475	1.5649515e-10	0.48424047	1.5640354e-10
16x44	0.18394276	0.052275095	1.5644191e-10	1.5625941e-10	0.023860356	0.002530194	1.5637569e-10	1.5650758e-10	0.19343823	1.5647533e-10	0.25404155	1.5678485e-10	0.28991175	1.5566594e-10
