	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
16x40	0.31463316	1.691874e-10	1.6882154e-10	1.6921355e-10	1.6833922e-10	0.0014462464	0.033950023	1.6865644e-10	0.100618385	1.6884279e-10	0.37902874	1.6920872e-10	0.1703235	1.692426e-10
17x39	0.4264659	1.757985e-10	1.762336e-10	1.751228e-10	1.7545815e-10	0.06322357	1.7629209e-10	1.7602228e-10	0.026551362	1.7504334e-10	0.1464851	1.7591388e-10	0.33727404	1.750737e-10
18x24	0.24049024	1.7829802e-10	1.7861697e-10	1.7805572e-10	1.7868035e-10	0.08047455	0.026259545	1.7818516e-10	0.03295584	1.7855838e-10	0.31569728	1.7865104e-10	0.30412254	1.782596e-10
18x36	0.13039334	0.12589465	1.8212817e-10	0.008307486	1.8212887e-10	0.10306368	1.8212368e-10	1.8223e-10	0.060645808	1.8202016e-10	0.1412177	1.8280055e-10	0.43047732	1.824331e-10
18x38	0.44067279	1.7009749e-10	1.7028576e-10	1.7033384e-10	0.087417915	0.031420123	1.7029064e-10	1.703543e-10	1.7069453e-10	1.6949091e-10	1.7056304e-10	1.6982324e-10	0.4404892	1.6962219e-10
19x23	0.5831366	1.7695201e-10	1.7632537e-10	0.035216052	1.7696383e-10	1.7747019e-10	0.08448935	1.7697463e-10	0.005732674	1.7685146e-10	1.7721818e-10	0.0104891565	0.28093615	1.7645557e-10
19x25	0.28563946	1.6235373e-10	1.6248787e-10	1.6243147e-10	1.6189855e-10	1.8681667e-10	0.024282256	1.6264198e-10	0.08635621	1.6207312e-10	0.35440406	1.6266526e-10	0.24931799	1.6229523e-10
19x35	0.28849915	0.037144456	1.7274657e-10	0.012640695	1.7316092e-10	0.028958447	1.7297704e-10	1.7239339e-10	0.036551178	1.7316092e-10	0.25641462	1.7284148e-10	0.33979148	1.7275416e-10
19x37	0.30990502	1.8847218e-10	1.887787e-10	1.8769333e-10	1.887632e-10	0.098146245	1.8847936e-10	1.8789895e-10	1.8840711e-10	1.8845527e-10	0.12860297	1.8842006e-10	0.4633458	1.8819843e-10
20x22	0.10509407	1.7826501e-10	1.793037e-10	1.7789716e-10	1.7847968e-10	0.03467864	1.7776995e-10	0.014991802	0.15286066	1.7787e-10	0.1092091	1.788982e-10	0.5831657	1.7884465e-10
20x24	0.5046803	1.7261122e-10	0.022984438	1.7235198e-10	0.11022975	0.03175465	1.7287778e-10	0.01949459	1.732878e-10	0.026819268	1.7291965e-10	1.7329836e-10	0.28403705	1.7276504e-10
20x26	1.6005257e-10	1.6007423e-10	1.5932856e-10	1.587095e-10	1.5900342e-10	0.108820476	0.028939748	0.010501599	1.5992013e-10	1.592766e-10	0.7567799	1.5935409e-10	0.0949583	1.5970583e-10
20x36	0.37836412	1.7856679e-10	1.7825304e-10	0.034757838	1.7734283e-10	0.027991429	0.016799249	0.0069914865	1.7857463e-10	0.023667347	0.28529432	1.7856473e-10	0.21756962	0.00856458
20x38	0.2759942	1.8549765e-10	1.8477903e-10	1.8475682e-10	1.8532258e-10	0.11124775	0.019478302	0.042842645	0.015670154	1.8537136e-10	0.27493826	1.8500966e-10	0.25982866	1.8515581e-10
21x21	0.11925701	1.7590508e-10	1.7511773e-10	1.749875e-10	1.7505426e-10	0.078625076	1.752771e-10	1.7508765e-10	0.03106407	1.754728e-10	0.14432792	1.7539047e-10	0.6267259	1.7477836e-10
21x23	0.36498857	1.7618142e-10	1.766478e-10	1.7672598e-10	0.09978479	0.070851706	0.06421905	1.7617538e-10	0.0652454	1.7688347e-10	1.7580748e-10	1.7630682e-10	0.33491045	1.768521e-10
21x25	0.19124939	1.7336103e-10	1.7303596e-10	1.7217701e-10	1.7229793e-10	0.04935627	1.7298876e-10	1.7289442e-10	0.058974788	1.7213991e-10	0.2107956	1.7270162e-10	0.48962396	1.7284464e-10
21x27	0.28408358	1.774184e-10	1.777595e-10	1.7714215e-10	1.7738458e-10	0.08569389	1.7775205e-10	1.7697936e-10	1.7806388e-10	1.7706041e-10	0.33129522	1.7679819e-10	0.29892734	1.7747762e-10
21x35	0.121707395	0.07181753	1.7858257e-10	1.7850048e-10	1.7761237e-10	0.06231015	1.7859685e-10	1.7788597e-10	0.09707394	1.7907918e-10	0.647091	1.7856144e-10	1.7847529e-10	1.7846065e-10
21x37	0.14291686	1.702335e-10	1.698048e-10	1.7031013e-10	1.7035531e-10	0.11907197	0.045870695	1.70128e-10	1.7053149e-10	1.694586e-10	0.54264075	1.7006181e-10	0.120921224	0.028578492
21x39	0.52110535	0.021155449	0.008702653	1.7890019e-10	1.8028301e-10	0.050080944	0.04682484	0.040514074	1.7937991e-10	1.7986125e-10	0.20551506	1.7908933e-10	0.10610174	1.790128e-10
22x20	0.21597551	1.6507644e-10	1.6548658e-10	1.6533579e-10	0.031212457	0.050561137	1.6540422e-10	1.6495526e-10	0.01301052	1.6483355e-10	0.28048524	1.6571874e-10	0.4087552	1.65361e-10
22x22	0.32101765	1.8457165e-10	1.8419816e-10	1.844562e-10	1.8429197e-10	0.0741279	1.8450054e-10	1.8517815e-10	1.8517779e-10	1.8467129e-10	0.061124906	0.03062265	0.5131069	1.8424032e-10
22x24	0.37196115	1.8927145e-10	1.8875052e-10	1.8874474e-10	1.8908743e-10	0.083421774	1.8960677e-10	1.8911844e-10	0.028316066	1.9017068e-10	1.8946071e-10	1.8901675e-10	0.46133262	0.05496845
22x26	0.52861476	1.8202696e-10	0.017149113	1.8209434e-10	1.8174212e-10	0.05550035	1.8193116e-10	1.8206933e-10	0.050368555	1.8234213e-10	1.8275403e-10	1.8237935e-10	0.34836718	1.8258436e-10
22x34	0.2784358	1.8431008e-10	0.0189387	0.0101467995	1.8367208e-10	0.11226773	1.8412419e-10	1.8459963e-10	1.8469296e-10	1.835502e-10	1.8451866e-10	0.08090989	0.4993011	1.8373479e-10
22x36	0.15879965	0.05219959	1.7317663e-10	1.7248865e-10	1.725617e-10	0.09022523	1.7336765e-10	1.7206477e-10	1.7316937e-10	1.7319216e-10	0.6806876	1.7306866e-10	1.7287236e-10	0.018087965
22x38	1.673524e-10	1.675635e-10	1.6687396e-10	0.01661782	1.6771955e-10	0.13760087	0.01480458	1.6751461e-10	1.6772018e-10	0.039445616	0.79153115	1.6801924e-10	1.678053e-10	1.6717182e-10
22x40	0.24106188	1.7785749e-10	0.018328689	1.7727023e-10	1.777873e-10	0.10906323	1.7680628e-10	1.7760393e-10	1.7814947e-10	1.7678434e-10	0.47346812	1.7734497e-10	0.15807807	1.7789141e-10
23x21	0.35339278	1.6675113e-10	1.6589966e-10	0.027899556	0.018409733	0.03979772	1.6658264e-10	1.6712749e-10	0.05166005	1.6703283e-10	0.26622146	1.671262e-10	0.2426187	1.6625919e-10
23x23	0.3029576	1.6506813e-10	0.010950431	1.6453126e-10	1.6515096e-10	0.062427398	0.061729968	0.0021256884	1.6539715e-10	1.6478847e-10	0.2596122	1.6423997e-10	0.3001967	1.6488814e-10
23x25	0.362969	1.8635579e-10	1.8613519e-10	1.8581559e-10	1.8572098e-10	0.081848934	1.8651083e-10	1.8535082e-10	1.8671228e-10	1.8551741e-10	0.2375471	1.8644716e-10	0.3176349	1.8593825e-10
23x27	0.098270185	0.016828565	1.7189915e-10	1.7122863e-10	0.08907418	0.13932201	1.7158434e-10	0.034309432	1.7253968e-10	0.03499616	0.20258765	1.7188766e-10	0.3846118	1.7176574e-10
23x31	0.4437358	1.8054101e-10	1.8035963e-10	1.8013857e-10	1.8067159e-10	0.0020788005	1.8106623e-10	1.8109388e-10	0.10602781	1.8009287e-10	0.44815758	1.80142e-10	1.8152059e-10	1.7995966e-10
23x33	0.57313997	2.0758613e-10	2.0713684e-10	2.0672714e-10	2.0707443e-10	0.121910796	0.08296092	2.0775368e-10	2.0780004e-10	2.0774456e-10	2.0669874e-10	2.070148e-10	0.22198835	2.0777151e-10
23x35	0.37741393	0.01728406	1.8744642e-10	1.8800748e-10	1.8698292e-10	0.034213662	1.8707245e-10	1.8794151e-10	0.19681026	1.8746679e-10	0.21253808	1.8709423e-10	0.16173993	1.8771654e-10
23x37	0.01975877	1.7239998e-10	1.7225701e-10	1.7166596e-10	1.7165877e-10	0.1602699	1.7226819e-10	1.7211087e-10	1.7310413e-10	1.7245556e-10	0.8199713	1.7165451e-10	1.7304239e-10	1.7258292e-10
