	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
15x27	0.17334385	2.1184478e-10	2.1168078e-10	2.1167554e-10	0.01312839	2.1239015e-10	2.1100317e-10	2.1102774e-10	0.13399196	2.104698e-10	0.14692688	2.1177246e-10	0.5326089	2.1153186e-10
16x26	1.6927595e-10	1.6902203e-10	1.68313e-10	0.025127262	1.6885576e-10	0.002522682	1.6823629e-10	1.6893502e-10	0.0963502	1.686054e-10	0.3712898	1.6896724e-10	0.50471	1.6868613e-10
16x28	0.23007703	1.8013095e-10	1.7987276e-10	1.7987757e-10	1.8028148e-10	1.795454e-10	0.014804455	1.8046452e-10	0.049664635	1.7902531e-10	1.800825e-10	0.003289752	0.7021642	1.7966256e-10
16x30	0.034402832	2.0688215e-10	2.0610194e-10	2.0606969e-10	2.0690308e-10	0.08862397	2.0617073e-10	0.020048182	0.104311764	2.062085e-10	0.22959734	2.0677565e-10	0.5230159	2.0714433e-10
16x46	0.0599026	2.0577155e-10	2.0579353e-10	2.0575505e-10	2.0513828e-10	0.045394026	0.012743366	2.052459e-10	0.11699757	0.034472663	0.21976657	2.0473215e-10	0.5107232	2.0574407e-10
17x25	0.12372324	1.8686054e-10	1.8720515e-10	1.8650803e-10	1.8668848e-10	0.05780514	1.8693862e-10	1.8727085e-10	0.0067390325	1.8707629e-10	0.32000077	1.8731802e-10	0.49173182	1.8674474e-10
17x27	0.050316606	1.8779166e-10	1.8767778e-10	0.010371302	1.8867162e-10	1.886781e-10	1.8844433e-10	1.8825788e-10	0.1303648	1.882051e-10	1.8847235e-10	1.8890998e-10	0.8089473	1.8777231e-10
17x29	0.14211707	1.8358634e-10	0.00152093	1.8362592e-10	1.8409864e-10	0.017802391	1.829592e-10	1.8377166e-10	0.019954398	1.8286467e-10	0.21040365	1.8322951e-10	0.60820156	1.8399894e-10
17x31	1.7966625e-10	1.7919875e-10	1.7854711e-10	1.783623e-10	1.785696e-10	0.04342578	0.038430594	1.7858526e-10	0.0018607466	1.7856211e-10	0.35089558	1.785679e-10	0.5653873	1.7920423e-10
17x45	1.9441136e-10	1.9398907e-10	1.9377498e-10	0.04411806	0.04787574	0.0033820795	0.01823609	1.9369994e-10	0.14656356	1.9363308e-10	0.35785684	0.059364676	0.3226029	1.933729e-10
17x47	0.18523945	1.8820875e-10	1.8816279e-10	1.8804046e-10	1.8818792e-10	0.03180775	1.877892e-10	0.014303792	1.8880596e-10	1.8844906e-10	0.22262181	0.00014271688	0.5458845	1.8775016e-10
18x24	1.8260828e-10	1.8179543e-10	0.016801286	1.8180894e-10	0.029237641	1.8196923e-10	1.81153e-10	1.8215432e-10	0.12913328	1.8142304e-10	0.34664527	1.8111118e-10	0.47818252	1.8127466e-10
18x26	1.8809548e-10	1.8797462e-10	1.8699124e-10	1.8813316e-10	1.8798287e-10	1.8717501e-10	1.8700087e-10	1.8736539e-10	0.10576412	0.009695187	0.3408673	1.8787784e-10	0.49258113	0.051092207
18x28	0.06248524	1.905528e-10	1.9075243e-10	1.8998991e-10	1.9001999e-10	0.03969154	1.9066695e-10	1.9020056e-10	1.9078954e-10	1.8933405e-10	0.14881541	1.906644e-10	0.74900776	1.9057897e-10
18x30	0.10642525	1.8885744e-10	1.8972539e-10	1.8959409e-10	1.8970116e-10	0.04627519	1.8876058e-10	1.8987382e-10	0.005504766	1.8868893e-10	0.30106437	1.8929165e-10	0.5407304	1.8854829e-10
18x32	1.8813343e-10	1.8814023e-10	0.040379755	1.8696474e-10	0.045943175	0.014597333	1.880319e-10	1.8718632e-10	0.10464083	1.8702144e-10	0.35140455	1.876285e-10	0.44303438	1.8745715e-10
18x38	0.08304426	1.9288034e-10	1.9306069e-10	1.9360756e-10	1.9347836e-10	1.9405971e-10	1.9297565e-10	1.9244671e-10	0.14693005	1.9332452e-10	0.19694905	1.9372576e-10	0.5730766	1.9252601e-10
18x40	0.24684738	2.0719824e-10	0.022851534	2.0651017e-10	2.0605612e-10	0.081935436	2.0644678e-10	2.0744421e-10	0.034646694	2.0704101e-10	0.20324445	2.06108e-10	0.41047457	2.0718008e-10
18x42	1.8090414e-10	1.8065449e-10	0.0035985648	1.8084377e-10	0.049988236	1.8053532e-10	0.032365117	1.803873e-10	0.09501915	1.8034156e-10	0.3178452	1.8060248e-10	0.5011837	1.7979135e-10
18x44	1.8324563e-10	1.8283228e-10	1.8269145e-10	0.048392553	1.8251137e-10	1.829952e-10	1.8258589e-10	1.8213894e-10	0.0928814	1.8226438e-10	0.6220953	0.016389279	0.2202415	1.820441e-10
18x46	0.12494881	0.014886665	1.9698702e-10	1.9799805e-10	0.057556666	0.0570157	1.975322e-10	1.9774783e-10	0.017606687	1.9860397e-10	1.9699416e-10	1.986934e-10	0.707786	0.020199455
18x48	0.06420689	1.8836169e-10	1.8743704e-10	1.8766565e-10	1.8796369e-10	0.0013443208	1.8852488e-10	1.8736486e-10	0.123935886	1.8842601e-10	0.13805744	1.8788555e-10	0.6724555	1.8774798e-10
19x25	1.9682192e-10	1.9728008e-10	1.9667144e-10	1.9615444e-10	0.14203863	1.9719316e-10	1.9649671e-10	1.966223e-10	0.18039164	0.008842393	0.26995355	1.964675e-10	0.3987738	1.9666281e-10
19x27	0.21601313	1.7917381e-10	1.7857504e-10	1.7878703e-10	1.7919057e-10	0.0043139285	1.7849741e-10	1.7850114e-10	0.08764157	1.7885286e-10	1.7895797e-10	1.7912734e-10	0.6920314	1.7923021e-10
19x29	0.078563295	1.9946379e-10	1.9990062e-10	0.04603051	1.9991474e-10	0.050328437	1.9944855e-10	1.997958e-10	0.048632517	1.9983622e-10	0.17314073	1.9959699e-10	0.60330445	2.0008792e-10
