	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
16x46	0.13916352	1.5840003e-10	0.12937155	0.06724384	1.5882265e-10	0.13315906	0.03876875	0.023753231	1.5832573e-10	0.100035265	1.5887296e-10	1.591875e-10	0.36850488	1.5883082e-10
17x43	0.28528193	1.527992e-10	0.060568877	0.028276322	0.052279074	0.077127755	1.5313063e-10	1.5275461e-10	1.5287384e-10	0.107012495	1.5245948e-10	1.530991e-10	0.3894535	1.5291816e-10
17x45	0.091050796	1.4402862e-10	1.4461467e-10	0.041590054	0.025960708	0.06912921	1.4462433e-10	1.4471097e-10	0.010463265	0.1546279	0.5250258	0.06828602	1.443033e-10	0.0138663035
17x47	0.08861606	1.4472742e-10	0.04119639	0.06229591	0.02190078	0.08045017	0.025868049	0.048930593	1.4475199e-10	0.12005639	0.331179	1.4453129e-10	0.1795067	1.4503083e-10
17x49	0.017911669	1.4292077e-10	0.12952986	0.08086253	0.033444997	0.11318168	1.4298675e-10	0.040260624	1.4226885e-10	0.14713956	0.1651697	1.4280525e-10	0.27249935	1.4231036e-10
17x55	0.20996179	1.6036338e-10	0.01810597	0.057921913	1.6026949e-10	0.11987139	1.6000591e-10	0.030254478	1.5996715e-10	0.03993429	0.25327024	1.6035603e-10	0.27067995	1.602099e-10
18x42	0.078615844	1.5457233e-10	1.5443176e-10	0.033380687	0.056176297	0.09712601	0.04917001	0.020594811	1.5531972e-10	0.09658427	0.5410944	0.027257655	1.5507402e-10	1.5493921e-10
18x44	0.17150235	0.003840176	1.449453e-10	0.11260049	1.4543296e-10	0.073951006	0.027396934	1.4559366e-10	1.4521316e-10	0.17963977	1.445767e-10	1.4543074e-10	0.4310693	1.4563893e-10
18x46	0.31033272	0.0029143954	0.10043042	0.04894771	0.04020812	0.012951407	0.0055327876	1.4288463e-10	1.4371992e-10	0.13656141	0.2749543	0.06716669	1.4352106e-10	1.4305616e-10
18x48	0.20184232	1.5679794e-10	1.5624414e-10	0.08764361	1.559027e-10	0.07704296	1.5609164e-10	0.033126682	1.5597705e-10	0.23333652	0.15987495	0.011010807	0.13135198	0.06477022
18x50	0.10359266	0.016329953	0.038010374	0.11487291	1.417335e-10	0.07764077	0.045282066	1.424134e-10	1.4232868e-10	0.029442457	0.44625705	0.0074145864	0.10598472	0.01517245
18x52	0.16622584	0.09628486	0.141619	0.043182448	1.3919373e-10	0.059503328	1.3920566e-10	0.009347678	1.3936746e-10	0.08165728	0.10008595	1.3932706e-10	0.30209368	1.3936852e-10
18x54	0.12844397	1.4448705e-10	1.4415591e-10	0.028390186	0.020352708	0.078071825	0.03589196	0.026726881	1.440803e-10	0.07450239	0.5453597	0.049844507	1.44253e-10	0.012415828
18x56	0.28036168	1.597106e-10	0.073020935	0.048215944	0.039042402	0.09154956	1.598194e-10	0.015943015	1.5959184e-10	0.10319609	1.5997736e-10	1.6020486e-10	0.32088825	0.027782196
19x41	0.3770871	1.5539506e-10	0.047631346	0.023268634	1.548031e-10	0.04891039	0.017997881	1.5511405e-10	1.556083e-10	0.045674805	1.5541017e-10	0.024364613	0.4150652	1.5571401e-10
19x43	1.4686224e-10	1.4725211e-10	1.4757237e-10	0.06093111	0.034540605	1.4722402e-10	0.013366828	1.4737798e-10	1.4738362e-10	0.8069701	0.08419135	1.4770105e-10	1.4655722e-10	1.479867e-10
19x45	0.06597953	0.018152118	0.13130525	0.090383954	0.043698516	0.042754985	1.3682647e-10	1.3636141e-10	1.3669083e-10	0.16683082	0.44089478	1.3686874e-10	1.3601593e-10	1.3691652e-10
19x47	0.14972363	0.04186047	0.037778467	0.1092061	1.4023543e-10	0.07073234	0.0058157537	0.05933854	1.4034487e-10	0.06307234	0.127545	1.403714e-10	0.2925107	0.042416677
19x49	1.3766546e-10	1.3796725e-10	0.06108529	0.08895991	0.056948666	0.06340292	0.016992426	0.009828539	1.3835805e-10	0.13109872	0.528802	1.3805306e-10	1.379249e-10	0.042881574
19x51	1.3476405e-10	0.06830031	0.06497313	0.062464107	0.051936656	0.0535904	0.099961534	0.031189319	1.3483785e-10	0.07490364	0.4711141	1.3442415e-10	1.3405135e-10	0.021566829
19x53	1.4583842e-10	1.4615838e-10	0.0445898	0.05600106	0.025357375	0.09859393	0.030369675	0.054884654	0.0061495034	0.0900199	0.46894953	0.020053482	1.4553082e-10	0.105031125
19x55	0.10005677	1.3589613e-10	1.3602086e-10	0.083614275	0.034098115	0.044733685	1.3611949e-10	1.3554563e-10	1.3597184e-10	0.1996272	0.49855822	0.017544985	1.3605304e-10	0.021766726
20x40	0.30095395	1.6479264e-10	1.6440618e-10	0.017990269	1.6391052e-10	0.05652924	0.031964008	1.6408098e-10	0.09037015	0.06170685	0.21131495	1.6454578e-10	0.20342644	0.025744071
20x42	0.16929208	1.4169785e-10	1.4126175e-10	0.07229271	0.019980611	0.052162383	0.062953666	0.014271003	1.4156033e-10	0.122076206	0.24513644	1.4150824e-10	0.17513451	0.066700384
20x44	1.4574542e-10	1.4533376e-10	0.15696025	0.054896295	1.458628e-10	0.040094998	1.4606825e-10	0.0018664947	1.4545967e-10	0.3792967	0.33317783	1.4602534e-10	1.4511273e-10	0.033707365
20x46	0.11847922	0.007518273	0.11532855	0.079903044	0.045896113	0.031569447	0.044756066	1.3800024e-10	1.3823574e-10	0.15542772	0.19449589	1.3828373e-10	0.10803803	0.09858764
20x48	0.15148206	1.3783791e-10	0.04317439	0.051842473	0.00401444	0.05543016	0.06360786	0.01650427	1.3796286e-10	0.114786826	0.45715582	1.3773648e-10	1.3804499e-10	0.042001642
20x50	1.2758224e-10	1.2737823e-10	0.12683886	0.13622962	0.06677259	0.004060417	0.010695356	1.2775489e-10	1.2746451e-10	0.16634798	0.39875865	1.2765598e-10	1.2775146e-10	0.090296514
20x52	0.0921757	0.09172052	0.075438656	0.01732489	0.07517761	0.104187936	0.013974147	1.510931e-10	1.5138706e-10	0.0952973	1.5087366e-10	0.0689522	0.36159566	0.00415544
20x54	0.3304188	1.4701988e-10	0.08000032	0.07723123	1.4770343e-10	0.034998212	0.02332708	0.018805265	1.4763894e-10	0.117185585	0.30283985	0.015193653	1.478692e-10	1.4755983e-10
20x56	0.05532157	1.5520928e-10	0.02782733	0.08752166	1.5503886e-10	0.13068138	0.028868604	0.029101286	1.5494603e-10	0.025530076	0.56435317	0.010523124	1.5529633e-10	0.04027179
21x39	0.2203438	1.548446e-10	0.1119487	0.05411415	0.022968365	0.09840328	0.037581008	1.5484844e-10	1.5503107e-10	1.5525745e-10	0.14468947	0.07746464	0.23248658	1.5510353e-10
21x41	0.20107831	1.443023e-10	0.056047283	0.11507643	0.014775129	0.051545918	0.012700511	1.4414496e-10	1.4418565e-10	0.08395221	0.22338021	0.005829551	0.23561452	1.4370984e-10
21x43	0.23060484	1.46342e-10	0.0843205	0.079321474	1.4642045e-10	0.06414303	0.028290126	0.08117934	1.4604336e-10	0.08306185	1.4545512e-10	1.4616151e-10	0.3490789	1.4605393e-10
21x45	1.3795057e-10	1.3735432e-10	1.3777413e-10	0.049082488	0.032693144	0.086499244	1.3704762e-10	0.0023119813	1.3742796e-10	0.10492439	0.7079312	1.3744159e-10	1.3766696e-10	0.016557524
21x47	0.15347084	1.3862718e-10	0.085156	0.012886657	0.015256714	0.062393382	0.022861216	0.047111973	1.3891807e-10	0.10272829	1.3870335e-10	0.11777421	0.37301844	0.007342271
21x49	0.10835389	1.3961174e-10	0.051371563	0.07830983	0.0056075435	0.06717141	0.01780362	1.4008734e-10	1.4013571e-10	0.10089439	0.5533588	1.3978094e-10	1.4004194e-10	0.017128937
21x51	0.14329235	1.4211857e-10	0.19440803	0.06605873	0.038388092	0.047583215	1.4173634e-10	0.052234277	1.4177419e-10	0.114772744	1.4167337e-10	0.077743694	0.2655188	1.4175013e-10
21x53	0.032906923	1.41415e-10	0.22807774	0.025104616	0.051012646	0.07378365	1.413244e-10	0.07784274	1.4097146e-10	0.05831306	1.4061778e-10	0.07212244	0.38083622	1.4108605e-10
21x55	0.019154627	0.03791635	0.018315667	0.075931355	0.035824664	0.057903904	0.021039363	0.0087555265	0.032522272	0.077922486	0.3539384	0.06612678	0.15807691	0.036571708
22x38	0.16330545	1.494643e-10	0.050037757	0.049233455	0.071268186	0.06754612	0.011370299	1.4941413e-10	1.4943752e-10	0.09608162	1.4856391e-10	0.08408711	0.39477223	0.012297789
22x40	1.3321053e-10	0.026818007	0.06681614	0.1005285	0.020828202	0.003798188	0.017997608	0.011276027	1.334165e-10	0.24372925	0.43317732	1.3295821e-10	1.3289761e-10	0.07503074
