	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
11x31	1.2554863e-10	0.009298143	0.06456793	0.042865183	0.06840991	1.252855e-10	0.0050234892	0.0056267227	0.13874768	0.029572772	0.35141665	1.2562242e-10	0.28447148	1.2524776e-10
11x33	0.11197617	1.3625265e-10	1.364857e-10	0.0073597594	0.04097818	0.027914707	0.019762948	0.032721553	0.090397276	1.3629839e-10	0.41174635	1.361786e-10	0.25714308	1.3637978e-10
12x30	0.059094556	0.09638942	0.109502725	0.06194683	0.07044926	1.2002362e-10	0.047604833	1.1937568e-10	0.020986272	1.2002499e-10	0.18501388	0.02007108	0.32894108	1.198422e-10
12x32	0.019563552	0.018212765	1.1666641e-10	0.07181465	0.080253385	1.1649208e-10	0.042449165	0.020563705	0.029336544	0.021676121	0.39535254	0.06523331	0.22228721	0.01325698
12x34	0.14207461	1.2569996e-10	0.07426247	0.065338895	0.023234986	0.013299529	0.06251793	1.252412e-10	0.0418967	1.2542933e-10	1.2557082e-10	0.06887426	0.4896774	0.018823182
12x36	1.1696558e-10	0.042147227	0.018388893	0.04175366	0.08295679	0.0036111001	0.036788516	0.028349254	0.039495893	1.1635856e-10	0.43301627	0.07198009	0.20151235	1.1679926e-10
12x38	0.08838638	1.391349e-10	1.3916196e-10	0.03685753	0.1085948	1.3906962e-10	0.030025564	1.3834446e-10	0.13338485	1.3834868e-10	0.3446333	1.3914499e-10	0.2581175	1.3821232e-10
12x40	0.018783586	1.4137187e-10	1.410301e-10	0.0044219107	0.044942006	0.025179667	1.408962e-10	0.04960119	0.18206757	1.4085563e-10	0.29392642	1.4133736e-10	0.38107762	1.4101047e-10
13x29	1.1418485e-10	0.016858827	0.038427163	0.07010004	0.09837776	0.018291507	0.055338755	1.1406469e-10	1.1409624e-10	1.1381108e-10	0.40924582	0.0535786	0.22961949	0.01016208
13x31	0.05990745	0.024040071	0.105850905	0.059980836	0.0375067	1.175028e-10	0.05408099	1.175315e-10	1.1772892e-10	1.1728807e-10	1.1676843e-10	0.093099326	0.4885188	0.077014945
13x33	2.2537384e-10	0.047545694	0.10458758	0.068527564	0.07308728	1.2200531e-10	0.093223386	1.2239246e-10	0.07635638	1.221259e-10	0.33275992	1.2244429e-10	0.20391224	1.2228138e-10
13x35	0.003534129	0.04855232	0.08459688	0.06759257	0.02205113	1.2027604e-10	1.2030656e-10	0.060191497	0.08617456	0.019234592	0.26446107	0.020450696	0.32316053	1.2007455e-10
13x37	0.07092222	0.05749917	0.055830196	0.035494063	0.0533314	0.020035084	0.014173293	0.019431526	0.15211868	0.025663523	1.375456e-10	0.019475063	0.46658772	0.0094379885
13x39	1.1974263e-10	0.012121202	1.1953727e-10	0.061848745	0.11691911	1.194076e-10	0.04705249	0.050706804	0.04134906	1.1936911e-10	0.34982356	0.07448931	0.2292842	0.016405554
13x41	1.180144e-10	0.071479775	0.0104919635	0.13099568	0.120786436	1.1778795e-10	0.009317611	0.08247627	0.034549884	0.01108208	0.31189528	0.015871752	0.20105325	1.1753054e-10
13x43	0.008354221	0.052510478	0.04094817	1.3028378e-10	0.066895045	1.3021821e-10	0.039554182	1.2988209e-10	0.12623397	1.2963905e-10	0.25039843	0.10763529	0.30747017	1.3009656e-10
14x28	0.02086742	1.166644e-10	0.04614148	0.0642665	0.11783002	1.16321994e-10	0.017922329	1.1634175e-10	0.06349953	0.03608681	0.26087433	0.09279701	0.27971455	1.1662814e-10
14x30	1.12877846e-10	0.012105454	1.1290476e-10	0.080769345	0.11985617	1.126273e-10	0.06513384	0.02335516	0.02302864	1.1295043e-10	0.44184655	0.059942987	0.1739618	1.1261635e-10
14x32	1.15710434e-10	0.010983635	0.30644378	0.038266107	0.06968095	1.1528549e-10	1.1552982e-10	0.06834731	1.15259975e-10	0.06868199	1.1520877e-10	0.034320235	0.39127883	0.011997219
14x34	0.16590023	1.373502e-10	0.027429316	0.009940275	1.369531e-10	0.02022655	0.06175832	0.020433579	0.08744184	1.3692802e-10	1.3693324e-10	0.10342	0.50345	1.3701998e-10
14x36	0.023747304	0.021922462	0.02661368	1.3137999e-10	0.019850587	1.3109114e-10	0.05856462	1.3090848e-10	0.16068976	1.3110438e-10	0.31369776	0.03786045	0.33705336	1.3109139e-10
14x38	0.04068443	0.034671556	0.07264096	0.034601305	0.07488868	1.2558904e-10	1.2558737e-10	1.2514716e-10	0.07332359	1.2542457e-10	0.3767762	0.051432792	0.22664598	0.01433443
14x40	1.2348783e-10	1.231449e-10	1.2329578e-10	0.013129665	0.19572984	1.230329e-10	0.03001866	0.0786743	0.09472108	0.047238536	0.29449743	1.2349419e-10	0.21846984	0.027520673
14x42	0.032354686	1.1913746e-10	0.041376185	0.05465847	0.061670575	1.1909908e-10	0.03741099	0.09906316	0.028986596	0.019069904	0.23519963	0.08634781	0.2538568	0.050005246
14x44	1.1605288e-10	0.066014335	0.011409177	0.07774356	0.07108299	1.1590313e-10	0.0700455	0.03995955	0.033128314	0.04940092	0.3316015	1.1615985e-10	0.2021081	0.04750606
14x46	0.03823882	0.08947031	0.05504257	0.014534602	0.042453475	1.3599775e-10	1.3542492e-10	1.3597182e-10	0.18648733	1.3487995e-10	1.3580465e-10	0.097718	0.47605485	1.3582044e-10
15x27	1.1246963e-10	0.04106674	0.0774473	0.079746716	0.09055959	1.1224889e-10	0.059008583	0.046429206	1.12042264e-10	0.018784016	0.32259992	0.04672646	0.194344	0.023287417
15x29	1.1339572e-10	1.1350088e-10	0.093336046	0.10115893	0.06415341	1.1301461e-10	0.071817495	1.1337106e-10	0.0176353	1.1330145e-10	0.61376595	0.010005097	1.1321958e-10	0.028127812
15x31	0.026354043	1.1140851e-10	0.07256549	0.09018171	0.12783119	1.1149823e-10	0.048122756	1.11833674e-10	0.0017692186	1.1158141e-10	0.23698209	1.12005516e-10	0.36025265	0.035940845
15x33	0.10386979	1.238066e-10	0.14259164	0.017282378	0.09820131	1.236794e-10	0.086588725	0.030640235	0.025899386	1.2355136e-10	1.2283821e-10	0.10279595	0.39213055	1.236209e-10
15x35	0.20165803	1.2479184e-10	0.14494804	0.03143608	0.030394679	1.2457257e-10	1.2454003e-10	1.243983e-10	1.2467097e-10	0.04025406	1.238122e-10	0.15375228	0.39755684	1.2456758e-10
15x37	1.1819966e-10	1.1839867e-10	0.07419711	0.077238105	0.07099857	1.184766e-10	0.057479847	0.0042664725	0.028580425	0.014800341	0.63805693	0.034382287	1.1816224e-10	1.1834268e-10
15x39	0.106306836	0.059616506	0.026495852	0.07719645	0.07563236	1.247437e-10	0.019192038	1.2467138e-10	0.07903107	1.2472252e-10	0.13539848	1.2494061e-10	0.42113042	1.2450124e-10
15x41	1.1871805e-10	0.051953245	0.040207572	0.08069917	0.30740732	0.0050935126	0.044621546	0.022481808	0.015624312	1.1837437e-10	0.23641376	0.004403682	0.17106201	0.020032048
15x43	1.1919546e-10	0.010884098	0.12801109	0.06731489	0.07988947	1.1916955e-10	0.07526456	1.1893633e-10	0.057589352	1.1903234e-10	0.13055429	0.06841425	0.34372374	0.03835432
15x45	1.2075611e-10	0.010394196	0.06995272	0.12062657	0.052539535	1.2069855e-10	0.04457594	1.2071673e-10	0.07858356	1.2019725e-10	0.40312612	1.2087618e-10	0.22020136	1.2100511e-10
15x47	0.114404105	1.2474037e-10	0.09607364	0.0964326	0.103588335	1.2461267e-10	0.033665452	0.026841078	0.08301076	1.2389222e-10	1.2408116e-10	0.019898579	0.42608547	1.2405277e-10
15x49	0.19910932	0.019361818	0.057708524	0.048952583	1.3459356e-10	1.3425025e-10	1.3449321e-10	0.03364138	0.07405292	1.3422977e-10	1.340159e-10	0.088723674	0.44554183	0.03290792
16x26	1.14012175e-10	1.1391957e-10	1.14178215e-10	0.10956342	0.105590306	1.1414599e-10	0.042591102	1.13850936e-10	0.020932397	1.13761715e-10	0.5740957	0.08022056	0.037941705	0.029064788
16x28	1.1562337e-10	0.046880104	0.07005531	0.07050253	0.09647855	1.1536541e-10	0.06328639	0.016127085	1.1544377e-10	0.053690717	0.25885698	0.03698838	0.24230714	0.044826873
