	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
14x54	0.0024336423	1.812047e-10	1.8146376e-10	1.818813e-10	1.8080905e-10	0.057200547	1.8116773e-10	1.817953e-10	1.8122026e-10	1.8174917e-10	0.2693327	1.8122995e-10	0.5893813	0.08165188
15x53	0.19061027	1.775573e-10	1.7798522e-10	0.050389916	1.7811391e-10	0.049037	0.067234315	1.7753055e-10	1.7737249e-10	1.7797028e-10	1.7723756e-10	0.004469265	0.6382592	1.7809387e-10
16x54	0.09320214	0.053261705	1.7298095e-10	1.7280485e-10	1.720432e-10	1.7327155e-10	0.047583915	1.7217877e-10	1.7320777e-10	1.7277586e-10	0.45319402	1.7249235e-10	0.35275826	1.7228456e-10
18x54	0.071230106	1.6041055e-10	1.6077137e-10	0.03693557	1.6065366e-10	1.6043684e-10	0.08254438	1.6015343e-10	1.6103684e-10	1.6000139e-10	0.3795994	1.6024786e-10	0.4296905	1.6064476e-10
19x53	0.39780983	1.738416e-10	1.7356792e-10	0.020501353	1.740297e-10	0.026563905	0.093090445	1.7439189e-10	1.7446375e-10	0.04216092	0.21347722	1.7369874e-10	0.20639637	1.7367423e-10
19x55	0.06235415	1.6700596e-10	1.6671793e-10	0.021636281	1.6701074e-10	0.07970035	1.6718858e-10	1.6719846e-10	1.6760812e-10	1.6698908e-10	0.30882016	0.016116302	0.51137275	1.6726864e-10
20x52	0.010280455	1.8236142e-10	1.8129255e-10	1.8125694e-10	1.8260993e-10	0.139422	0.08110036	1.8137866e-10	1.8208997e-10	1.8235446e-10	0.41476455	1.8177072e-10	0.35443264	1.8131814e-10
20x54	0.4241786	1.7984536e-10	1.7952116e-10	1.7978775e-10	0.01543467	0.07897044	0.031954587	1.7888097e-10	1.7965988e-10	0.11429809	1.7925769e-10	1.79688e-10	0.32226637	0.012897169
20x56	0.17640024	1.8185417e-10	1.8193987e-10	1.8223124e-10	1.8155367e-10	0.09067565	1.818625e-10	1.8218434e-10	1.8245314e-10	1.8217251e-10	0.28512257	1.8226703e-10	0.4478016	1.8232373e-10
21x51	2.0206671e-10	2.0153784e-10	2.0171897e-10	2.0134037e-10	0.03197828	0.2097754	0.041891214	2.0183366e-10	2.011519e-10	2.0124477e-10	0.71635514	2.0186987e-10	2.0178749e-10	2.0084558e-10
21x53	1.7230509e-10	1.7288809e-10	1.7286039e-10	1.7262482e-10	1.7228931e-10	0.14123787	0.106165774	0.0035256366	1.7282545e-10	1.7298342e-10	0.7490707	1.726146e-10	1.7288117e-10	1.7240437e-10
21x55	1.6749656e-10	0.015466774	1.6786211e-10	0.017516267	1.6703905e-10	0.124010086	0.060101416	1.6764103e-10	1.6801041e-10	0.117615394	0.6652901	1.6734232e-10	1.6750805e-10	1.6816333e-10
21x57	0.3169254	0.021238834	1.7812736e-10	0.05470718	1.7853656e-10	0.119004	0.074678734	1.7836774e-10	1.7885386e-10	1.7894021e-10	1.7756326e-10	1.7924251e-10	0.41344583	1.7878192e-10
22x48	0.07188123	1.952175e-10	1.9473032e-10	0.034410436	1.951367e-10	0.1560744	0.04169735	1.9421101e-10	1.9483434e-10	0.0538783	0.4787067	1.9531765e-10	0.16335163	1.9548463e-10
22x50	0.06966345	1.8909853e-10	1.887094e-10	1.8931001e-10	1.8941183e-10	0.11633293	0.065994486	1.8855181e-10	1.8899757e-10	0.021517225	0.42694676	1.8949713e-10	0.29954514	1.8887827e-10
22x52	0.07567016	1.6292398e-10	1.6232068e-10	1.6234948e-10	0.00525917	0.028863352	0.13617532	1.6247184e-10	1.629386e-10	0.12678112	0.53786063	1.6274228e-10	0.08939028	1.6298615e-10
22x54	1.6664334e-10	1.669462e-10	1.6583006e-10	0.03687175	1.6686981e-10	0.08861238	0.17506208	0.012291147	1.6684497e-10	0.029505756	0.65765685	1.6610006e-10	1.6626585e-10	1.6679025e-10
22x56	0.2866619	1.7559672e-10	1.7518757e-10	0.07317848	0.049512308	0.09754019	0.10343094	1.7530358e-10	1.7549125e-10	0.008339019	1.7470908e-10	1.7448029e-10	0.38133723	1.7526479e-10
22x58	0.38665006	0.055438865	0.032508098	1.7611194e-10	1.757358e-10	0.081185065	1.7506502e-10	1.7511881e-10	1.7625443e-10	1.7615058e-10	1.7534574e-10	1.7625142e-10	0.44421786	1.7521569e-10
23x45	0.14642024	1.709473e-10	1.7059261e-10	1.7057016e-10	1.704859e-10	0.08408689	0.007762336	1.6987664e-10	1.7044981e-10	0.044681877	0.53440523	1.7015067e-10	0.18264346	1.7036043e-10
