	Activated periportal hepatocytes	B cells	Cholangiocytes	Endothelial cells	Fibroblasts	Inflammatory hepatocytes	Kupffer cells	Mesothelial cells	Midlobular hepatocytes	Monocytes & DCs	Pericentral hepatocytes	Periportal endothelial cells	Periportal hepatocytes	T & NK cells
Xkr4	1.0472695e-05	7.889091e-08	4.572024e-05	8.0888626e-08	1.0158456e-05	8.081276e-08	8.1453884e-08	0.00021475	7.7984296e-08	8.1124405e-08	8.1262236e-08	7.694444e-08	1.0242573e-05	8.119298e-08
Sox17	8.161375e-08	8.1343806e-08	5.6191046e-05	0.000647079	5.7682628e-05	8.160861e-08	5.649522e-05	8.1702055e-08	8.114406e-08	5.7783433e-05	2.8855968e-05	0.00055584655	8.53481e-05	5.997917e-05
Gm37587	8.217294e-08	8.2078955e-08	8.192083e-08	0.09517554	8.200071e-08	8.209727e-08	8.203091e-08	8.2068304e-08	8.209664e-08	8.207958e-08	8.208819e-08	8.205595e-08	8.208209e-08	8.209398e-08
Lypla1	0.00054763415	0.0002918733	0.00057926204	0.0004992211	0.00035809504	0.0009607951	0.0005340428	0.00055374816	0.00034154215	0.0005235002	0.0004815616	0.00047538843	0.00036117522	0.0006415653
Atp6v1h	0.00054558896	0.0003802077	0.00047008228	0.00043205556	0.00038499112	0.00020262793	0.0003967577	0.0004369857	0.00040322103	0.00056612457	0.0006422765	0.00031454233	0.00054364203	0.00050198147
Gm37108	1.9213201e-05	6.0644456e-05	5.6729477e-05	5.391836e-05	5.614541e-05	0.00022288783	0.00013272006	9.566958e-05	9.612821e-05	3.837669e-05	0.00013599385	9.654833e-05	1.8893732e-05	0.00018460385
Sntg1	1.0360284e-05	1.4572781e-05	2.7065746e-05	1.591647e-05	0.00030360758	7.3122887e-06	1.0091761e-05	4.1148367e-05	1.3704785e-05	2.0675307e-05	3.4398731e-06	3.9233502e-05	3.3854997e-06	2.5335485e-05
Gm24276	0.00013860462	0.00010272301	0.0001513586	0.0001277777	0.00013692152	0.00029732336	0.00031211454	0.00021451057	0.00016376749	0.00016038348	0.00013640361	0.00013923907	8.191474e-08	8.212238e-05
Tcf24	3.5089295e-05	3.691737e-05	1.70002e-05	3.2342374e-05	5.1272167e-05	0.00013621383	1.7388067e-05	6.982312e-05	0.00010984562	8.746753e-05	3.497427e-05	1.7621172e-05	8.1749135e-08	8.1868656e-08
Prex2	4.1797106e-05	0.00010762809	0.00023037178	0.0009143512	0.00049695815	4.056912e-05	7.154952e-05	0.00015155488	7.3347284e-05	7.009926e-05	0.00013132309	0.0006850227	5.0984057e-05	6.533929e-05
Sulf1	8.142654e-08	8.1467554e-08	2.5039872e-06	8.140884e-08	2.517463e-06	8.1453884e-08	7.9926735e-08	0.0004040456	8.163243e-08	8.183103e-08	2.5727206e-06	2.900249e-05	7.985984e-08	8.121405e-08
Eya1	8.2151e-08	1.6200837	8.216385e-08	8.2157115e-08	8.213721e-08	8.217372e-08	8.217482e-08	8.220539e-08	8.214066e-08	1.212304	8.214254e-08	8.208788e-08	8.215445e-08	0.3174615
