"x_cord"	"y_cord"	"cluster"
"5x23"	"5"	"23"	"0"
"6x20"	"6"	"20"	"7"
"6x22"	"6"	"22"	"0"
"6x24"	"6"	"24"	"1"
"6x26"	"6"	"26"	"1"
"7x21"	"7"	"21"	"5"
"7x23"	"7"	"23"	"0"
"7x25"	"7"	"25"	"3"
"7x27"	"7"	"27"	"1"
"7x29"	"7"	"29"	"5"
"8x20"	"8"	"20"	"5"
"8x22"	"8"	"22"	"1"
"8x24"	"8"	"24"	"2"
"8x26"	"8"	"26"	"1"
"8x28"	"8"	"28"	"1"
"8x30"	"8"	"30"	"1"
"8x32"	"8"	"32"	"0"
"9x19"	"9"	"19"	"0"
"9x21"	"9"	"21"	"3"
"9x23"	"9"	"23"	"4"
"9x25"	"9"	"25"	"0"
"9x27"	"9"	"27"	"1"
"9x29"	"9"	"29"	"1"
"9x31"	"9"	"31"	"1"
"9x33"	"9"	"33"	"7"
"9x35"	"9"	"35"	"5"
"10x18"	"10"	"18"	"0"
"10x20"	"10"	"20"	"7"
"10x22"	"10"	"22"	"3"
"10x24"	"10"	"24"	"0"
"10x26"	"10"	"26"	"6"
"10x28"	"10"	"28"	"5"
"10x30"	"10"	"30"	"10"
"10x32"	"10"	"32"	"7"
"10x34"	"10"	"34"	"7"
"10x36"	"10"	"36"	"0"
"11x17"	"11"	"17"	"0"
"11x19"	"11"	"19"	"0"
"11x21"	"11"	"21"	"5"
"11x23"	"11"	"23"	"3"
"11x25"	"11"	"25"	"0"
"11x29"	"11"	"29"	"10"
"11x31"	"11"	"31"	"3"
"11x33"	"11"	"33"	"0"
"11x35"	"11"	"35"	"0"
"11x37"	"11"	"37"	"0"
"12x18"	"12"	"18"	"0"
"12x20"	"12"	"20"	"6"
"12x22"	"12"	"22"	"1"
"12x24"	"12"	"24"	"1"
"12x26"	"12"	"26"	"0"
"12x30"	"12"	"30"	"9"
"12x32"	"12"	"32"	"3"
"12x34"	"12"	"34"	"0"
"12x36"	"12"	"36"	"0"
"12x38"	"12"	"38"	"0"
"13x17"	"13"	"17"	"7"
"13x19"	"13"	"19"	"0"
"13x21"	"13"	"21"	"2"
"13x23"	"13"	"23"	"3"
"13x25"	"13"	"25"	"1"
"13x27"	"13"	"27"	"0"
"13x29"	"13"	"29"	"0"
"13x31"	"13"	"31"	"1"
"13x33"	"13"	"33"	"3"
"13x35"	"13"	"35"	"5"
"13x37"	"13"	"37"	"1"
"13x39"	"13"	"39"	"5"
"14x18"	"14"	"18"	"0"
"14x20"	"14"	"20"	"7"
"14x22"	"14"	"22"	"1"
"14x24"	"14"	"24"	"1"
"14x26"	"14"	"26"	"3"
"14x28"	"14"	"28"	"1"
"14x30"	"14"	"30"	"0"
"14x32"	"14"	"32"	"1"
"14x34"	"14"	"34"	"5"
"14x36"	"14"	"36"	"3"
"14x38"	"14"	"38"	"0"
"14x40"	"14"	"40"	"1"
"14x42"	"14"	"42"	"5"
"15x17"	"15"	"17"	"7"
"15x19"	"15"	"19"	"5"
"15x21"	"15"	"21"	"0"
"15x23"	"15"	"23"	"0"
"15x25"	"15"	"25"	"1"
"15x27"	"15"	"27"	"3"
"15x29"	"15"	"29"	"4"
"15x31"	"15"	"31"	"0"
"15x33"	"15"	"33"	"1"
"15x35"	"15"	"35"	"5"
"15x37"	"15"	"37"	"1"
"15x39"	"15"	"39"	"0"
"15x41"	"15"	"41"	"1"
"15x43"	"15"	"43"	"0"
"16x18"	"16"	"18"	"5"
"16x20"	"16"	"20"	"6"
"16x22"	"16"	"22"	"0"
