	dist_type_ambigious	dist_type_central	dist_type_portal
12x18	164.15909965640031	424.39958765295705	357.6537571450912
13x17	190.7807642295207	382.00641355872534	395.49374204909986
13x19	78.31583492500083	363.6330155527684	278.14415327308234
13x21	58.76265821080589	386.5059507950685	156.85295661861127
14x18	124.90196155385217	312.29553310926485	321.28756589697014
14x20	0.31622776601676605	313.1001437240168	201.65837448516726
14x22	97.50128204285316	361.40628107436095	80.88572185497264
14x24	225.00035555527464	418.37179637255656	6.997142273814314
15x17	196.76712123726364	279.1066104555747	371.0268184376972
15x19	82.13221049016036	249.90098039023363	245.44184647284573
15x21	61.508129543988055	280.1921662002704	120.3945596777528
15x23	170.98880080285977	344.50104499115815	8.459905436823584
15x25	293.63514775993707	355.34096302002666	75.13321502504743
15x27	376.4280143666249	245.04703630119647	195.5086954587956
15x33	405.4297473052512	220.7878619852098	420.8808382428452
15x35	348.70435902064645	327.89957304028337	453.35673591554814
16x16	277.1486604694311	269.13970349987375	432.45829856761907
16x18	168.00386900306785	201.77338773981066	305.3242538679165
16x20	101.37065650374386	202.60950125796163	177.4131054911108
16x22	146.76229079705743	271.0342598270558	50.33458055849869
16x24	251.74943892688245	315.56010520976815	45.420039630101854
16x26	322.9218171632261	276.1711425909666	156.61577187499347
16x28	335.07494684025534	160.3409492300702	272.65292956430903
16x30	393.30560636736413	83.46556176052476	390.87964899697687
16x32	405.9390717829461	134.71128386293418	362.335935286579
16x34	323.82800990649326	246.43981009569066	378.25253469078035
16x36	276.2622304984883	367.68086705728956	431.31429375804373
16x38	281.2870597805735	490.73374654694373	510.46078203912975
17x17	253.17110814624968	183.93860388727526	374.8309085441061
17x19	176.47053578430598	135.1001480384088	251.42483966386453
17x21	165.98810198324472	185.22918236606245	132.57017009870648
17x23	232.99255352907755	235.24015388534335	67.4946664559505
17x25	273.38955722558234	309.642455099426	129.30757905088174
17x27	263.61587584969146	199.31816274489367	240.6801404353922
17x29	310.3619177669837	75.44481426844378	354.88437553659656
17x31	395.06508324578607	49.181500587110875	315.19711293094036
17x33	320.2389264283777	167.39943249605125	307.69785504614737
17x35	241.5895693112595	292.6303470250483	349.33267811643395
17x37	215.30926594087862	411.88309020886027	426.8471389150923
17x39	255.64604436603364	530.3792039663699	475.4926918470987
18x16	328.9237297611712	198.68371850758166	349.9011574716493
18x18	247.86264341364546	99.00752496653969	320.6993763635968
18x20	210.89642007393113	107.97823854832976	209.73626295898376
18x22	240.62429220675136	169.00073964335175	127.31712375010687
18x24	245.5349262325014	231.37934220668882	139.20057471145748
18x26	208.57463891854152	253.92554026722067	216.86903882297278
18x28	237.0719932847405	126.25422765198769	326.5463673048594
18x30	317.9983647756699	1.1661903789690133	289.3543847948394
18x32	335.98150246702534	103.10077594276424	252.9291798112664
18x34	234.19380862866538	222.484021898203	276.8572556390749
18x36	168.3275675580204	338.1904345187785	349.10366655192854
18x38	181.03449947454774	459.80353413169865	419.50004767580185
18x40	257.45758874035926	583.6636103099113	437.32048888658295
19x15	416.8385418840249	245.5658160249507	296.33084550886684
19x17	331.35722415544217	120.33291320332928	298.31495101653894
19x19	277.667805119715	25.393109301540754	295.16098996988075
19x21	273.4839849058808	111.2523707612561	207.25851007859728
19x23	237.03780289228115	146.3390583542206	177.18611683763504
19x25	167.36600610637728	249.23358521676013	218.38630909468685
19x27	158.464033774229	200.96280750427414	302.8366721518385
19x29	232.50483865932765	81.0191335426392	281.99450349253243
19x31	340.43595579785625	59.19999999999982	209.47324411485093
19x33	252.57430589828394	139.05459359546538	201.1839456815578
19x35	147.583772820727	260.05916634489165	263.05925188063617
19x37	107.04335570225737	386.61076032619695	362.27155560435614
19x39	171.51131158031546	511.9731731253116	366.2074958271608
20x16	415.3600004815101	183.71589479410852	233.70008557978733
20x18	352.089335254563	60.60115510450272	265.9310060899254
20x20	325.8032074734686	37.04497266836633	291.09608379365045
20x22	259.7541145006175	60.590428286982785	238.90960633679012
20x24	152.4689148646371	167.88856423235035	246.12348526705057
20x26	93.50278070731358	279.74161292163876	285.7249901566188
20x28	146.2081393083162	163.16868572124972	270.2421506723182
20x30	258.381733100465	39.53378302161334	195.86862944330827
20x32	296.0781146927276	61.44306307468737	137.87693788302664
20x34	172.7091485706532	188.42889905744298	177.58617626380723
20x36	62.59912139958493	316.31827326286435	276.43995731442305
20x38	86.78582833619781	444.30325229509646	304.7001476862128
20x40	190.06804044867755	572.1019664360545	328.46591908446163
21x15	501.1148570936608	260.57187108358414	185.66448233305138
