	dist_type_parasite
14x14	999.3442700090894
15x13	1011.4473639295322
15x15	914.5614741503164
16x12	1017.2870293088375
16x14	927.7308068615591
17x13	930.3296620015938
17x15	844.1060715336667
18x12	947.1164289568626
18x14	856.8732111578701
18x34	266.36105195767635
19x11	954.6932753507799
19x13	858.8032894673844
19x33	285.8471269752415
19x37	120.0102078991616
20x12	869.8567353305946
20x14	771.7559782729254
20x32	331.43483522406
20x34	206.06659117867682
20x36	94.68357830162502
20x38	73.76313442364014
21x11	888.7592081098231
21x13	783.8268303649729
21x31	386.3022909587774
21x33	260.4584419825933
21x35	131.18734695083964
21x37	6.4350602172783535
21x39	110.48370920638037
22x30	331.5467538673846
22x32	325.82248234276267
22x34	200.2223264273991
22x36	78.99493654659122
22x38	66.76900478515469
23x25	155.65310790343995
23x27	163.13396335527412
23x29	247.49701008295042
23x31	356.70409305193016
23x33	277.6058356735318
23x35	164.42058873510933
23x37	99.31550734905387
23x39	151.11045628943089
24x24	147.72071621813905
24x26	94.04392590699307
24x28	165.87419931984618
24x30	277.48704474263303
24x32	359.0967696875034
24x34	250.425657631162
24x36	170.24317901167132
24x38	164.07144785123347
24x40	237.21806423626336
25x23	185.58407798084386
25x25	64.41816513996633
25x27	70.85224061382972
25x29	197.02459237364272
25x31	325.31098966988526
25x33	335.92618236749587
25x35	250.29622450208865
25x37	215.1751147321643
25x39	247.05440696332482
26x20	253.82058624154186
26x22	193.15817352625774
26x24	119.2748925801235
26x26	12.00666481584291
26x28	122.2163655162434
26x30	249.24835004468937
26x32	377.33436101155706
26x34	347.91120993724815
26x36	290.3886533595965
26x38	282.5581179155892
26x40	328.8003953768915
27x19	266.11698555334635
27x21	168.10627590902118
27x23	133.16343341923874
27x25	90.27834734863066
27x27	93.40754787489084
27x29	199.99562495214738
27x31	320.8501831073191
27x33	432.0722740468312
27x35	366.3331407339498
27x37	335.8210535389348
27x39	355.1858246045302
27x41	411.8894026313378
28x20	183.64577316126818
28x22	84.533366193474
28x24	107.90681164782873
28x26	127.30015710909413
28x28	180.57602277157417
28x30	280.0580297009891
28x32	398.1100350405653
28x34	445.3864950803965
28x36	400.88631805039216
28x38	396.4962799321074
28x40	431.5780462442454
28x42	495.74284664531484
29x19	232.27107008837743
29x21	113.55395193475215
29x23	21.883555469804033
29x25	143.44702855061172
29x27	197.28076439430194
29x29	262.9047355982772
29x31	366.58014130609985
29x33	480.0345404239158
29x35	469.72472789922426
29x37	453.6612172094945
29x39	464.0154415534038
29x41	510.01756832485705
30x18	287.416509616271
30x20	160.6320640470014
30x22	41.871828238088746
30x24	88.27508142165607
30x26	213.31509557459836
30x28	275.0978007909189
30x30	354.3554430229628
30x32	456.3460309896431
30x34	544.6653376156776
30x36	509.6193187076019
30x38	506.85217766129824
30x40	536.8132822499834
30x42	591.3982076401653
31x17	360.6292556074729
31x19	241.36486902612813
31x21	127.10192760143353
31x23	87.16220511207825
31x25	170.36622317818785
31x27	287.9469569208887
31x29	358.9369443230944
31x31	438.73641289503223
31x33	540.903318532989
31x35	514.1378511644516
31x37	482.71276138092725
31x39	484.125293699885
31x41	516.2170570603026
32x18	318.4732641839813
32x20	210.89440485702795
32x22	144.96678930017046
32x24	165.0784661910818
32x26	255.1345723338962
32x28	368.2464528002952
32x30	442.04330104640223
32x32	526.7076703447558
32x34	488.26047351797774
32x36	438.55377093350813
32x38	421.96844668766374
32x40	440.9166134316103
32x42	493.0418339248707
33x17	401.0284029841277
33x19	299.40328989508447
33x21	220.75986954154533
33x23	198.07435472569395
33x25	247.14339966909907
33x27	340.1532742749952
33x29	449.49452721918686
33x31	524.6453754680397
33x33	479.0617601103218
33x35	409.3794816548576
33x37	367.5299307539453
33x39	369.99655403800693
33x41	411.2999878434231
34x18	390.6461954249652
34x20	305.56439583171345
