	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
16x46	2045.5882405802006	1057.0805314638994	381.979122466137	685.4121752639066	315.9272859377612
17x43	1890.2305943984718	949.5211951294187	265.4620500184535	535.6413912311109	342.7507840983006
17x45	1962.5529750811825	983.4080434895781	302.3616708513167	602.0190860761808	281.8165715496515
17x47	2039.504606516004	1029.8244704802853	374.27775782164787	685.0455751262102	256.06569469571673
17x49	2120.850551076148	1088.4731783558107	468.7927687155597	779.8611799544842	287.1714818710244
17x55	2394.6890069485016	1330.9542591689622	575.3976364219792	780.0887385419687	574.8864583550393
18x42	1808.6847956457202	880.5327307942619	207.0195401405384	457.3970813199403	289.4831428598218
18x44	1881.5849064020472	909.3120256545606	224.47128992367826	521.024913031997	258.3891638594776
18x46	1958.9064347232106	952.9035732958502	293.5541176682759	604.4352901676076	200.3727027316843
18x48	2041.0854808165188	1010.5568464960296	390.561570050101	701.0163621485592	211.24000568074217
18x50	2127.9034987517643	1080.81695952645	411.6723211487505	768.110213445961	284.1156454685311
18x52	2219.0548280743315	1161.1039273036674	437.12507363453756	732.2635659378388	385.2473620934997
18x54	2312.7667867729338	1248.8669304613686	494.75873918507006	720.5901817260626	497.34355329088197
18x56	2409.7538836984995	1342.987334266411	574.015836018485	729.745284328717	615.1300512899694
19x41	1727.815212920641	815.6913693303368	176.21750764325313	383.5622635244504	258.8099882152927
19x43	1798.2315340355926	837.510985002585	151.0326123722953	437.9945775920064	226.30079540293264
19x45	1874.0830984777594	875.1371663916461	208.06888282489518	518.5921904541177	172.7363887546569
19x47	1955.5165174449435	928.9014210345465	305.35528487321125	615.140187274413	138.6731769305079
19x49	2043.4046344275525	997.8511412029352	354.6661810773618	723.1067002870324	199.54573410624445
19x51	2133.300353911751	1076.192269067196	364.8325643360252	694.0138327151699	300.5411785429745
19x53	2226.699665424145	1162.7933608341596	411.7246652800874	665.7478501655111	416.3789139713971
19x55	2324.9499629024276	1258.099252841365	489.3378485259443	664.9856614995542	537.7454137414844
20x40	1644.0722763917652	751.1440940325631	172.75951493333142	311.6540550033001	247.9859875073587
20x42	1713.0738016793089	766.5455302850575	93.76273246871588	354.02097395493394	177.57378748002188
20x44	1787.9264470329867	797.6529195082281	121.75951708182811	431.3520372039525	177.56852198517592
