	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
11x31	363.78813889405455	730.8433553094669	364.27051761019567	296.31100215820527
11x33	408.01416642072616	762.7524893436927	408.0501929910094	222.80969458261904
12x30	292.4041039383681	668.6614689063517	292.88659921546423	318.5488345607311
12x32	341.7857223466189	691.5088430381784	342.3169291752894	214.69625054946792
12x34	357.6742232814659	729.6754415491863	358.24579550917264	149.7279199080784
12x36	402.07772880377263	733.139345554445	402.48838492557786	177.26054270479952
12x38	474.59891487444435	735.867195898825	474.6884557264902	256.90724006925154
12x40	505.125538851482	750.4153583183116	505.39193701522396	365.5606789576803
13x29	221.2228062384164	604.7000330742507	222.03542510149123	353.981821567153
13x31	259.11180984277803	618.0573840672076	259.5833777421042	230.0502771135038
13x33	291.75184660940863	652.5687243501636	291.8238167113848	123.1987824615161
13x35	319.7562978269544	680.6709116746506	320.2728368126151	93.97387934952985
13x37	390.70261069002345	673.7499016697515	390.813932709672	172.85754250248968
13x39	433.3783681726626	681.0443524470339	433.5306332890444	278.21576159520504
13x41	468.44188540308807	707.1260142294299	468.85776094675015	398.8032096159709
13x43	537.568823500768	759.1254441790235	537.7626242125793	302.68009514997834
14x28	176.80636300767	557.9332307722851	177.25487299366407	403.7101559287304
14x30	187.841688663619	560.0483014883627	188.2235373166703	281.52530969701445
14x32	247.0019028266786	582.2572799029654	247.46543192939083	161.54980656132003
14x34	248.98714826271654	626.1427952152768	249.7186416749859	49.38218302181442
14x36	308.8647924254235	623.1156072511744	309.044106884438	89.43746418587673
14x38	375.7016103239376	623.0506399964611	375.70001330849044	197.13675456393213
14x40	398.4786694416653	642.335465313881	398.7954989715907	320.48159073494395
14x42	454.9427766214121	682.668975419273	455.21547645043887	335.4255953262956
14x44	536.801872202398	745.7607189977225	537.5816682142348	224.93654660814872
14x46	465.8193641316339	822.0811882046687	466.71520223793846	147.61598829395118
15x27	123.23542510171325	511.50950137802903	123.94341450839562	448.3029890598545
15x29	112.02321188039545	495.40004037141523	112.74395770949312	325.4363224964292
15x31	169.08533348578752	512.4051619568248	169.14801210773945	203.21527993731164
15x33	182.5098901429728	548.7854407689767	182.5657689710752	84.10148631266861
15x35	221.24802823980133	576.3683631151174	221.55380836266374	0.5385164807133829
15x37	312.2108262056268	562.4341739261581	312.4023047290146	127.31457104353794
15x39	327.45663835078983	574.5556979092627	327.6572141735932	253.32321251713222
15x41	371.620303535746	604.4834571764557	371.96538817476016	375.5452702404863
15x43	451.2766335630508	660.9927382354514	451.2819517773783	253.8980110201731
15x45	453.66389541156997	736.9133802557802	454.4618025753098	140.67242089336472
15x47	388.62959228550767	822.2113840126518	389.55610635696615	83.55333625894305
15x49	337.11690850504647	918.3920785808208	337.743408521913	141.4998586571735
16x26	112.56375970977506	477.2202845646861	112.96725189186456	505.5391181698998
16x28	63.29083661952947	443.7953695116701	63.7960030095928	379.07008586803556
16x30	82.75898742734836	442.86956318988547	83.02198504010852	248.14602555753328
16x32	136.53149819730223	473.56060858141467	137.08045083088962	124.34166638741804
16x34	141.14180812218626	525.2759370083501	141.60088276561007	14.940214188558187
16x36	223.0946884172727	508.12108793081984	223.31511368467648	70.12588680366187
16x38	262.0	509.4752202021213	262.0019083899963	187.3846311734236
16x40	290.1894553563241	529.5844786245156	290.62367419052435	304.9979016321263
16x42	363.89432531986546	577.3871145081089	363.9108132496204	302.77067229175265
16x44	454.81664437441145	646.381760262463	455.5662191163869	179.45077319421037
16x46	366.17932765244944	737.0517620900177	367.0025885467294	52.20823689802204
16x48	314.3364439577439	830.0267465570012	315.2985886425752	53.50513994000959
16x50	253.79286830011583	936.0363347648423	254.37771128776185	169.22062522045007
16x52	206.24512115441652	1048.258770533307	206.32656154746522	298.6118718336566
17x25	152.88914284539615	457.6108499587831	152.98722168861013	568.5010905882237
17x27	24.76449070746239	399.28220596465343	24.687648733728995	437.66640264018423
17x29	1.7029386365925465	382.30001307873374	2.302172886644218	312.4018245785387
17x31	109.80318756757492	400.4576631805166	110.79864620111583	187.5183724332097
17x33	67.20119046564558	441.8470323539584	67.20267851804701	61.6652252083779
17x35	137.41852131354085	463.74459565584147	137.7259960936935	0.49999999999968164
17x37	213.44273236631864	448.6053945284206	214.0210270043575	106.32779504908419
17x39	215.54493731006525	460.5614182712224	215.85740663688136	236.3235493978542
17x41	278.4851342531592	498.5639076387299	278.54724913378715	327.9401927181232
17x43	377.4604217663092	564.6200226701139	378.0496925008669	237.81288863305952
17x45	366.82373151147107	651.0636297628674	367.56638856130445	109.49999999999983
17x47	284.6715475772033	747.1151785367504	285.53089149862564	0.5385164807135517
17x49	244.35547875994095	850.411665018772	245.35239962144234	100.15288313373728
17x51	166.76045694348505	962.1997973394093	167.25026158424964	230.93429801569133
17x53	152.36430028061037	1074.0967740385408	152.63512046707993	355.9189233519344
17x55	227.21560245722566	1194.33518327143	227.97265186859588	486.85473192729694
18x24	213.65135150520342	442.98589142319184	214.061906933485	630.7713531859226
18x26	88.88515061583696	369.5645681068465	89.75616970437197	502.4752431712433
18x28	18.704277585622005	327.68040832494086	18.87988347421671	375.32072951010855
18x30	67.73610558631218	330.42000544761197	68.38260012605569	251.55075034672416
18x32	42.42793890822382	364.8384985168094	42.730902166932694	137.88520587793298
18x34	64.77978079617132	425.3615168300958	65.39740055996116	54.0224027603364
18x36	184.8812862352487	391.91362568810996	185.66660981447353	57.196940477616614
18x38	142.85720142855925	390.75539663579804	142.9075925204814	177.48177371211983
18x40	199.6758623369386	422.912106707765	199.7154225391721	306.30581124098813
18x42	300.5935794390827	484.3384147473748	301.3816517308247	240.52297187586868
18x44	375.10729131809717	570.0348059548645	375.9772333532974	150.85913959717502
18x46	270.65204599263575	667.5262766363585	271.38557441396887	33.765811111240595
18x48	194.51174771720062	775.7314097031268	195.4472307299336	60.096755320067324
18x50	162.09469454611994	886.3912736483818	162.66127381770968	183.8594300002045
