	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
6x44	516.534074384256	2077.111467880335	900.0704694633639	183.68791468139625	1125.1021509178622
6x46	541.2073355009151	2071.5759652979177	958.6182660475442	116.63009903108205	1112.4086389452395
6x48	591.8337013046826	2037.7988443416098	1028.985485806287	81.0551047127818	1113.3506770106173
6x50	661.7993049255946	2016.9796032682134	1093.071598752799	146.5596124449026	1132.2394269764677
7x39	525.5059752276846	1918.1521133632755	734.0206604721695	454.423073797975	1158.7177956689886
7x41	478.1123298974832	1955.55414141363	777.7414737559004	332.7329259330971	1114.2277146077454
7x43	460.17129419380336	2003.5403714425122	826.6435870434125	207.40882334172755	1081.6409848004096
7x45	468.7899316324957	2036.9332340555495	876.1415410765546	98.71676655968832	1060.4121840114815
7x47	514.2731764344705	2003.6468002120532	946.8708993310546	44.223297027697704	1058.2164712382812
7x49	575.3705240972986	1967.132695066604	1015.8500086134765	60.377479245162306	1061.0171723398262
8x38	515.2245723953778	1846.568211575191	660.9116128500089	515.130624210986	1137.4178475828485
8x40	448.48152693282685	1883.8942326999147	702.7910642573652	386.48347959518253	1083.9791879920942
8x42	408.1986893658527	1925.3035007499466	749.6940509301111	259.5110209605749	1041.0075744200904
8x44	407.00184274767105	1977.1245029082006	801.183936434075	133.928712380878	1016.0352848203647
8x46	433.5800848747554	1963.8895310072814	861.1614773084084	13.471822445385538	999.416874982607
8x48	493.7038991136287	1925.4190037495734	938.4853435190132	14.762791064022922	997.9825349173201
8x50	576.857781433171	1900.6310794049432	982.0468929740575	88.67299476165246	1017.7283036252849
9x37	520.9906429102155	1779.707461916143	589.1906737211648	524.2154614278367	1124.761863684931
9x39	431.28024531619786	1809.7667391130826	626.2996487305419	435.94730186113065	1057.7369474496008
9x41	370.98237154883765	1847.5910045245405	674.9332707757117	328.2077390921789	1007.6399753880349
9x43	345.5070476849928	1897.514089539258	720.630085411371	197.31173305204123	969.9659375462624
9x45	360.0784636714615	1929.2521089790207	780.0815982959733	77.1705902530229	948.1209311053099
9x47	415.6877313561228	1892.6975696079921	858.1672855568431	49.3000000000002	944.1851989943499
9x49	487.26732909153674	1855.7904111186692	905.3373128287599	47.34817842325107	947.3124352609332
9x51	587.4014385409694	1831.7112900236214	948.8162361595631	159.3632642737971	976.540040141724
10x36	540.5059111610158	1713.152194056325	519.6768611358409	542.6645741155395	1118.392793252889
10x38	437.7166320806189	1737.4358837090938	553.4616969583351	440.9111588517577	1043.8235722573045
10x40	351.80997711833	1773.6054409027956	595.9193401795247	356.7574245898743	981.6980493002926
10x42	293.4288329390959	1813.7900319496741	636.872263487742	279.3758758375531	929.2130433867142
10x44	286.27512990128906	1866.2318853775914	693.5271083382394	164.7235562996379	897.1916461938328
10x46	327.9790237195057	1854.1597126461354	766.9393978666113	87.50794249666706	884.1357588063046
10x48	404.6932789162678	1816.886966764856	835.4207622509748	94.66070990648662	885.2858577883189
10x50	501.22908933939595	1789.1577906937105	873.7095627266535	132.08784955475684	906.4003530449444
10x52	609.6323892314124	1772.8027103995523	927.5307272538199	233.39333752273262	947.3784090847753
11x37	458.46310647640956	1665.9509056391787	477.8142107556032	460.3503231235964	1034.6609203019118
11x39	350.34578633116155	1700.5975920246387	518.9851346618706	353.58332822688334	960.8139101824036
11x41	265.12625294376244	1737.743056380891	562.4177539871941	270.5714877809558	898.8879407356624
11x43	225.54015163602244	1784.6611331006231	609.5437309988514	229.77458519166126	855.3733453878488
11x45	247.98814487793567	1818.7596652664142	682.1598932801606	165.31339933592795	831.3664174117208
11x47	319.43475077079506	1778.686357961965	765.6491102326181	149.99853332616297	824.755212169041
11x49	412.5086302127508	1743.9611148187907	795.7847510476686	153.5570577993732	833.9745619621739
11x51	522.5124878890457	1718.4271005777346	841.325442382435	219.06186340849044	865.0189015275909
11x53	638.1391070918629	1704.7718087767641	904.6876367011986	316.3386160429992	915.3996504259765
12x36	490.17283686471234	1596.4222530395898	403.8091257017355	491.07149174025557	1029.0997084830992
12x38	371.982392056398	1625.6284015727579	441.5800040762715	373.57636434870955	948.4541633626791
12x40	264.2760866972263	1661.3827524083665	490.48756355283865	267.4083955301326	877.4703698701169
12x42	186.09701770850586	1706.16133469259	529.4307320131691	192.3665771385454	822.4359549533324
12x44	173.99770113423904	1763.9057231042707	597.8795865389619	174.85536880519274	786.3955747586577
12x46	235.08851524479024	1751.0552275699358	683.1809496758526	195.81524455465677	775.0569075880815
12x48	326.0823975623341	1708.2198131388125	724.0447016586752	207.06069158582469	771.3290672598823
12x50	437.62150312798855	1672.0069916121763	760.4770739476635	230.33927151052652	789.2019893538029
12x52	557.6994262145157	1654.7008339878237	821.7985458736222	301.72313467813524	835.9147384751628
13x35	503.22513848177334	1531.97883144644	338.5089954491608	532.9273308810498	1028.3578851742227
13x37	407.0566668167957	1552.854639043848	370.0658454923934	409.78961675474375	942.5168062162072
13x39	291.84386236479236	1584.1347922446498	406.60723062926473	292.9560376575295	864.3388455923982
13x41	180.1350881977187	1630.0152913393174	453.0976164139468	183.20002729257408	797.8869907449298
13x43	118.84653970562194	1689.1089070868109	519.1266704764842	124.6310555198822	752.5054817076084
13x45	147.76227529379736	1714.1430191206332	595.2292751537007	147.98611421346246	720.1506023048232
13x47	245.69778183776936	1670.6513699751958	654.3763443157155	250.21790503479187	711.3498436072084
13x49	355.6700999521891	1631.901351185175	684.6169878114331	267.79697533766154	719.4745443724885
