	dist_type_parasite
2x32	101.87075144515224
2x34	32.82834141408931
2x36	71.61515202804506
2x38	64.5786342376487
2x40	141.94815955129553
2x42	55.51666416491512
2x44	51.224701072822604
2x48	306.02374090910024
3x29	151.31239209000688
3x31	168.1975624080206
3x33	93.84908097578791
3x35	4.3416586692181545
3x37	104.6191187116393
3x39	139.8608594282189
3x41	101.57578451579884
3x43	13.368993978606099
3x45	121.24099966595486
3x47	245.7917817991484
3x49	355.2855330575676
4x28	134.28272413084258
4x30	91.53387351139459
4x32	168.07965373595962
4x36	64.20918937348466
4x38	176.79423067509904
4x40	179.01365869675953
4x42	76.88985628806954
4x44	98.702228951529
4x46	204.85909791854533
4x48	298.2839251451542
5x27	163.62016990579136
5x29	47.87243465711753
5x31	84.22404644755557
5x33	164.1160564966145
5x37	150.08667495817235
5x39	247.2427956483263
5x41	160.77801466618496
5x43	121.8837560957161
5x45	184.74774694160703
5x47	256.3323818794652
5x49	241.40907190907308
5x51	285.11010153973865
6x24	351.02263459782756
6x26	223.37101423416593
6x28	96.27730781445847
6x30	20.16035713969395
6x32	140.18188185354046
6x34	172.30020313394877
6x38	236.0190246569121
6x40	246.97572755232449
6x42	184.79031359895455
6x44	193.78261015890988
6x46	239.93259470109504
6x48	183.15733673538708
6x50	203.03608053742576
7x23	419.8948677943086
7x25	294.7356781931905
7x27	173.43033183385177
7x29	74.45407980762374
7x31	106.0898675651922
7x33	217.8043617561413
7x37	243.46755430652382
7x39	322.7541634123409
7x41	260.3648209724193
7x43	236.1801431111431
7x45	250.76734237137012
7x47	155.73336187214332
7x49	126.92379603525882
7x51	195.28146353404904
8x22	494.51270964455495
8x24	372.5939613037226
8x26	257.1264280465933
8x28	157.57084121118353
8x30	125.40354859412874
8x32	192.5850461484487
8x34	280.0886466817246
8x38	324.3188862832383
8x40	340.9348618138074
8x42	297.75056675009046
8x44	288.40348472235894
8x46	168.03362758686103
8x48	73.27810041206021
8x50	110.0477169231602
9x23	454.0529704781149
9x25	340.72576949799367
9x27	243.40032867685298
9x29	183.87909070908532
9x31	200.12181290404112
9x33	278.2032530363368
9x35	327.54071502639187
9x39	409.11398167258983
9x41	367.87198860473194
9x43	341.79025732165013
9x45	215.2314335779043
9x47	88.50836118695209
9x49	24.796975622039223
9x51	150.2896536691734
10x22	413.1624982981877
10x24	425.7369727895382
10x26	328.59519168727945
10x28	259.02642722316955
10x30	244.0437870547006
10x32	286.88891578448965
10x34	367.5021768643013
10x36	393.95747232410764
