	dist_type_parasite
9x49	50.539885239283805
9x51	61.1121100928452
10x44	363.3885661382317
10x46	235.47611343828459
10x48	111.4280485335717
10x50	26.82685221937168
10x52	127.61269529321916
11x41	341.30528856142854
11x43	403.18785944023637
11x45	310.577945128111
11x47	191.92355248900517
11x49	97.43084727128253
11x51	110.1694149934549
12x40	254.6949547988731
12x42	365.50777009524717
12x44	317.63364116541544
12x46	253.00571139798402
12x48	181.0441934998192
12x50	142.27332849132344
13x37	93.80431759785894
13x39	169.26786464063395
13x41	282.98581236521386
13x43	327.7206890020827
13x45	231.34515339639145
13x47	179.77497044917013
13x49	202.41941606476382
13x51	211.59879489259876
14x36	57.56005559413551
14x38	83.53017418873252
14x40	202.85610663719262
14x42	323.70446397910575
14x44	248.94627934556485
14x46	151.6273392235053
14x48	129.89245551609224
14x50	202.82351934625353
15x33	226.60002206531217
15x35	102.40043945218167
15x37	2.6476404589751024
15x39	132.20094553368395
15x41	256.2000195160026
15x43	283.75949323326586
15x45	164.84468447602413
15x47	73.99378352267145
15x49	117.24013817801476
16x32	295.7431317883815
16x34	171.4279148796949
16x36	65.17430475271665
16x38	87.3581135327454
16x40	201.84491571501164
16x42	325.0544723580957
16x44	213.13845265460665
16x46	82.4999999999998
16x48	27.823730878514798
16x50	151.1320614561983
17x33	255.78463597331233
17x35	151.04601947750885
17x37	105.39677414418358
17x39	175.0882063418325
17x41	277.45370785051705
17x43	273.4104972381269
17x45	148.40336923399013
17x47	32.31547616854797
17x49	92.48578269117947
18x32	333.51337304521985
18x34	232.26967085695892
18x36	168.24089871371953
18x38	185.96045278499412
18x40	267.86720590621036
18x42	310.6107692917293
18x44	210.10856717421106
18x46	110.56093342587158
18x48	91.23595782365656
18x50	182.92328993323983
19x31	364.3182400045321
19x33	317.1431380307635
19x35	245.5674652717659
19x37	223.13038789013038
19x39	267.4048802845604
19x41	345.41697989531434
19x43	226.69320677955918
19x45	125.13484726486044
19x47	102.98373658010281
19x49	173.4877517290488
20x30	320.1578516919427
20x32	308.06522036737607
20x34	324.356902192631
20x36	280.69456710096824
20x38	292.5426464637252
20x40	351.6576175770974
20x42	268.17852262998207
20x44	145.62032825124362
20x46	41.50301193889427
20x48	108.98596239883365
21x29	285.9214227720615
21x31	250.19914068597436
21x33	263.6515313818602
21x35	329.1984204093331
21x37	337.1624237663505
21x39	367.0530888032413
21x41	328.2001371114885
21x43	200.10009994999993
21x45	71.50027971973256
21x47	30.809901006008076
21x49	160.91242960069937
22x28	246.67407646528244
22x30	214.57576750416166
22x32	195.19923155586451
22x34	248.16101627773836
22x36	342.34967504000934
22x38	402.35189821846285
22x40	391.8361519819218
22x42	269.00353157533056
22x44	138.81102261708182
22x46	47.18325974326073
22x48	112.76072011121636
23x27	224.0089283934906
