	dist_type_parasite
6x44	183.68791468139625
6x46	116.63009903108205
6x48	81.0551047127818
6x50	146.5596124449026
7x39	454.423073797975
7x41	332.7329259330971
7x43	207.40882334172755
7x45	98.71676655968832
7x47	44.223297027697704
7x49	60.377479245162306
8x38	515.130624210986
8x40	386.48347959518253
8x42	259.5110209605749
8x44	133.928712380878
8x46	13.471822445385538
8x48	14.762791064022922
8x50	88.67299476165246
9x37	580.849593268343
9x39	450.73767315368667
9x41	328.2077390921789
9x43	197.31173305204123
9x45	77.1705902530229
9x47	49.3000000000002
9x49	47.34817842325107
9x51	159.3632642737971
10x36	652.1644271194189
10x38	527.4567754802282
10x40	401.2394048445388
10x42	279.3758758375531
10x44	164.7235562996379
10x46	87.50794249666706
10x48	94.66070990648662
10x50	132.08784955475684
10x52	233.39333752273262
11x37	605.2976292700969
11x39	476.47284287774465
11x41	359.3863241694094
11x43	253.08409669514987
11x45	165.31339933592795
11x47	149.99853332616297
11x49	153.5570577993732
11x51	219.06186340849044
11x53	316.3386160429992
12x36	681.9574840120166
12x38	559.6331834335772
12x40	444.3121087704001
12x42	339.3919562983188
12x44	247.54312755558368
12x46	195.81524455465677
12x48	207.06069158582469
12x50	230.33927151052652
12x52	301.72313467813524
13x35	757.7577053385864
13x37	641.916762516761
13x39	532.5651509439946
13x41	423.98189819849597
13x43	326.82671249455717
13x45	270.34365167319925
13x47	260.309431254421
13x49	267.79697533766154
13x51	308.3115307606904
13x53	390.959345712569
14x34	837.1567356236225
14x36	714.4716649385055
14x38	607.7997203026669
14x40	504.52294298673866
14x42	413.9846977848335
14x44	341.1643738727713
14x46	310.388224647779
14x48	316.6962266904991
14x50	330.26201719241055
14x52	377.0162463342924
15x33	914.6953263245638
15x35	803.8010263740646
15x37	690.9435432797675
15x39	583.4145781517633
15x41	499.5705755946802
15x43	422.68315556690925
15x45	377.03900328745846
15x47	370.5063157356432
15x49	376.5313399970846
15x51	347.84620164664716
15x53	307.96585849733395
16x32	853.8000936987534
16x34	863.9149147919603
16x36	774.3390084452674
16x38	676.3748369062823
16x40	584.824931069119
16x42	505.8364261300289
16x44	449.77342073537426
16x46	425.9678978514697
16x48	432.0571374251328
16x50	333.7986968219018
16x52	272.1931115954258
16x54	250.91355084969007
17x31	798.5129241283449
17x33	801.0682992104978
17x35	820.9848536970703
17x37	760.2011115487795
17x39	665.9992942939202
17x41	586.5765082237781
17x43	525.1110073117874
17x45	489.5312247446531
17x47	465.1696679707307
17x49	347.6068612671501
17x51	254.17883468141056
17x53	197.25364381932195
17x55	207.48245708975006
18x30	753.983832717917
18x32	736.2006791629574
18x34	753.1468117173437
18x36	778.1219570221623
18x38	755.2172270280917
18x40	674.2770424684501
18x42	609.8234908561658
18x44	560.0380879904508
18x46	495.67545833942586
18x48	371.90625162801445
18x50	259.39786043836216
18x52	157.71144536779812
18x54	129.41792766073786
19x29	703.2257247854346
19x31	684.0717579318707
19x33	683.6926941250724
19x35	710.2681183891052
19x37	749.6114460172017
19x39	753.3429829765456
19x41	682.9550497653562
19x43	636.6297668189889
19x45	543.3108594534069
19x47	419.08197288835976
19x49	291.84067571193685
19x51	178.05150940107166
19x53	79.49647790940168
19x55	110.03508531373073
20x28	670.8250517087149
20x30	632.1470161283685
20x32	626.3000319335773
20x34	635.9689300586938
20x36	671.6982953677938
20x38	727.0296348843011
20x40	771.9031156822726
20x42	708.3243607274848
20x44	604.9259210845572
20x46	478.1089101867897
20x48	349.29142560332053
20x50	221.09529619600667
20x52	97.42987221586588
20x54	28.39242856819412
21x27	647.9428524183285
21x29	600.0808612178861
21x31	569.6298622790064
21x33	568.5347570729514
21x35	600.2023825344247
21x37	648.5128371898278
21x39	722.6662438498147
21x41	788.9423362958789
21x43	664.9806688919608
21x45	538.5660312347966
21x47	418.31807276281995
21x49	283.88532896224115
21x51	156.97659061146658
21x53	40.895231995918344
21x55	82.38652802491454
22x28	574.2334020239504
22x30	527.5817282658675
22x32	514.9000873956035
22x34	533.580293864007
22x36	573.1946702473775
22x38	640.4800153010239
22x40	720.2589812005123
22x42	732.7791618216224
22x44	599.4911175321948
22x46	475.12541502218124
22x48	352.4558979503676
22x50	230.4974186406433
22x52	115.03134355470223
22x54	71.22029205219562
23x27	559.438933217916
23x29	493.4504027762059
23x31	458.4821152455132
23x33	458.9464456774886
23x35	500.2775429699
23x37	555.7096544059676
