	dist_type_ambigious
14x14	1500.5365607008714
15x13	1482.5285056281377
15x15	1420.0918597048571
16x12	1473.5923791876771
16x14	1402.1758270630683
17x13	1387.8108228429405
17x15	1320.3373281097524
18x12	1394.9178936410558
18x14	1315.1868688517231
18x34	957.9888360518613
19x11	1390.7376639754889
19x13	1307.567776446024
19x33	903.0294458100466
19x37	912.8665017405337
20x12	1306.4276252437407
20x14	1221.7257016204578
20x32	857.144474403236
20x34	841.5067676495537
20x36	847.0627957831698
20x38	865.202866384526
21x11	1309.8730205634438
21x13	1220.6033344211378
21x31	816.7167562870251
21x33	791.2275273270009
21x35	786.9126508069367
21x37	801.0364598443692
21x39	832.6515777922959
22x30	781.3777895486918
22x32	744.6736802116749
22x34	726.8668241156695
22x36	733.6672270178078
22x38	756.6791261822941
23x25	779.2739505462758
23x27	781.8369970780352
23x29	755.1150707011482
23x31	704.5952100319729
23x33	675.9178944220961
23x35	671.29258151718
23x37	685.709975135261
23x39	725.2254614945618
24x24	731.1227051596742
24x26	723.5547387724027
24x28	734.8440991121857
24x30	674.9126313827591
24x32	632.1033855311961
24x34	612.6447665654216
24x36	619.4752133862985
24x38	650.2738192484763
24x40	700.767443593094
25x23	692.5797066042289
25x25	666.919260480607
25x27	667.8592965587886
25x29	654.549226567414
25x31	597.7049773926932
25x33	563.4610900497032
25x35	556.3667854931672
25x37	572.8177109692051
25x39	617.2442628327944
26x20	715.9894482462713
26x22	655.9560046222609
26x24	614.5425127686449
26x26	601.1320653566902
26x28	609.001182264862
26x30	569.0342168973671
26x32	516.3367312132656
26x34	489.37757406730447
26x36	495.4191861444207
26x38	531.1951524628214
26x40	589.1520177339629
27x19	703.3569861741618
27x21	633.6185918989435
27x23	579.6275528302637
27x25	546.6905706155903
27x27	545.2523910997547
27x29	560.1189605789114
27x31	490.1518540207717
27x33	442.68753088380487
27x35	431.3012520269331
27x37	455.8163884723759
27x39	506.16101193197403
27x41	579.602346441075
28x20	619.4779818524626
28x22	552.9431164233803
28x24	505.62602781106875
28x26	485.8960073925282
28x28	496.70121803756416
28x30	477.23254289706585
28x32	410.83962807888906
28x34	375.64734792089223
28x36	383.6652707764931
28x38	427.3383905056975
28x40	493.63570575881164
28x42	582.027121361196
