	dist_type_ambigious	dist_type_central	dist_type_portal
12x48	1296.2369073591447	123.52700109692603	850.0765377305739
13x45	1148.7048794185564	174.8282013863894	717.3036316651409
13x47	1216.7946416713053	88.77049059231322	773.4941499455571
13x49	1294.6784079453862	75.60806835252428	840.8770302487754
14x44	1069.4185569738352	207.76440984923272	635.1066445881352
14x46	1143.0073053134874	91.3526135367783	703.2351669249767
14x48	1214.8887768022223	17.36490714055213	762.4622875919831
14x50	1298.1227830987327	93.63097777979249	802.8177626335878
15x41	936.3767244010287	395.90020207117817	483.99810950044014
15x43	989.5650610242865	269.5125414521558	550.4265709429369
15x45	1056.8978048988463	137.14725662586173	621.7467088774978
15x47	1127.9965336826174	11.703845521878513	677.2637447848513
15x49	1213.7466333629934	42.21480782853353	755.8074424084485
15x51	1301.947790811905	157.96471124906358	742.4069301939469
16x40	864.8594105402334	419.24718245922634	410.42465812862656
16x42	910.4559571994683	330.48154260109567	467.667242812665
16x44	969.9617157393377	210.07410597215437	541.3573034512418
16x46	1046.085053903362	90.15287017061634	597.8862266351349
16x48	1128.1012809140852	65.90068284926966	670.5419449967318
16x50	1220.0235448547708	132.44111899255486	690.1082886040422
17x41	831.5079554640473	338.17610796743145	383.74793810521
17x43	888.6913581215922	240.27511315157022	464.9278761270397
17x45	962.3802263139034	175.108252232726	517.6849427982236
17x47	1042.9504302698188	105.64184776877022	586.0900954631464
17x49	1132.5433898972703	147.14594795644234	644.5245767230291
17x51	1229.9308801717277	218.1677565544463	628.1703351798777
18x40	753.5109289187516	351.9265832528141	302.66106455902116
18x42	806.2955351482481	244.22221438681606	378.0903198972435
18x44	877.2558634742772	159.2025439495234	435.88054556265746
18x46	958.3311014466764	139.50806428303704	501.76538342137553
18x48	1045.7985752524241	178.81683365947404	585.7571681166181
18x50	1146.0371547205614	229.60087107848702	573.2409266617309
18x52	1244.777506223502	307.7749827390136	567.6462278567524
19x39	681.2719427658825	393.6631300998354	226.75506609555597
19x41	726.9012106194349	273.74763925922684	293.16952433702943
19x43	791.615676954417	159.09676300918224	357.2749361486192
19x45	873.5679538536198	81.03190729582997	418.45784733949006
19x47	962.7168638805493	128.37507546249006	502.67540222294554
19x49	1060.434703317465	242.09494005451657	528.8748056014769
19x51	1162.6117193629177	312.470494607091	509.93529981753557
20x34	599.8640262592847	700.1835830694688	206.7434400410323
20x38	604.2731170588346	448.36815230343916	149.77650015940418
20x40	645.8837743743065	320.2846390322206	206.8309696346271
20x42	709.4949259860849	194.52776151490534	285.8867782881887
20x44	788.7148660954729	71.11075867968212	335.1076543440927
20x46	875.0896925458555	41.78241256796935	415.04526259192505
20x48	971.8668633099909	163.97621778782468	491.8861656928356
20x50	1075.2297986942142	272.6828194074573	452.7210178465319
20x52	1166.7233305287077	327.2282536701256	453.7203213434461
21x33	560.2996519720496	763.9694365614374	235.7789218738605
21x37	537.3589675440431	510.07868020531856	75.50801281983267
21x39	572.4930130578012	384.2007938565457	124.3006436025171
21x41	626.5075657962958	257.5020970788391	216.06140330933704
21x43	703.2726427211568	128.30904099088264	254.10708372652653
21x45	791.6734806724297	5.7008771254958255	331.6282557322279
21x47	885.1207601225949	100.8025793320787	429.6039571512349
21x49	995.727291983101	211.1682741322661	417.9311426539063
21x51	1083.5239175948077	245.89038208112157	393.85870562931547
22x32	530.4021870241484	830.4428216319288	286.7892606078544
22x36	479.61714940147834	575.2566470715481	37.23452698772979
22x38	499.2925495138093	450.41741751402105	44.3717252312774
22x40	544.4372231947407	326.44063778886357	130.62346649817547
22x42	619.7464804256657	199.72405964229722	176.77584676646285
22x44	711.1371246109994	85.64117000601982	251.0980087535543
22x46	812.0013854667983	66.11542936410532	357.29154761902777
22x48	910.5276382405973	158.60447660769194	391.53924452090337
22x50	1003.3445669360054	170.3259228655463	345.9140355637509
22x52	1089.3991050115658	249.60410653673176	345.93093241281565
23x31	506.77692331044415	880.8993415822263	349.9372086532095
23x33	453.33644239129916	766.4910501760602	223.61334933317352
23x35	424.71290302979975	642.7516238797066	95.29769147256381
23x37	425.7161965441295	523.2866136258405	0.2828427124746833
23x39	468.7927047213937	400.6886571890949	49.03060268852491
23x41	536.5317138809224	280.5078965020414	109.55400494733162
23x43	623.6648619250567	173.0914787041811	163.65408641399708
23x45	722.135181250713	109.29236020875373	270.09113276818266
23x47	827.5150753913795	138.32859429633478	371.70364539509166
23x49	920.0386622311045	99.36770098980863	311.26956163428497
23x51	1002.1988674908791	162.05792174404837	284.4422085415595
23x53	1092.4323777699012	270.8329743587367	305.3275290569128
24x30	501.08083180261445	886.2984824538514	419.697510118895
24x32	427.1000819480134	802.1352005740675	297.8323018075774
24x34	379.7098497537297	684.9209954439998	175.54022331078386
24x36	364.9749717446387	564.3896969293467	64.94097319874382
24x38	389.5792858969791	442.69269250801926	0.14142135623750243
24x40	452.8041077552192	326.39417886966027	37.82274448000843
24x42	533.0132174721375	218.7740615338115	73.04580754567657
24x44	636.0403289100466	152.72491610735935	188.55370587713222
24x46	741.2446087493659	151.27779083527068	309.50697891970094
24x48	838.6078761852883	54.25283402735737	295.5191533555819
24x50	916.228279415125	75.82255601072839	235.77077851167212
24x52	1006.3387998084938	192.9377619855689	230.21159831772138
25x29	510.68622460371876	806.385032103151	387.015787791661
25x31	418.8734653806562	845.3582554160098	377.1442429628217
25x33	348.83119126591856	720.7586281134621	244.75620523288077
25x35	310.3598556514679	601.0451230980914	118.2871083423716
25x37	313.84661858939944	489.62894113808244	3.3615472627943084
25x39	363.92100791243143	361.520815444975	5.069516742254747
25x41	451.7253147655111	240.62659869598792	0.40000000000009095
25x43	548.0208937622729	132.70908032233498	115.81234821900496
25x45	658.8181691483624	91.66776969033316	235.32313953370598
25x47	753.9630760189788	65.21748231877682	268.0203723600127
25x49	826.5356919093091	0.22360679774997896	208.76984935569564
25x51	920.0683941968664	124.06470086209067	166.95283765183515
25x53	1015.8574014102572	248.21333566108044	198.393195447828
26x28	539.0219012248018	719.5352736315295	304.9452573823703
26x30	434.1201331428893	779.2206940270515	358.2254736894068
26x32	337.4579233030392	776.733834720749	329.6950864056058
26x34	268.4240302208428	653.0928417920377	207.20294399452885
26x36	245.9013013385656	530.184731956702	94.28281921962221
26x38	279.3313444638823	415.5037905964275	69.2011560597075
26x40	354.75705771696795	297.1770011289564	35.52421709200635
26x42	457.8329171215194	173.588536487868	43.76048445801329
26x44	564.4929051812785	56.183983482839565	141.39038156819572
26x46	663.9386492741629	69.22954571568417	267.4111628186081
26x48	739.433330328029	0.22360679775038572	190.45957576346706
26x50	823.7069928075156	77.85505763918	130.6338776887525
26x52	920.9645650077966	186.8055941346514	113.12528453002872
27x27	573.9705306023994	642.1982326353757	237.86712677459246
27x29	458.8991283495753	696.0762961055347	274.9618337151539
27x31	347.34007830942835	770.7673643843517	354.8153463422911
27x33	254.14251907148488	705.4853790122089	289.8144578864209
