	dist_type_central	dist_type_portal
16x46	523.3265233102562	315.9272859377612
17x43	374.1471635600088	265.5396392254835
17x45	439.42573889111236	281.8165715496515
17x47	500.73929344520184	256.06569469571673
17x49	470.369918255834	287.1714818710244
17x55	575.3976364219792	574.8864583550393
18x42	298.0363903955355	207.0195401405384
18x44	358.2406453768194	224.47128992367826
18x46	446.52213830895323	200.3727027316843
18x48	421.4953617775645	211.24000568074217
18x50	411.6723211487505	284.1156454685311
18x52	437.12507363453756	385.2473620934997
18x54	494.75873918507006	497.34355329088197
18x56	574.015836018485	615.1300512899694
19x41	230.01784713365168	176.21750764325313
19x43	274.8837026816979	151.2251632500359
19x45	360.6375743041758	172.7363887546569
19x47	386.7767443888009	138.6731769305079
19x49	354.6661810773618	199.54573410624445
19x51	364.8325643360252	300.5411785429745
19x53	411.7246652800874	416.3789139713971
19x55	489.3378485259443	537.7454137414844
20x40	172.75951493333142	180.23554033541743
20x42	191.2026411951467	93.76273246871588
20x44	273.39747621366223	121.75951708182811
20x46	361.8467769650573	88.86782319827569
20x48	310.02106380051003	112.0707812054506
20x50	293.9777202442388	216.28892713220455
20x52	330.0893363924378	335.9505469559471
20x54	403.165970786226	460.6022144974991
20x56	495.9648576260217	585.0541342474215
21x39	147.7496531298804	220.3169535010867
21x41	115.74441671199521	98.493502323757
21x43	188.01768533837463	39.75738925030168
21x45	297.6899225704493	92.43316504372216
21x47	280.3081340239699	25.35843055080511
21x49	238.32475742146468	137.3407805424157
21x51	251.12387381529467	260.31135203828546
21x53	315.92677949170434	387.0045606966411
21x55	411.0435986607748	516.3249364499067
22x38	162.9486115313659	279.51609971520423
22x40	62.57994886543133	148.51346740279146
22x42	104.06968819017393	22.065810658119624
22x44	219.8295930942877	68.2000733137434
22x46	271.9124307566681	7.4276510418836414
22x48	204.0408292474818	64.50007751933326
22x50	180.893891549715	192.20041623264012
22x52	233.19075882204254	319.70006255864286
22x54	324.7864067352576	447.6002792671161
22x56	442.6433891972183	553.0583784737378
23x37	207.46590081263918	345.10302809450945
23x39	85.12437958657907	220.561918743921
23x41	20.591260281974	100.72239075796404
23x43	130.87937194225842	0.09999999999990905
23x45	257.4608708134113	2.024845673131457
23x47	186.77521248816686	28.771166121657576
23x49	127.40996821285188	135.78843838854635
23x51	147.4286267995467	259.9373001321668
23x53	239.76173589628502	387.38622845940205
23x55	349.5724960576849	458.46758882171815
24x36	267.9031541434326	321.73731521227046
24x38	137.800326559845	292.70040997579736
24x40	9.4085067890709	165.79903497909717
24x42	61.00917963716615	46.42111588490725
24x44	189.6607497612517	0.4472135954995512
24x46	201.3531474797449	36.77077643999389
24x48	102.10778618695046	113.200706711575
24x50	69.13306010874955	217.3913061739134
24x52	153.35559983254595	334.9996119400736
24x54	268.56008638664116	378.3447105484628
24x56	389.8825079430985	451.96279714153496
25x35	332.82791349284383	274.3232035391828
25x37	210.05630197639854	254.1646120135532
25x39	78.22307843597034	243.06964022682868
25x41	11.692732785794842	127.74865948416051
25x43	138.6005771993757	19.321490625725467
25x45	216.83883416030417	58.52930889733822
25x47	118.1223941511511	116.54741524375432
25x49	18.944656238633268	198.72719995008276
25x51	70.26478492104009	272.5008990810856
25x53	189.22698010590378	296.48549711579506
25x55	317.5336517599356	368.3395444423529
25x57	400.25824163906987	458.62300422024197
26x34	242.5704021516228	241.7420112433913
26x36	278.76192351180237	205.88591501120226
26x38	150.61268206894107	199.67418461083022
26x40	26.090994615000533	215.24762484171546
26x42	67.69320497657091	90.11864401998031
26x44	163.94102598190597	0.5099019513593499
26x46	176.09273125259875	108.10018501371809
26x48	53.57256760693843	196.24173867961932
26x50	0.1999999999998181	228.51004354294784
26x52	111.83532536725622	219.31424942305966
26x54	239.73679317117788	275.49324855611246
26x56	324.62817191365247	367.7915850043338
