	dist_type_ambigious	dist_type_parasite	dist_type_portal
17x31	213.06123532918872	359.04162711306884	450.9173871120963
17x33	115.26599672062876	333.62141717821413	539.4536588067598
18x28	375.8342719870021	426.4478866168759	313.7291825763104
18x30	251.38373057936718	342.44967513490195	374.86128100938896
18x32	127.50250977921962	287.2237629445029	460.66657139410495
18x34	38.17027639407376	285.2703454619845	551.63372812039
19x27	436.9089722127483	445.9406350625608	237.24681241272748
19x29	309.23571915288164	340.60935101667405	290.25493966511584
19x31	181.65090145661256	258.1698084594709	376.81115960119854
19x33	54.18874421870275	223.92145944504725	466.0532373023494
19x35	31.90767932645691	249.4307519132314	570.4697187406182
20x26	504.1433327933634	478.7572453759838	160.10153028625305
20x28	377.5764425914307	361.44151670775165	209.04442111666114
20x30	252.89201252708648	255.45874422301537	291.42506755596696
20x32	132.62164227606291	178.36058981736969	379.9506546908427
20x34	50.67642449897192	172.71971514566596	484.45567392693437
20x36	79.32326266613083	236.5083085221321	598.2974009637684
20x38	157.96281207929923	241.35295730527108	716.4253275813188
20x42	363.23491021651523	248.8248379884933	961.0045785530889
21x23	443.05942039414975	648.4070095241104	114.64750324363784
21x25	501.740371108405	523.9627849380142	96.4199149553659
21x27	435.28312625232763	400.37907038205657	131.55227098001768
21x29	330.41266622210463	279.35448806131586	206.51423679736953
21x31	210.4883132147719	168.90627578630676	293.3437062559891
21x33	84.69527731815957	109.04994268682583	400.6211302465213
21x35	13.776792079435664	151.12709882744397	517.5704782925704
21x37	74.2833090269947	237.19487768499548	637.2651018218398
21x39	199.21106896957323	162.22592271274016	761.5983521515789
21x41	306.2760193028502	168.98402291341023	885.0781886364616
21x43	318.81458561364457	244.4944580149005	1009.8619410592717
22x22	366.35710720552413	664.946411374631	131.0890155581311
22x24	419.2386551834169	575.5406588591287	29.970819141291315
22x26	435.5274158993894	448.06375662398744	55.28046671293569
22x28	346.0093929360878	322.31428761381335	120.5508191593902
22x30	271.84719972808233	195.6540313921488	208.98827718319535
22x32	146.86160151652962	78.8614608031068	318.77818306778795
22x34	33.226645933647816	61.44273756921974	435.7765597183952
22x36	5.115662224971834	172.47541853841116	562.7050470717322
22x38	134.6044947243594	145.39659555849283	688.956870928798
22x40	262.05984049449467	96.28478592176441	814.8370143777221
22x42	247.7475529647065	159.7537167016783	940.4951089718652
22x44	290.79589061745713	267.9295616388757	1065.8684956409961
23x21	298.01157695633225	581.2614730050495	190.14441879792315
23x23	336.360773575041	638.1001253721863	66.41965070669968
23x25	405.350046256319	508.5000098328416	0.5099019513592606
23x27	350.5864800587721	381.2000524658934	36.87655081484721
23x29	260.56707389844917	253.80031520862985	122.57405924582918
23x31	204.72483972395725	125.10099919664901	239.15405077062783
23x33	115.72350668727584	0.360555127546071	362.95361962653044
23x35	44.163786069584184	97.28226971036425	488.833550403407
23x37	89.60943030730657	177.70664028111037	616.2628091975047
23x39	207.06501394489638	59.360929911853425	744.1304455537353
23x41	189.9360418667293	73.10061559248331	870.3751490018544
23x43	210.9059743108288	189.6684739222628	997.9995641281615
24x20	239.0242874688678	497.37713055587903	254.64526306216655
24x22	258.2282904718226	577.750508437682	129.62889338415243
24x24	320.56857300739887	574.6428543016957	24.763077353188535
24x26	373.51536782306533	447.99076999420413	0.3605551275467016
24x28	264.3015323451606	321.4176410839954	39.609342332333476
24x30	176.81891867105142	196.45745086404818	164.40416661386683
24x32	138.60057719937524	78.22224747474316	291.9652719074654
24x34	122.11736158302782	53.284613163651784	419.46471842098975
24x36	107.04765294017443	165.9746968667215	546.452193700419
24x38	176.7038482885988	107.64780536545985	676.7596693066162
24x40	160.48230432044528	0.4123105625618322	804.5379854301474
24x42	134.15461229491896	119.1010495335792	932.2460297582397
24x44	204.92305873180786	245.50002036659794	1056.1595807452584
25x19	202.28912476947443	414.2534127801484	331.38661711058876
25x21	184.07389820395488	491.39820919494605	209.0215299915298
25x23	235.60401100151068	574.8107949577842	105.90585441796885
25x25	323.39316628525086	520.1464601436792	46.311337704713516
25x27	292.4704429510785	396.5536029340801	4.0447496832313234
25x29	177.76684167751858	274.9637248802101	107.04601814173206
25x31	95.32539011197359	163.04456446014993	231.40814592403632
25x33	96.92687965678057	93.64624925751154	356.8338829203304
25x35	159.34067277377756	138.39815750218662	484.76102359822625
25x37	185.10388974843303	181.36000110277885	614.4392972458713
25x39	173.24121911369676	70.57279929264513	741.5437411238804
25x41	78.87230185559433	75.67192345910087	868.5884180669233
25x43	120.02770513510636	191.24918300479118	971.2865951921709
25x45	232.81142583644825	314.25047334888785	1060.4471509698162
26x18	194.87352308612867	332.1392629605838	412.470956553307
26x20	125.4834252003028	401.7674576169654	296.757291401576
26x22	151.24053689404815	493.48201588305096	195.13815618684126
26x24	232.57828789463565	553.5079583890371	134.32594686061208
26x26	341.84124970518104	479.7506018755996	66.51345728497373
26x28	218.0717771743972	361.5755799276273	83.18954261203768
26x30	97.78348531321632	253.4979487096494	183.6328129719741
26x32	22.200900882621678	171.4645152794012	303.074380309521
26x34	101.0652264629137	156.3143627437994	424.6247519869753
26x36	207.8777044321972	220.4875053149272	549.6496520511953
26x38	201.41482070592488	161.59990717819116	677.5639674599
26x40	90.51010993253705	105.20019011389692	797.9794984835137
26x42	29.80067113338237	158.50324917805344	881.3147451393288
26x44	152.25675682872046	265.3912583338045	970.145824090379
26x46	208.48896853310947	386.6792598524003	1067.7817426796544
27x17	217.28536536085429	253.01488098528884	471.37642070854565
27x19	109.45071950425901	316.9552965324921	370.10952433029865
27x21	70.20113959188969	410.25650512819414	265.041883482592
27x23	145.50388310969572	468.77604460979006	192.83718521073646
27x25	261.42082931549305	547.3487462304087	143.64765922213957
27x27	273.9001642934886	444.61860060055983	120.13034587480401
27x29	146.900306330518	339.80950545857326	170.2847615026078
27x31	19.00421005987884	252.88803846761903	268.71799344294004
27x33	34.37004509743952	209.82969284636545	381.82679319293493
27x35	126.29908946623502	231.33062918688498	499.1274987415543
