	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
9x37	1049.8312245308766	907.1028607605643	657.2355742045618	369.95188876393104
9x39	1019.7220454614089	877.7316503351121	754.2285131178747	469.3956220503128
9x41	1005.9480105850399	862.645350071511	861.0023228772384	580.4942721508974
10x36	1011.2863936590858	869.6755544454492	564.019299315192	276.8450288518833
10x38	975.8231089700632	833.0003241295888	664.9384482792376	380.7271201267388
10x40	956.9230324325983	815.996623767525	772.1565191073632	492.8844590773784
10x42	948.1088650571725	791.6031960521633	793.5800022682022	613.0621665051597
11x33	1044.8897405946714	910.2913654429552	393.65260065189443	121.61402057328736
11x35	983.354147802306	843.9659827267919	477.96043769333045	190.90149292239704
11x37	938.5304363738022	796.2151593633467	579.7449266703419	296.7136329864202
11x39	904.0445232398678	761.7112970148203	690.4607881697556	414.68313204180384
11x41	889.4207834315542	746.5177358911171	746.4315976698733	536.7004099122715
11x43	892.8043738692144	706.4319146244737	708.262133676508	659.7415024083299
11x45	909.6496303522581	642.8003189171577	643.6754228646605	781.2678477961323
12x30	1112.1288864155988	955.7689365113305	263.7253495589681	166.87198686418276
12x32	1034.3427720054895	905.235422417837	309.0229279519563	74.00249995777158
12x34	966.0460910329276	830.2917860607796	392.8605986860989	105.70170291911114
12x36	902.0142460072345	761.4668082063721	495.73753136110247	215.8001390175642
12x38	866.1036254398199	723.3362219604379	604.7137256586791	332.96469782846367
12x40	837.6116343509085	696.446875217342	698.2408252172025	460.0220103429835
12x42	831.3552610045839	686.1041976259874	686.1014283617254	585.376605272196
12x44	843.1268291307067	622.6251279863346	624.259601447987	713.2445933899537
12x46	873.1660380477473	566.1617525054124	566.7882585234099	837.5478075907073
13x29	1109.6672339039303	918.2291489601057	200.03292229030686	202.76136219704193
13x31	1027.055256546599	884.1688187218547	229.19969458967435	84.74963126763443
13x33	947.3934346405402	817.168109999405	305.01855681253227	20.428411587786307
13x35	881.2777371521419	744.0810775715236	411.9748171915369	137.21752803486913
13x37	826.7089693477382	685.181815287008	523.7120582915771	260.30082596872444
13x39	793.4796909814389	650.832712761121	643.7179661932702	386.9625563281285
13x41	776.021288367787	633.7455640870395	633.6377829643684	512.685517642151
13x43	781.8182525369946	618.5768990190304	621.0247821142082	643.0926682835067
13x45	797.6656191663271	540.6677722964445	542.0885905458626	768.7397739157252
13x47	839.3580523233218	487.56942069822213	487.8773821361264	898.5686061731739
14x26	1212.3206547774396	951.4786229863494	242.1313073520232	263.62543503994436
14x28	1115.7714192432068	891.8781643251504	161.14049770309126	256.5506967443277
14x30	1020.8604067158251	841.45859672357	150.12917771039707	127.73632999268446
14x32	934.9165096413689	806.9705570837141	218.8183721719912	5.203844732502895
14x34	855.9177822664979	724.4061360866568	326.08319490583995	68.5
14x36	795.7279748758365	656.8792963703453	451.17580830536565	200.93981686067107
14x38	752.8345634998434	610.3873196585918	567.7746736162156	322.2521993718587
14x40	721.0817013348764	579.5453562923267	582.8200579938888	449.9049010624357
14x42	712.700848884018	567.300713907536	567.3000088136787	579.9000775995811
14x44	726.6528744868488	524.5161579970628	526.8597536346839	709.8018033225896
