	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
24x14	1496.705635721333	363.64950158084906	48.037069019664465	211.02360057585963	363.7520584134198
24x16	1374.5671937013483	317.33857313601203	150.2649992513228	96.45397866340194	317.1396695464004
24x18	1251.4297822890424	317.9284510703627	276.1566584386478	67.30898899849856	319.49726133411536
24x20	1131.895246919961	359.57009052478213	376.79443998020986	164.51398116877496	359.4963838482941
25x13	1544.1130042843365	351.88743938935926	10.852188719331995	264.4159034551438	352.52172982668736
25x15	1423.1198579178072	285.27448185913835	78.3002554274252	139.83751284973553	285.17175526338485
25x17	1298.8977057489938	258.7003092383152	206.6002178120828	13.75681649219739	258.7049477686886
25x19	1176.0689180485979	283.2830739737199	302.50768585277314	87.97101795477879	283.72751012194794
25x21	1049.7817154056359	361.1897700655433	374.62094175312734	221.80588360095427	360.71131116171006
25x23	933.2963730777055	444.2849536052285	434.5930510258993	321.56946372440274	444.04833070286395
25x29	583.2346526056215	402.8898857007954	392.1344922344883	530.7261629126643	402.8025074400605
26x12	1599.7195535468081	364.97102624728967	99.5482295171542	336.09500145048264	366.41786255585276
26x14	1475.288856461676	268.33674739028936	53.62471445145427	211.72437271131543	268.9561488421486
26x16	1349.3660807949782	203.29884406951268	153.57740719259462	91.3762551213387	203.50140048658147
26x18	1220.0848208218968	203.50570016586752	225.74447944523465	42.651729156037874	205.18569638256946
26x20	1099.4272918206095	261.56790705283413	275.58441537938984	155.49395486641927	261.19680319636393
26x22	976.0336930659719	355.7805081788491	366.97053015194575	257.4326513867269	355.6374136673476
26x24	852.2734889693564	465.3541662003253	348.47797634857767	278.0454998736716	466.2245167298691
26x26	733.8898078049592	566.1888819113283	309.1631446340266	346.06076056091666	566.0102914258715
26x28	614.3377979580938	442.3710320534108	311.29556694562785	437.12049826106295	442.4148844693177
26x30	499.3741082595289	321.1773653295011	364.15504939517183	499.54108940106187	321.10387727338303
26x32	397.00851376261437	212.8989431631824	445.05321030186946	396.3808269833443	213.17729710266985
27x13	1531.6031143870139	284.73794970112436	109.10591184715878	290.4914800816024	286.33424524495854
27x15	1401.0782883193929	179.94379678110573	140.79904118991755	175.61938959010206	180.4753999857041
27x17	1275.6982597777578	134.41075105809023	163.75973253519888	97.2463366919292	134.40182290430403
27x19	1149.618693306611	176.54897337566118	191.74759450903136	126.71361410677248	176.34040943584066
27x21	1025.0011170725618	266.92225459860043	277.84616247124967	188.9340890363621	266.9394875247948
27x23	899.8846870571805	382.1369518902878	340.6512145875894	204.62612247706787	383.4029864255104
27x25	771.5419690464024	503.5871424093353	264.67529163108514	259.21074437607723	505.63703384938106
27x27	648.8083923624906	485.05477010333556	249.9634573292662	359.1984548964542	484.8613513160228
27x29	529.3809592344625	362.1715063336703	276.97581121823595	460.6475876415723	361.9397739956191
27x31	414.1400970686129	238.52131980181574	362.0409092906491	414.4094834822197	238.67136401336472
27x33	306.5066394060656	123.517286239619	450.9054446333507	306.16126469558475	123.42738756045989
27x35	227.16795548668364	67.42610770317371	566.6369913798428	221.04859194303836	68.29846264741236
27x37	193.76359307155693	136.67454042359162	680.6058551026431	173.8209711168359	2.308679276123244
28x12	1586.177269412218	318.23376627881584	191.57173591112044	372.19340402538046	320.6355095743452
28x14	1461.900961077733	199.9930498792393	166.70818816123017	264.98003698392085	201.9505384989104
28x16	1330.1177729810242	95.87851688464937	137.73194981557472	174.68683407744268	96.12954800684332
28x18	1202.9924397102418	94.36636053170646	112.57179931048454	149.44099169906497	94.32078243950274
28x20	1076.298406576912	185.25404179126548	195.94453296787825	140.78870693347497	185.710150503412
28x22	952.1141213110956	300.10614788770994	309.69614140315025	140.78529752783118	302.03989802673425
28x24	830.3614755032894	419.2428651748292	257.83130143564784	172.38845669011587	421.78878600550775
28x26	700.295144921054	546.8271116175569	193.75058709588467	266.98256497382	546.7667601454938
28x28	571.222417277193	414.95210567003966	202.0199247599105	382.38207332457426	414.8788377345846
28x30	454.98872513503005	294.16991688478277	268.71162981903086	455.62170712115983	294.06519685267074
28x32	332.3345453003645	163.7096515175572	368.5246938808848	332.80872885187375	163.52813213633922
28x34	221.9111759240619	40.24636629560476	481.1695854893574	221.64920482600414	40.16179776852613
28x36	146.10578359531138	51.19472629089843	598.4574337411143	137.2519580916788	20.700241544484268
28x38	158.70365465231106	140.33620345441884	667.1476972904873	126.97027211123083	68.20007331374386
29x11	1645.5540404374449	372.08130831849104	217.19415277580555	454.3259842888143	374.95186357717967
29x13	1515.8822018877322	242.93466199783006	135.37300321703705	337.823992635218	245.6779395875827
29x15	1388.825698206942	117.31504592335956	121.39695218579413	232.76344214674248	119.77821170813982
29x17	1260.712377983178	20.102238681301056	53.65538183630773	158.0117084269389	20.141995928904286
29x19	1132.8048066635308	104.3231997208675	114.44618822835477	127.70093969896979	105.85901000859594
29x21	1013.0968413730249	221.6280893749706	230.50642073486796	84.93297357328271	224.35286938214088
29x23	878.5581369493993	352.89545194008963	263.97575646259605	92.89133436440642	356.2762972750224
29x25	753.5809246524224	477.87363392428347	167.5798615586013	181.06631381899842	481.28017827456813
29x27	625.7472093425586	480.48618086267567	131.6045971841406	300.64026676411794	480.46828199164185
29x29	498.83835057060287	351.3529564412399	190.41349742074473	425.8268427424464	351.33701769099116
