	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
7x37	741.7632236772056	253.19494465727408	252.70987317475368	495.1717681774679	1287.9167209101681
8x30	731.7104413632485	333.3613204917451	332.9672206088762	341.42901165542435	1359.8040189674393
8x32	694.5298337724594	237.46681873474455	237.43186391047016	447.89093538494393	1313.7997145683964
8x34	669.1744540850315	164.58629955132943	164.18175903552728	507.3892489992272	1268.0200511032938
8x36	676.0186166075605	175.5538948585305	175.17240079418897	454.07264837248226	1240.7817576028428
8x38	699.8745673333187	249.35719359986396	249.1176629627053	427.71627277904685	1220.329385862686
8x40	751.8727817922393	358.34128983414695	357.86461127079906	444.71438024871657	1219.5641352548869
9x27	789.9446183119422	500.0804935207932	499.86208097834356	158.04587941480787	1413.7089162907619
9x29	717.0735666582615	379.5029644152995	379.22038447319795	251.03963830439204	1345.9758170190132
9x31	659.6036688800328	257.72077913897436	257.30332294783915	367.88313361718554	1286.1201343575956
9x33	622.2138699836255	149.65326591825496	149.6318816295509	487.9308352625404	1235.2582321118123
9x35	614.2527981214248	104.5509445198846	104.16573332915189	428.4102006255218	1199.5096081315896
9x37	629.7670124736608	163.29203899761924	163.1578683361609	381.78330241119767	1173.6443626584673
9x39	668.4612928210578	271.73976521664986	271.26831735387015	372.54060181408414	1158.9557800019809
10x26	788.8484391820775	555.3105977738944	555.2223518555426	71.95734847810894	1403.485895903482
10x28	708.3999576510433	430.8346550592234	430.71162046083685	168.85644790768282	1333.3658537700746
10x30	635.1776838019421	303.43185396395	303.267027551628	287.87686603824227	1264.3889789143211
10x32	583.4817049402662	177.98005506235808	177.70340458190444	412.9131870018199	1206.9514074725626
10x34	562.5995467470622	68.23085812152716	68.11791247535386	420.54470630362215	1165.9805530110696
10x36	561.0536516234432	75.23828812512971	75.24094629920621	348.15743565232077	1128.5686509911568
10x38	595.282420368685	186.3103861839162	185.73841821228044	320.28918183416675	1113.4675388173648
10x40	646.8123761957559	307.3454896366628	306.90267186846063	331.74425390652965	1105.1720454300316
11x25	799.5799209584991	522.3591197634055	521.4430457873609	15.147607071745472	1401.2694423272062
11x27	704.1438063350411	488.71556144653283	488.7086043850669	90.34212749321343	1320.3180298700763
11x29	619.4819932814834	360.5389576730925	360.52564402549785	217.22232850238944	1245.8734847487524
11x31	553.3311847347842	234.68191238354942	234.6576229317939	342.8119017770533	1182.1933006069692
11x33	512.3686270645383	104.97623540592377	104.94288923028527	420.339636484593	1130.1063710996411
11x35	497.0946489351902	0.29999999999972715	13.003461077728492	332.1823143997884	1087.3057941536042
11x37	517.9712443755927	108.56523384583123	107.94725563903891	272.6224678928719	1061.3960665086336
11x39	566.3885945179335	233.7987168484893	233.43701505973743	261.5259834127386	1047.6606511652521
11x41	635.3486365768011	355.6080567141303	355.3703561075405	303.7434608349619	1047.6436846561908
12x24	812.0533541584566	463.4057077766737	462.5479975094475	76.91976339017162	1398.7318720898581
12x26	714.0425547542666	477.51939227637644	476.7701437799979	36.41661708616015	1316.629169508256
12x28	618.4977445391373	428.3935807175452	428.25349969381443	156.11105021746548	1236.3073485181587
12x30	536.4487859991854	304.859475824518	304.65472259592474	280.75416292550346	1164.0708311782405
12x32	475.9196780970502	181.21131311261982	180.63537859455974	407.6787215443064	1103.1944252941091
12x34	444.3329607400286	59.4926886264185	59.24002025657981	334.1068391996784	1053.0894453938845
12x36	443.95948013304087	30.013663555121294	30.15327511233264	247.024735603542	1014.2390349419607
12x38	486.39515828182334	153.20068537705714	152.99428093886402	203.208882679867	996.5625168548132
12x40	550.1225045387617	279.9167197578595	279.81452785729346	222.5811537394844	988.3105635375956
12x42	634.827732538521	322.5775100654105	321.8590530030187	298.9050852695551	997.688954534428
13x23	839.7416328847819	411.57868020586284	411.43773526500934	163.762052991528	1408.1447404297612
13x25	726.7220926874317	407.83452526729513	406.960686061934	86.12200647918046	1312.4092349568407
13x27	627.1750393630152	443.72911781851764	443.1994246386156	123.22146728553456	1230.66247606726
13x29	527.237109847173	378.64174360469036	378.1962056922307	237.78681628719448	1146.284855522396
13x31	453.0014679887911	254.45889648428462	254.32288532493467	355.1364948861215	1081.7422659765123
13x33	399.6721156147873	126.54485370808233	126.2695529413166	354.6685776890869	1022.9859236568212
