	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
17x33	550.5370650555691	690.0010579702032	1442.7306955908302	556.2854123559235	1164.5103090999237
17x35	533.9488552286631	617.5653649614749	1511.371357410216	545.8254116473507	1171.7278608960357
18x34	488.4014946742074	608.5800029577047	1439.1706014229167	496.9507219030875	1116.6170426784645
18x36	486.82145597744545	542.3031716669188	1430.9906114297182	503.2346669298528	1132.3647513058677
19x33	446.28592852564816	607.051669958991	1356.0307997977038	451.0925958159809	1057.8000425411221
19x35	428.07963044274817	528.3909253573529	1431.3413883487058	440.17652140930903	1066.9670894643375
19x37	438.5816799639493	457.4493305274366	1340.3328280692074	460.8391150933263	1086.9268098634793
19x39	484.4529492117888	417.942412301025	1258.9614211722296	504.9057931931461	1121.0080552788193
20x32	418.2352089434843	562.6141573049864	1274.210222059139	419.88628222412785	1004.55357746613
20x34	376.6255036505094	522.3743580996294	1348.0121549897092	384.2558652772914	1003.5109217143578
20x36	371.7718789795699	442.45195219368156	1345.3301936699404	389.76702015434813	1018.7593091599213
20x38	402.6590244859787	379.86509447434094	1256.7853794502862	423.7441327027431	1046.217897954341
20x40	469.8176774026283	351.18663129452966	1171.3600001707416	488.8245595303085	1085.9301312699633
20x42	563.459040214992	375.02865223873226	1103.528019580835	455.5184848060504	1145.0259778712445
21x31	401.40179371796506	522.4086523020075	1190.9382015873032	401.6336639277139	953.0079747830024
21x33	341.88445416543846	498.0977614886457	1264.1829693521424	345.1384939412001	946.7027939115843
21x35	313.5555134262512	435.3741609236816	1347.7711452616875	326.2493831411793	954.27305316665
21x37	332.4425063074816	357.251200137942	1256.6751449758206	354.25360972049384	979.3934959963742
21x39	387.83353387761616	304.5673160403129	1168.2806383741877	407.216220207398	1012.3286274723242
21x41	473.7087396280548	301.8764151105548	1092.2576481764727	416.9059486263057	1062.1327459409206
21x43	578.330096052419	348.4125428281824	1023.2351147219292	391.70154454635474	1126.0057282269927
22x30	399.1691370835175	491.06516879127156	1108.2328275231698	398.7041509691114	904.9563525386183
22x32	315.59792458126185	448.28300213146593	1180.0306140096536	316.1990670447967	888.2524697404448
22x34	266.0140033907988	431.8217803677807	1262.150169353869	272.34803101913536	891.1866527276986
22x36	261.5589034997662	352.31443342559777	1267.1900646706474	282.25778997221676	909.754395427689
22x38	304.00271380367644	275.7710100790145	1172.6031084727686	323.946369018083	938.3276879640715
22x40	384.3879550662326	237.38850014269846	1084.8587465656528	390.85355313723306	979.311646004478
22x42	496.45359299737197	269.4363932359547	1007.3316087565203	343.91709756858535	1045.7486170203622
22x44	609.4548465637138	344.43491402585767	941.1782031050229	336.9234482786853	1116.3212843979998
23x31	315.75758106496806	415.03210719172057	1097.7151042050937	315.2552140726619	840.1415654519182
23x33	235.24185426917515	383.3097050688905	1177.379348383519	236.48706095683087	831.3003849391624
23x35	201.61460760569912	364.39134182908333	1263.6769563460437	214.21776303565503	842.8262276412619
23x37	224.37080915306242	265.60018825294526	1180.3322667791472	244.9805298385975	866.988500500439
23x39	308.5681286199206	198.25813980767575	1085.6409581440817	325.62538291724104	910.5621834888595
23x41	408.5894027015385	191.0636019758864	1001.8515359073916	312.3826179543284	961.782771731746
23x43	525.9483814976523	256.4420012400464	922.8330834988523	275.3632146819903	1030.0449019338914
23x45	647.8569981099224	357.8039826497183	857.9505172211273	293.2754507284916	1108.0238670714632
23x47	765.3491882794416	466.84663434579886	812.8951838951929	355.4048114474534	1188.6011021364568
24x30	337.000014836795	397.00328714004377	1012.5791870268714	337.80232385227913	797.0696393665988
24x32	231.11358679229556	339.9142391839447	1090.6201401037854	230.60722018184933	776.0776314261351
24x34	157.06180312221034	318.2254075337165	1178.8345134072044	160.82726758855281	777.6463270664885
24x36	149.16490874196916	276.21435516641765	1186.6256233538866	171.32008055099664	797.0461529924097
24x38	223.233174057979	179.73216184089006	1092.4194478312804	240.2724495234523	834.4355277671244
24x40	328.2554645394348	127.52744802590547	999.9600242009676	299.501001667774	882.8585673821149
24x42	443.55953377196164	168.24464330254315	913.3960039325768	230.51824222824527	943.908395979186
24x44	567.5110747818056	271.6321409553738	841.8185196347251	222.156746465193	1022.8677431613534
24x46	690.8680988437665	387.14510199665466	780.3875511564747	270.77468493195585	1103.140122559233
