	dist_type_parasite
10x32	51.98846025802247
10x34	115.70004321520378
10x36	235.79391425564833
11x29	196.40010183296758
11x31	66.70269859608362
11x33	38.0
11x35	165.10012113865974
11x37	292.80015368848444
11x39	365.70924243174363
12x28	265.8668839852002
12x30	142.28004076468355
12x32	49.921939064904315
12x34	116.00728425405043
12x36	235.40688180255088
12x38	354.6250555163859
12x40	287.0512323610542
12x42	266.6567081473855
13x27	343.3609471095978
13x29	226.04234116642814
13x31	128.81323689745562
13x33	114.46501648975561
13x35	199.38859044589293
13x37	314.20880000407413
13x39	270.3158337944707
13x41	212.6577061853154
13x43	222.3728850377221
14x24	369.5200265208909
14x26	387.75788837881805
14x28	314.1557893784548
14x30	215.19862917779005
14x32	161.80760179917388
14x34	189.47105319810754
14x36	279.65695056622525
14x38	283.31050104081896
14x40	188.5604942717321
14x42	152.49724587676977
14x44	200.83946325361455
15x23	306.12613413428124
15x25	331.8062687774298
15x27	303.78500621327566
15x29	256.5949336990113
15x31	233.64147748206014
15x33	222.10576309497247
15x35	272.66648125503093
15x37	317.17707987810195
15x39	198.43371689307236
15x41	106.7540163178882
15x43	118.90269130679931
15x45	214.08502983627798
16x22	254.77804065499822
16x24	257.7208761431638
16x26	300.3534584452123
16x28	222.26616926559
16x30	197.81364968070324
16x32	246.39902597210087
16x34	293.5989271097564
16x36	358.1705878488632
16x38	240.39521625856034
16x40	116.3321107863172
16x42	39.17779983613156
16x44	132.37590415177542
16x46	257.36670336311965
17x21	225.29025722387536
17x23	190.5399170777609
17x25	229.08797436792707
17x27	214.7916432266394
17x29	144.35733441706378
17x31	163.65090894950748
17x33	251.72296279839077
17x35	363.05080911630006
17x37	300.23197697780296
17x39	172.73621507952507
17x41	46.70513890355102
17x43	64.61284701976882
17x45	189.96615488028388
17x47	317.9400100647923
18x22	147.1009517304356
18x24	155.9463048616414
18x26	231.3001945524473
18x28	127.77515407934348
18x30	91.05097473393671
18x32	173.21830157347705
18x34	288.7079146819499
18x36	364.2207297779741
18x38	239.5772944166453
18x40	120.64928512013654
18x42	56.766979838635095
18x44	145.91562630506724
18x46	268.0333188243581
18x48	394.35458663492176
19x23	80.45551565927579
19x25	151.3859306540737
19x27	152.87936420589912
19x29	39.85021957279519
19x31	89.13102714543346
19x33	210.95755497255868
19x35	336.53298501038535
19x37	318.09635332710104
19x39	205.71188589870036
19x41	124.60437392001936
19x43	135.79635488480545
19x45	229.95390842514536
19x47	346.0332064990298
19x49	317.44533387655883
20x22	53.713033800000495
20x24	66.19199347353137
20x26	189.00058200968596
20x28	84.92496688253696
20x30	13.95313584826008
20x32	140.7643420756833
20x34	267.57896030891516
20x36	395.93032215277486
20x38	291.04559780213134
20x40	205.59829765832202
20x42	172.03778654702586
20x44	220.0460179144357
20x46	283.6824457029373
20x48	311.9766657940942
20x50	234.91294132082206
21x21	112.22129922612714
21x23	20.01124683771623
21x25	126.68137195341716
21x27	162.52707466757633
21x29	65.87753790177679
21x31	100.93805030809753
21x33	213.70823568594645
21x35	338.6412408434626
21x37	376.88132084251663
21x39	288.96868342434607
21x41	235.1056145650291
21x43	194.09155056312966
21x45	205.33107412177063
21x47	278.8899424504226
21x49	225.7091934326113
21x51	161.1418319369616
22x22	93.79472266604333
22x24	104.44299880796244
22x26	208.9411400370929
22x28	148.42105645763345
22x30	124.10821890592094
22x32	190.83668410449832
22x34	298.3602017696063
22x36	418.21279272638236
22x38	319.73922186682057
22x40	220.90950635950466
22x42	163.68484963490027
22x44	130.32363561534032
22x46	194.59660839798815
22x48	239.51091833150286
22x50	135.06990782554016
22x52	98.86556528943733
23x23	135.66171162122365
23x25	188.56240346368122
23x27	233.73134150130562
23x29	179.04694915021582
23x31	199.75297244346578
23x33	277.1082459978414
23x35	381.4075510526765
23x37	354.6511666412503
23x39	235.44612971972978
23x41	136.85642111351558
23x43	80.47074002393649
23x45	108.32912812351059
23x47	216.83157057956313
23x49	159.6817146701525
23x51	51.36555265934542
23x53	92.65122773066763
24x22	200.26504937207585
24x24	205.97242533892737
24x26	275.2062862654124
24x28	250.38090981542516
24x30	236.99523201954932
24x32	280.55454015217794
24x34	361.07819097807635
24x36	404.70973548952304
24x38	277.6233419581282
24x40	153.56969102007054
24x42	54.33856825496946
24x44	23.266499521844768
24x46	137.78479596820574
24x48	218.65708312332313
24x50	91.13034620805523
24x52	15.208550226764178
24x54	141.55938683111057
25x23	251.6109099383412
25x25	283.93858490877915
25x27	329.08251244938566
25x29	293.220821225233
25x31	307.52094237628785
25x33	362.19884041780153
25x35	448.05017576159935
25x37	335.30013420814464
25x39	207.70021665852906
25x41	79.89999999999964
25x43	28.338666164800635
25x45	70.1655185971005
25x47	198.0741275381517
25x49	166.36592199125386
25x51	65.4536477211165
25x53	99.81808453381609
25x55	213.71020097318734
26x24	317.13271669759973
26x26	363.4887068397037
26x28	362.1469453136391
26x30	351.24942704579604
26x32	382.3843616049172
26x34	444.46008819690445
26x36	409.9124906611166
26x38	283.4807224486346
26x40	160.44192095583995
26x42	56.84171003761251
26x44	72.32772635718628
26x46	150.06885086519463
26x48	255.01313691651265
26x50	154.908908717349
26x52	117.75313159317686
26x54	181.16445567494773
26x56	290.8869196096657
27x23	367.4592766552507
27x25	389.44085558657076
27x27	437.5971206486623
27x29	409.86316009126756
27x31	417.11017729132453
27x33	460.8099391289212
27x35	483.60439410741503
27x37	360.4049527961566
27x39	242.04383900442494
27x41	141.8536217373386
27x43	110.83916275396525
27x45	149.23518351916894
27x47	234.48464768508842
27x49	239.68264434455793
27x51	178.296494637444
27x53	190.87516863122895
27x55	268.18717344422004
28x24	429.21357154684665
28x26	465.7022331919833
28x28	474.7310923038432
28x30	465.47945174841
28x32	490.2419504693577
28x34	540.0749947923902
28x36	440.67703593448095
28x38	326.47511390609856
28x40	227.48558196070374
28x42	166.99308368911588
28x44	186.24212735039328
28x46	230.5063339693731
28x48	321.3201051910696
28x50	253.58186055000104
28x52	231.24056737519086
28x54	269.51343194727804
28x56	354.27256456011406
29x25	498.2745126935553
29x27	543.98751823916
29x29	523.4666369502454
29x31	530.0228674312083
29x33	564.1268031214263
29x35	520.889249265139
29x37	410.3440629520549
29x39	311.901939718239
29x41	241.23225323326895
29x43	222.62551515942653
29x45	255.87717756767634
29x47	315.7205251484295
29x49	302.9437736610539
29x51	244.8596332595472
29x53	228.85823122623296
29x55	273.8879332865907
29x57	326.26921399359725
30x24	543.6862422390328
30x26	572.4582866899564
30x28	586.3786234166455
30x30	580.191735549551
30x32	601.6138462502342
30x34	603.8117670267779
30x36	493.9976113302572
