	dist_type_parasite
24x14	211.02360057585963
24x16	96.45397866340194
24x18	67.30898899849856
24x20	164.51398116877496
25x13	264.4159034551438
25x15	139.83751284973553
25x17	13.75681649219739
25x19	87.97101795477879
25x21	221.80588360095427
25x23	321.56946372440274
25x29	530.7261629126643
26x12	336.09500145048264
26x14	211.72437271131543
26x16	91.3762551213387
26x18	42.651729156037874
26x20	155.49395486641927
26x22	257.4326513867269
26x24	278.0454998736716
26x26	346.06076056091666
26x28	437.12049826106295
26x30	499.3741082595289
26x32	396.3808269833443
27x13	290.4914800816024
27x15	175.61938959010206
27x17	97.2463366919292
27x19	126.71361410677248
27x21	188.9340890363621
27x23	204.62612247706787
27x25	259.21074437607723
27x27	359.1984548964542
27x29	460.6475876415723
27x31	414.1400970686129
27x33	306.16126469558475
27x35	221.04859194303836
27x37	173.8209711168359
28x12	372.19340402538046
28x14	264.98003698392085
28x16	174.68683407744268
28x18	149.44099169906497
28x20	140.78870693347497
28x22	140.78529752783118
28x24	172.38845669011587
28x26	266.98256497382
28x28	382.38207332457426
28x30	454.98872513503005
28x32	332.3345453003645
28x34	221.64920482600414
28x36	137.2519580916788
28x38	126.97027211123083
29x11	454.3259842888143
29x13	337.823992635218
29x15	232.76344214674248
29x17	158.0117084269389
29x19	127.70093969896979
29x21	84.93297357328271
29x23	92.89133436440642
29x25	181.06631381899842
29x27	300.64026676411794
29x29	425.8268427424464
29x31	375.2778304136817
29x33	247.2964415433426
29x35	143.76442536316117
29x37	56.25122220894385
29x39	119.8783550104022
29x41	230.82081795193454
29x43	357.0490442502266
30x12	375.79489086468425
30x14	249.0776987207002
30x16	139.09741190978343
30x18	96.04066846914385
30x20	38.02841043220181
30x22	23.00195643852931
30x24	106.86786233475448
30x26	228.54321254414887
30x28	357.60341161683556
30x30	427.1611522598937
30x32	296.31444446735964
30x34	169.94116628998378
30x36	51.1955076154146
30x38	42.08301320010265
30x40	168.84907461991057
30x42	293.6527370892363
30x44	418.00532293261546
30x46	335.7621181729706
31x11	421.9370806174778
31x13	293.6508130416123
31x15	171.4260481957161
31x17	55.760380199564274
31x19	83.07839671057681
31x21	17.531685600648977
31x23	37.57126561615958
31x25	164.14298644779205
31x27	294.24479604574145
31x29	419.64713748576924
31x31	358.4587702930422
31x33	232.77804879326564
31x35	104.13284784351161
31x37	2.0
31x39	106.79405414160509
31x41	233.15715729953482
31x43	355.8568953947643
31x45	350.45314950789066
31x47	255.8957600273985
32x12	354.549093920715
32x14	223.42258166980344
32x16	97.36698619141895
32x18	1.236931687685276
32x20	65.94126174103738
32x22	50.25375607852629
32x24	114.93585167387937
32x26	238.63817800176076
32x28	357.92247764006106
32x30	428.90749585429234
32x32	307.3088999687449
32x34	187.91934440072947
32x36	85.83938489993974
32x38	84.47467075993896
32x40	188.28542163428415
32x42	312.3854670115116
32x44	373.24824179090245
32x46	265.72912900169575
32x48	170.75186675407068
32x50	142.6311677018733
32x52	197.98994923985407
32x54	243.70638071252867
33x11	424.9621394900962
33x13	299.2780646823286
33x15	176.13477794007622
33x17	68.62361109705617
33x19	88.44308904600764
33x21	118.42318185220361
33x23	113.15127043034062
33x25	201.69204248060967
33x27	317.7073024026992
33x29	434.59509891392025
33x31	387.6947381639323
33x33	268.38228331989444
33x35	167.5367720830268
33x37	119.80066777777176
33x39	171.64206943520603
33x41	273.05080113414806
33x43	385.56562346765344
33x45	292.29007851789964
33x47	177.3989853409538
33x49	85.68687180659566
33x51	111.83116739084853
33x53	184.51214052197184
34x10	476.8196724129574
34x12	382.565981237224
34x14	261.7110811563012
34x16	156.4265003124472
34x18	107.79615020955099
34x20	170.43981342397706
34x22	160.8546238067157
34x24	188.2822615118058
34x26	280.3017302836357
34x28	390.38107023778724
34x30	470.11328421987844
34x32	360.6534347541974
34x34	260.8524678817512
34x36	187.19628735634717
34x38	189.42251714091455
34x40	247.00008097164684
34x42	345.682296335812
34x44	347.6982599898938
34x46	228.8882915310433
34x48	102.03964915658993
34x50	28.897923800854688
34x52	132.16266492470584
34x54	125.89999999999964
35x11	405.3976072943696
35x13	345.1493734602455
35x15	249.7501151150888
35x17	173.21662737739712
35x19	175.70284573677245
35x21	227.49191194413936
35x23	221.87791688223538
35x25	275.0348705164495
35x27	362.7829378567852
35x29	470.4451083814139
35x31	443.0175730148863
35x33	348.6039012977336
35x35	273.36089698418846
35x37	237.80616055939376
35x39	255.9437633543747
35x41	333.8272756980774
35x43	412.5544085329837
35x45	283.2410281015091
35x47	150.9991390703932
35x49	29.492371895118893
35x51	70.61515418095468
35x53	88.2805754399005
35x55	94.54660226576124
36x10	363.1183415912777
36x12	347.80707295855836
36x14	331.7832123540913
36x16	252.47847432999123
36x18	219.2848603985239
36x20	256.69982469803153
36x22	276.6816220857469
36x24	291.8841551026709
36x26	353.5118951322569
36x28	445.51719383206716
36x30	530.8556206728908
36x32	433.24437676673875
