	dist_type_ambigious	dist_type_portal
15x27	1321.3021002026749	888.0378595532961
16x26	1252.020167569197	808.444494074887
16x28	1277.483776805013	816.2276643192141
16x30	1314.410441985303	798.4278364385849
16x46	1911.775787062908	1128.5955254208657
17x25	1184.7713872304648	729.2094623631814
17x27	1207.3405236303468	776.6329506272572
17x29	1241.5457341556128	749.858660015339
17x31	1280.4403031769968	737.5309959588137
17x45	1825.9059258351729	1059.0036118918574
17x47	1925.7750465721588	1091.431504951181
18x24	1118.904267576096	652.7103185947038
18x26	1141.7046772261203	706.802638648159
18x28	1167.3501317085631	704.3025841213419
18x30	1212.6054634546226	690.2247532507075
18x32	1259.1763538122846	688.731072335204
18x38	1470.2115221967213	821.0878881094277
18x40	1557.6685687269933	898.0673527080249
18x42	1652.6424961255234	987.2847714818657
18x44	1747.0853012947023	998.091804394766
18x46	1847.347557986856	1023.5969910076914
18x48	1948.694396256119	1062.7940769499987
19x25	1077.886914291105	630.51550337799
19x27	1096.5518501192728	668.6843500486609
19x29	1135.327234765378	638.2802910947509
19x31	1186.573933642569	632.9588454236182
19x33	1242.4874486287576	644.5111791117358
19x35	1310.0316828229766	682.4390155904041
19x37	1388.5235503944468	741.821036369285
19x39	1476.996743395191	818.7897043808013
19x41	1563.3934917352065	898.8651789895971
19x43	1661.8658941081858	932.7450080273815
19x45	1760.4260677461014	951.7732608137297
19x47	1863.0135157856475	986.3141284600965
19x49	1969.672960163692	1037.6749828342206
20x24	1015.4859575592366	554.48943181994
20x26	1028.090565076832	604.814194608559
20x28	1058.5844746641621	594.9484767608031
20x30	1106.5531031089288	574.7179917141971
20x32	1164.1499302065863	580.648137859754
20x34	1229.9342949930294	609.1342791207862
20x36	1308.111340826919	664.7729537217953
20x38	1386.9254377939717	729.5435353698914
20x40	1481.2573881672286	816.9312394565408
20x42	1576.4114088650845	872.9111810487935
20x44	1676.726384953729	885.078736610478
20x46	1778.7699373443436	911.8458696512256
20x48	1882.2949821959364	953.5409797171802
20x50	1989.2806991473074	1012.2197883859018
21x23	953.3047204330835	477.8450481066009
21x25	954.6270161691424	518.7060246420896
21x27	986.3304365170933	562.9155620517163
21x29	1028.3295288962581	524.8862924481836
21x31	1085.0213361957449	518.1298099897359
21x33	1146.0010907499172	535.5342192614772
21x35	1221.357543883035	581.3873493635718
21x37	1306.2621214748592	650.3137166014568
21x39	1394.2250679140723	730.2089700900693
21x41	1486.8298759441177	814.325536870851
21x43	1590.853085611616	819.9626454906344
21x45	1695.355741430099	842.6438690217832
21x51	2017.0791878357181	1001.4463789939031
22x22	900.9002886002421	411.28740559370385
22x24	897.7726048393321	441.7547396463334
22x26	917.078284553723	508.47751179378605
22x28	953.6833961016623	495.5502194530844
22x30	1003.762920215725	462.3163419131968
22x32	1065.6297903118136	466.40824392371087
22x34	1139.7723720111835	504.6415163261936
22x36	1224.2801190903983	569.9015792222374
22x38	1305.8365058459653	642.3156389190599
22x40	1403.5002671891448	737.3132305879233
22x42	1507.5400260026265	757.6552844136967
22x44	1612.804355772888	772.2237305340983
22x46	1719.5075806753516	808.579693042065
22x48	1824.0047724718268	855.1246751205348
22x50	1940.0185488803968	923.6328112404842
23x21	851.7036162891409	350.7338734710408
23x23	841.4618232575975	368.15485872116386
