	dist_type_ambigious	dist_type_portal
7x37	253.19494465727408	1287.9167209101681
8x30	332.9672206088762	1359.8040189674393
8x32	237.43186391047016	1313.7997145683964
8x34	164.58629955132943	1268.0200511032938
8x36	175.5538948585305	1240.7817576028428
8x38	249.26935230790014	1220.329385862686
8x40	358.14198301790884	1219.5641352548869
9x27	499.86208097834356	1413.7089162907619
9x29	379.22038447319795	1345.9758170190132
9x31	257.30332294783915	1286.1201343575956
9x33	149.6318816295509	1235.2582321118123
9x35	104.38438580554079	1199.5096081315896
9x37	163.23507588750653	1173.6443626584673
9x39	271.31255039161016	1158.9557800019809
10x26	555.2223518555426	1403.485895903482
10x28	430.71162046083685	1333.3658537700746
10x30	303.267027551628	1264.3889789143211
10x32	177.70340458190444	1206.9514074725626
10x34	68.23085812152716	1165.9805530110696
10x36	75.23828812512971	1128.5686509911568
10x38	185.95526343720414	1113.4675388173648
10x40	307.1225325501208	1105.1720454300316
11x25	522.2804323349668	1401.2694423272062
11x27	488.71556144653283	1320.3180298700763
11x29	360.5389576730925	1245.8734847487524
11x31	234.68191238354942	1182.1933006069692
11x33	104.97623540592377	1130.1063710996411
11x35	0.29999999999972715	1087.3057941536042
11x37	108.24329078515683	1061.3960665086336
11x39	233.7987168484893	1047.6606511652521
11x41	355.6080567141303	1047.6436846561908
12x24	463.4057077766737	1398.7318720898581
12x26	477.29652209082764	1316.629169508256
12x28	428.3935807175452	1236.3073485181587
12x30	304.859475824518	1164.0708311782405
12x32	181.21131311261982	1103.1944252941091
12x34	59.4926886264185	1053.0894453938845
12x36	30.013663555121294	1014.2390349419607
12x38	153.20068537705714	996.5625168548132
12x40	279.9167197578595	988.3105635375956
12x42	322.3309634521636	997.688954534428
13x23	411.57868020586284	1408.1447404297612
13x25	407.71803982654484	1312.4092349568407
13x27	443.34064780933403	1230.66247606726
13x29	378.64174360469036	1146.284855522396
13x31	254.38893450777272	1081.7422659765123
13x33	126.40332274113666	1022.9859236568212
13x35	2.3706539182259223	977.6236596973293
13x37	84.536382699995	946.1251502840413
13x39	213.71834268494624	929.6738836817995
13x41	256.94997567620044	934.39247107412
13x43	293.80852608459134	955.2623985062952
14x24	350.11955101079394	1319.1315703901562
14x26	365.1709873470233	1226.2548878597793
14x28	424.35872796491424	1139.8241662642529
14x30	320.3199962537462	1062.4137141434119
14x32	201.09584779403085	995.113229738204
14x34	87.66036732754435	939.529637637898
14x36	54.89571932309498	901.5779167659332
14x38	163.8948748436023	880.680379025217
14x40	199.40634393117983	870.3392959070618
14x42	213.5158073773462	884.6781335604492
15x23	293.0770888350025	1326.6566172148691
15x25	294.41136187314504	1230.3052669967726
15x27	341.48279605274405	1137.9070700193404
15x29	399.2311861565925	1058.5187480625932
15x31	280.6161969666042	979.4301659638627
15x33	173.87265454924182	913.9834243573567
15x35	92.1676732916699	866.2142229264074
15x37	140.82080812152753	831.5020745614528
15x39	162.20110973726395	816.1594207016175
15x41	139.3153616798951	816.9403711410031
15x43	197.00609127638663	836.8657000976917
16x22	260.29838647214063	1345.613038729931
16x24	235.21913187493894	1245.3199749461983
16x26	259.86227121304063	1146.530418261984
16x28	335.6814710406281	1056.0343034201112
16x30	366.05163570185005	969.592904264465
16x32	252.8900551623174	896.965205568198
16x34	166.9997904190301	836.0003169855856
16x36	153.7984720340226	789.7666554115841
16x38	158.28749160941277	765.3948850103453
16x40	85.36632825652033	752.8699821350297
16x42	114.62203104115711	769.2664102896993
16x44	223.60000000000008	804.3180714120504
17x21	238.86642710937826	1367.5961282483947
17x23	184.24605830247762	1260.7278096401299
17x25	182.04933397296446	1161.0321098057536
17x27	248.06470929981134	1058.108548306836
17x29	354.6707769185388	970.9229423594851
17x31	343.84653553584025	883.9592977054994
17x33	255.94845184138148	809.8893813355006
17x35	202.00356432498913	759.691016137482
17x37	186.77807687199245	717.6695966808123
17x39	67.26261963379058	697.8551855506985
17x41	30.785873383745468	705.001113474298
17x43	145.72196128243704	730.9811830683469
17x45	265.5985316224473	768.9482297268132
17x47	394.3919370372576	832.0453112661593
17x49	497.6792943251707	902.0350769232869
17x51	553.592060997988	989.6406266923364
17x53	629.4038449199371	1084.9886635352466
18x22	161.4744871488991	1288.0439472316152
18x24	115.53155413132812	1171.282007033319
18x26	164.69623553682084	1069.7241934255765
18x28	270.9679132295925	975.2487938982543
18x30	387.60515992437456	889.2704650442406
18x32	329.65175564525657	804.0606196052632
18x34	270.63576999354694	736.7536358919444
18x36	211.6420563120666	690.514996216592
18x38	106.08317491478071	653.6635526017952
18x40	0.28284271247452253	642.689411769013
18x42	79.68042419565838	666.4603289018784
18x44	209.67236346261754	704.676166760307
18x46	337.81676986200705	756.9611416710901
18x48	431.11336096205605	826.0563721683891
18x50	478.474429828805	908.5354038230982
18x52	548.2013133877008	1003.1306395480103
18x54	635.0302197533596	1102.6684814575958
19x21	177.00759870694816	1321.504706764225
19x23	77.98621673090679	1198.4022071074467
