	dist_type_central	dist_type_portal
24x14	407.0503163000859	48.037069019664465
24x16	416.19150640059934	150.2649992513228
24x18	463.1052796071321	276.1566584386478
24x20	530.5799185796614	359.57009052478213
25x13	353.7738967193595	10.852188719331995
25x15	352.07631275051705	78.3002554274252
25x17	386.6588289435532	206.6002178120828
25x19	449.3463029780039	283.2830739737199
25x21	514.6304013561576	360.71131116171006
25x23	434.5930510258993	444.24196109777836
25x29	392.1344922344883	402.8025074400605
26x12	315.7078554613423	99.5482295171542
26x14	287.31065069015443	53.62471445145427
26x16	301.6097146976537	153.57740719259462
26x18	362.58043245602755	203.50570016586752
26x20	443.17916241628524	261.19680319636393
26x22	426.15181567136375	355.7805081788491
26x24	348.47797634857767	465.3541662003253
26x26	309.1631446340266	566.0102914258715
26x28	311.29556694562785	442.3710320534108
26x30	364.15504939517183	321.10387727338303
26x32	445.05321030186946	212.8989431631824
27x13	243.7804339974807	109.10591184715878
27x15	229.6448780182128	140.79904118991755
27x17	274.73305225254546	134.41075105809023
27x19	357.0517329463615	176.4220507759728
27x21	435.3888951271034	266.92225459860043
27x23	340.6512145875894	382.1369518902878
27x25	264.67529163108514	503.5871424093353
27x27	249.9634573292662	484.8613513160228
27x29	276.97581121823595	361.9397739956191
27x31	362.0409092906491	238.52131980181574
27x33	450.9054446333507	123.42738756045989
27x35	566.6369913798428	67.42610770317371
27x37	617.3116959850993	2.308679276123244
28x12	212.72783080734862	191.57173591112044
28x14	169.47100046910643	166.70818816123017
28x16	194.40393514535657	95.87851688464937
28x18	272.20912916359	94.36636053170646
28x20	374.11049169997875	185.25404179126548
28x22	351.4406066464145	300.10614788770994
28x24	257.83130143564784	419.2428651748292
28x26	193.75058709588467	546.7667601454938
28x28	202.0199247599105	414.8788377345846
28x30	268.71162981903086	294.06519685267074
28x32	368.5246938808848	163.52813213633922
28x34	481.1695854893574	40.16179776852613
28x36	598.4574337411143	20.700241544484268
28x38	544.4761243617572	68.20007331374386
29x11	217.19415277580555	273.27440421671406
29x13	135.37300321703705	218.87267988490504
29x15	121.39695218579413	117.31504592335956
29x17	185.5513406041574	20.102238681301056
29x19	292.89166939331005	104.3231997208675
29x21	387.7086663978507	221.6280893749706
29x23	263.97575646259605	352.89545194008963
29x25	167.5798615586013	477.87363392428347
29x27	131.6045971841406	480.46828199164185
29x29	190.41349742074473	351.33701769099116
29x31	285.39910651577014	225.51818108525094
29x33	400.55053364088786	95.3400755191644
29x35	516.2875264811265	0.6403124237430576
29x37	588.2028561644354	0.4472135954995512
29x39	463.7145889445356	123.63340972407123
29x41	344.26828201273463	244.3793158186677
29x43	223.23982619595418	354.29086920212916
30x12	133.09019498069713	294.7487065281204
30x14	57.38379562210893	174.47664600169267
30x16	109.13152615078755	44.95653456395393
30x18	218.49670478064436	41.20449004659578
30x20	339.0282584092365	166.07877648874955
30x22	289.67341956071834	296.3755894131634
30x24	178.11440143907495	419.5172702046963
30x26	76.94153624668537	543.0
30x28	104.71007592395272	413.4000483792909
30x30	203.9305028680112	290.90006875214044
30x32	324.45038141447765	160.10012492187496
30x34	449.77438788797224	32.20248437620905
30x36	579.426078115233	0.42426406871218575
30x38	512.1642119476913	60.03149173558854
30x40	387.2022856337495	175.40299313295682
30x42	262.234112960156	278.48685785867895
30x44	139.78000572327912	390.42009425745505
30x46	30.0433020821612	515.6747036650141
