	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
5x23	597.6990296127307	597.6417739750125	669.8074424788068	753.379220578853
6x20	720.0039699890548	719.6030828171873	663.0732665399804	676.8635289332702
6x22	610.9448214037009	610.6831050553142	621.8590312924625	683.499008631322
6x24	511.26432772099395	511.19664787633326	603.6766458957975	708.3281250945779
6x26	424.87824703084055	425.74537554740385	612.9819286080137	756.4767311689104
7x21	637.4637197519555	637.0234799440282	586.9063588001068	622.5978750365277
7x23	527.0051817582062	526.711440544061	553.1564530944206	637.2663976705503
7x25	424.0112272098461	423.9461295966738	546.5889139014803	676.0936627420789
7x27	340.79252632650275	341.93125917353626	570.7424865909318	736.3905118889024
7x29	291.2487665209932	290.9430253503253	622.3876637594932	814.1194040188453
8x20	672.7794173427126	672.4335687634875	560.9759927127005	562.763275631948
8x22	555.2790005033504	554.8596294559551	511.435360920615	569.5228954133448
8x24	441.48805193345817	441.15196928042815	488.901810182781	599.668591807175
8x26	338.9019734377479	338.8378190226115	498.5991452058457	653.5806511823923
8x28	258.77848442248825	259.4815292077646	541.9745602885804	729.12030831681
8x30	227.1602253916824	226.17189922711427	608.185405941313	815.9618912669879
8x32	256.7919313374156	256.3533810972657	690.8260678347336	911.3613641141477
9x19	715.7397789699828	715.4922160303352	546.7887262919745	504.45668912206906
9x21	593.7793223075386	593.4801459189682	480.18280227430034	506.2816247899976
9x23	473.3597312826684	472.9889165720483	440.135837213922	526.3531848483489
9x25	357.51209042492513	357.11227198179546	432.1580900550169	572.3641976923436
9x27	253.01155704828966	252.95099920735623	461.4951440697941	641.8205418962531
9x29	180.4277373354773	180.55837947877134	524.3479077864239	730.2080856851697
9x31	179.38625253903928	179.07112441708733	605.5342662475839	825.983818001297
9x33	246.8431931409089	246.8191281080137	699.5222097975162	929.160181023703
9x35	332.1242929988712	331.9969066120949	703.0438578068937	1021.9840830463066
10x18	762.3184951186739	762.004020986766	540.761396551196	449.6710442089861
10x20	637.9528512358887	637.7206288022993	458.9830938062969	444.6119211177315
10x22	513.3609108609652	513.1320149824993	398.3837155306424	453.1656483009274
10x24	390.0816017194351	389.7811899001798	371.0729523961561	491.8254731101266
10x26	269.8525893890958	269.4357437312279	383.7994528396307	556.2600291230711
