	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
13x35	1220.0418051853799	152.5150694193853	423.01816320342533	766.005461077139
13x37	1287.1358893294832	79.11559643963992	297.59246899073213	868.8047407789624
13x39	1362.9822622470183	114.69301286477747	174.14042379642916	977.6676363672883
13x41	1444.948954669334	198.28747212065645	62.53704182322637	1089.9707159369011
14x26	998.3909042053617	708.2897130412102	43.656816191747176	424.9086461817409
14x28	1021.960141101403	579.7525765358872	50.85046705783552	449.13241922622313
14x30	1050.3483540235588	453.5587115247594	177.51412563511678	508.3105987484422
14x36	1202.847236352148	74.51331424651553	360.18533284963155	781.1691455760399
14x38	1277.216539980594	36.10055401236924	232.48004215415955	891.2507447402221
14x40	1358.0213130875375	111.2422887215109	104.58129278221791	1004.7030440881525
14x42	1445.7565034264933	224.4545994182343	0.43266615305553746	1121.7490749717604
15x23	922.6200034683834	744.3778279879108	237.14103567286713	384.6636333213733
15x25	930.3131623276109	773.1821130885011	112.57966068522312	367.07135546103274
15x27	956.0183272301842	646.0137165726438	15.226358724265227	376.6272454297482
15x29	979.430166168063	517.5051791045188	118.46151442557195	425.74585188818907
15x31	1013.3255903212943	390.22377170029	243.765936914902	500.52251897392165
15x35	1120.4908140631944	136.18173298941366	419.0459454522855	696.0335512028139
15x37	1192.6437484848527	15.526454843266452	302.4990426431128	807.1937504713478
15x39	1272.9073218424035	32.12179945146321	178.14064668121057	922.4241161201286
15x41	1360.0069330705635	142.22636183211628	66.24302227404776	1040.3436249624451
16x20	881.1054910735716	586.6541795640766	349.5833611601099	418.9121702696162
16x22	867.952400999041	660.1487789884944	311.692557498571	350.9629188390135
16x24	867.3689358052892	746.8966399710204	191.98695476516104	318.72199610318694
16x26	885.3758914720911	713.9495985011825	92.27908322041338	310.01069207367675
16x28	910.4969019167501	586.7660252604949	94.21278257221813	344.4469311809876
16x30	939.4962820575715	460.9702636830275	196.7525959168012	415.20494216711825
16x32	982.8339790625881	336.22229313357536	317.18018601419624	507.1207651043291
16x34	1038.527948973931	213.80556774789554	442.77563257252564	611.3075991675549
16x36	1107.2425275430853	101.83660834886437	337.66458920058506	723.5277014738275
16x38	1187.2018652276452	16.569514175135037	223.1738084991156	840.5394153756265
16x40	1273.9990764517847	69.7008378715781	129.30741200720078	959.7654540563543
16x42	1366.96794768568	198.55722097168876	100.90079286110698	1059.680315000708
17x19	838.6798228167886	505.0129158744358	275.2071314482966	424.68520718292035
17x21	814.4108056748754	574.5809955089012	326.8961309039922	333.60311809094327
17x23	808.6401424614043	661.6421086962348	274.7121402486608	274.4026967797511
17x25	817.8482316420328	760.1269433456495	175.79263352029278	253.84981780572548
17x27	844.9070353595121	660.2527231295602	130.1001860106281	266.2404522231736
17x29	867.6147940186357	535.4147465283339	178.05142740230994	330.38346023976425
17x31	905.161711960907	412.710364299226	280.7403155943231	421.79284583785926
17x33	958.1932205980169	295.05546597207797	396.66672156862364	527.6939719193311
17x35	1024.0204818264135	187.0454148061373	384.3648620776877	641.7736884603482
17x37	1102.5896919525412	96.75365006034643	259.4211032279368	760.8008601467274
17x39	1188.5854584336796	56.06774473795111	139.31730689329265	881.5056392332385
17x41	1281.092416650727	148.49976430957747	50.39067374028644	982.2122072138994
18x18	804.542855788304	432.5804050116	213.8392078174626	442.165813694365
18x20	771.1984050813379	498.88028624109785	252.9000197706593	335.5493704360058
18x22	757.8022253860172	584.9945408292286	333.96528681885496	250.22200702576092
18x24	757.7956125499803	682.3329029146992	253.5778192192684	207.97478308679626
18x26	779.615413906113	728.0076878714947	190.36447567758023	201.3435710421367
18x28	803.1141159262484	604.9335857761579	189.83593758822346	253.0288584331832
18x30	836.4700040049255	485.01140976269807	244.56546689996944	344.28335364928716
18x32	885.4566941415035	369.5024183953334	338.9802902824882	452.8790977733461
18x34	948.0268291562217	265.15691354366015	437.04186161053275	568.0522412595517
18x36	1024.1636822305309	174.60861376232282	309.3003200774288	688.5448191657534
18x38	1110.2413555619337	100.16440285850058	181.06238593368838	811.8372913336763
18x40	1203.896486081756	137.5689979610234	54.438490059883094	912.9433658228749
18x42	1302.2216593191806	236.16995998644705	37.566607512523674	963.8237650110107
19x17	773.8207619339248	355.5712187452746	163.6337727976715	478.1302454352788
19x19	730.290259554377	414.369718005551	172.4341706275178	359.0991272615401
19x21	704.9396819586767	498.88382936310956	247.84155260972705	250.4562141373218
19x23	697.6288093248443	597.8489404523522	295.3637682587353	167.68337902129701
19x25	709.8388315667155	706.2511216274279	193.1123165414365	143.11019111160454
19x27	734.9791553506806	685.6399921241468	130.42161937347652	167.61252578491852
19x29	762.4473280168277	566.6684815657208	160.40102244063175	258.73145923911176
19x31	806.4204585698454	453.4805354146966	254.12319059857572	370.4132233060803
19x33	864.6551546136759	351.32124387802116	366.6851734117429	488.4520615167879
19x35	938.1546177469896	260.95525823405046	375.65815151544354	611.1547813770258
19x37	1024.1503805594177	176.35464836516203	249.41644292227386	729.2936596460992
19x39	1117.827441781602	160.14377789973616	124.63526627724563	837.7172969445003
19x41	1216.5506401297073	222.34320317922968	30.547340309755473	884.4119515248536
20x16	751.5296215053664	284.4137338456071	147.90419872336247	525.6280548068185
20x18	696.290749040945	330.0337061574167	98.80165585656968	400.7232551275257
20x20	659.4230362976408	413.05827772845794	161.99796541932236	278.7491718373347
20x22	642.6270613660772	513.4030969910485	270.05247638190616	164.60844449784463
20x24	644.6850223171001	623.3347880553437	213.12854806430758	94.6514553506705
20x26	670.0548156680914	718.1374353144388	107.69148527158475	90.26525355860909
20x28	691.066380603195	649.6747666332748	79.07251355559649	173.27614492479913
20x30	729.1616237844668	537.9573529565329	169.97974467565274	289.72213170553636
20x32	784.371957683343	435.7272174193391	288.08034990259216	411.98272779328977
20x34	854.7656188687046	345.7783440298137	411.2793979766064	535.8747831350154
20x36	938.3732941638953	258.45254728866564	325.36729891001625	644.2470017004349
20x38	1031.507872194876	213.23810728854272	206.309889244311	754.3073713016469
20x40	1131.1367439881003	236.7280583285389	108.53503397520981	805.9575755584162
20x42	1235.5743351170745	308.9134144060438	98.87819577641997	863.450506746044
21x15	739.3690447942759	224.69753981741755	176.08970554805285	582.284384472055
21x17	671.7625952671077	249.74231599791017	63.371479389390856	455.208857998172
21x19	622.8354598126217	327.51123644846155	76.44220038695913	327.78866667412393
21x21	590.4691023245836	428.16118553647516	189.79125585758683	201.2731497244477
21x23	583.5286268898897	540.5249840664167	258.94968314327014	80.08182315606959
21x25	598.7143352217316	659.0956646800222	133.34697296901766	36.56959392719564
21x27	622.709698334625	635.7075494281939	23.896619007717145	89.14150772788167
21x29	652.6814953712108	579.5046284543376	88.52646158070466	213.03824633149785
21x31	702.4882658094725	522.2204549804612	212.38098690796227	335.8072119535256
21x33	770.3728219505149	431.7097691736894	338.8957432603719	455.76055643287054
21x35	852.4511448757635	342.6060046175491	405.0721348105792	559.1821120171852
21x37	945.381254309604	282.8979250542501	290.44275856009904	670.9573130982329
21x39	1045.6812740027433	272.4054456137032	192.55359461718714	729.1437764940463
21x41	1150.147611569924	317.39648454259856	144.42745029944953	781.9387497751983
22x14	732.4596993691871	152.8788121356259	230.360003472825	643.7346745360234
22x16	651.1448244438408	168.71212878747056	103.00224463573598	516.4981920587912
22x18	586.7996540557942	237.9405682097947	0.4404543109109688	388.9786035246668
22x20	543.3900083733597	343.3603081312689	120.29705399551558	260.79559275417216
22x22	524.1266755279679	459.8614269538163	248.04510073774918	133.5989970022228
22x24	526.5193151252859	581.0248094530906	190.56156275597635	13.592247790560473
22x26	556.9362685263008	612.4695643050353	63.859276538338435	19.677581152164084
22x28	576.790632725602	550.6707128584196	27.039119808159573	137.81362051698693
22x30	621.0415316224835	500.4886652063164	151.37524236149042	264.16287400011373
22x32	686.5130006052323	480.4732042476456	278.79687946603696	371.34633430262886
22x34	766.9549415708856	427.4016874089289	405.8020729370417	475.75241712470597
22x36	858.9507685542868	361.5947217535123	375.3122737135038	588.9689828844979
22x38	961.0107283480244	330.4923902300928	278.03312752260285	652.1604250489293
22x40	1066.883887215474	347.5601657267416	215.839173460241	700.1198674512815
22x42	1177.4629488862906	404.62026147982283	211.04643091035706	766.6438782120415
23x13	738.4891747344708	99.17490206700454	225.67849077836343	708.7382741181681
23x15	646.5503862809144	105.78034789127871	176.18910863047114	585.4701375817556
23x17	569.0060052407179	151.50641570573833	64.87367725048428	460.2569651835808
23x19	509.81589225915656	260.03708197101423	75.73482686320745	333.6079195702644
23x21	473.4428937052492	380.61373280532064	193.3186323146324	210.81426327457066
23x23	464.6198932460813	504.0694448188662	265.20166892385873	99.55503603535082
23x25	483.11407182983186	581.6838371486695	146.75451066321605	5.310969779616527
23x27	505.60826931528715	537.0328500194377	66.5276032936706	66.86435522758015
23x29	542.4041961489601	470.23099855283857	112.58539869805523	187.37276216141967
23x31	602.798434636322	429.777655072946	226.7737921365694	285.3635449737756
23x33	680.6897163906622	424.6213489687015	349.7892651297354	391.34666218073227
23x35	773.3364662292862	440.6396373455299	460.4222518514934	507.5536326340302
23x37	875.3290809746925	395.49993678887	363.6033553200521	580.5061584513982
23x39	982.8111004664121	389.7357299504375	291.871237363328	621.1584171529834
23x41	1093.7507293711858	424.1275492113192	262.22459457495574	683.0854836695041
24x12	751.7046965398046	84.53632828553623	201.38001589035557	696.8817624245878
24x14	652.4985639830942	42.846423421331345	157.87924499439453	626.6205039734976
24x16	561.1255093114196	66.54590295427687	149.83656830026482	533.5962117556682
24x18	485.56790833002947	179.38214403892061	97.3769664756507	411.8488965628048
24x20	433.77879016844537	305.7492416997955	161.90354783018174	291.8328953356698
24x22	409.42762486183074	431.8794507730137	272.4951742691968	184.62464624204435
24x24	412.8464242306091	559.745915572414	230.9080552947428	90.58901699433547
24x26	441.91097112427514	503.9422451035434	142.22357891714017	0.43174066289856045
24x28	465.537393127555	452.9169729652442	130.40469470076638	110.90547506773477
24x30	519.656038933447	391.9247361420302	198.4617817112404	199.1080078751231
24x32	596.4617499890502	365.2629452873641	308.00094025830526	309.71661111409594
24x34	687.7614868542727	382.1427780293641	427.2102325553546	427.7125936887994
24x36	788.6781863345783	437.24185709970607	450.71889421234624	511.5857714987777
24x38	896.2011390307424	447.924236450764	375.2671070051303	540.5060976529313
24x40	1010.614173658771	458.51203691942516	327.64738363063435	599.7130046947457
24x42	1126.7698576018086	505.65386580149845	325.04115431741855	675.9355235523578
25x11	777.4613996848975	126.54986369016757	155.11308133100823	698.069042430618
25x13	668.8938764856499	0.7602631123498472	120.76281712514	614.1148247681374
25x15	566.9565754094397	0.3440930106813921	113.80034446345041	545.9452705171093
25x17	475.02757183136185	109.69919780928224	164.91365619620498	490.7631954415486
25x19	405.3666123399903	236.77552745163513	167.9431165603402	375.9559686984634
25x21	360.7777653902745	364.7090292274104	246.96954468112062	271.0665527135356
25x23	349.68259893795107	492.6415735603321	316.7773981836456	176.87430565234732
25x25	374.8296039535834	480.5117605220502	225.15281921397272	75.97441674669153
25x27	392.7528321985721	429.2539425561514	180.8761653728874	25.74698428942672
25x29	438.1095027501685	369.7797944723317	206.00392326361185	113.80077504129746
25x31	510.5693249696854	316.8875440909599	285.2285322333655	227.6066686193533
25x33	601.0680427372594	311.0564450385169	390.25964690190557	348.88627373400624
25x35	703.8385681390299	354.73106714805783	492.5899004242778	450.1402559203074
25x37	814.5128431154419	434.40489361884505	455.07455608943906	468.2232497431112
25x39	927.9359109335085	504.56485688165003	399.7697022036562	517.7215610731314
25x41	1045.2873451831322	530.905824040385	376.9255549840049	591.3376311380836
26x12	696.6872285322877	82.42144381166848	84.60741338677117	613.6345609562748
26x14	585.6340212111998	4.644006890606572	41.764180825199766	530.2510413002503
26x16	481.8435268839873	54.3711725089686	115.03244933495951	465.0268641702325
26x18	391.24028678038775	179.3965495766292	214.10521245406426	417.37479799336234
26x20	325.5953937020608	303.99289531171615	248.60040305679317	360.57775915882553
26x22	292.3873355670521	430.7337391010834	332.2052889404384	262.9743599668985
26x24	297.1774829962727	471.8253240342234	313.951105110334	144.183967208563
26x26	325.5800055285948	399.5036170049025	251.38166202012454	16.909760495051433
26x28	355.3723748408139	360.2400377526073	241.80240859015456	23.74457411704827
26x30	422.3497323309203	288.69938759893495	285.67291856247056	145.23999586890653
26x32	511.82467505973153	249.28381014418068	340.89936638251453	271.5145263148915
26x34	614.4409367872554	271.4563405043248	404.1080855414798	397.4832635470328
26x36	724.8137752554102	342.8974902212031	491.95403118584176	395.1210052629447
26x38	841.6817455546962	441.7253454353737	478.82781957609745	434.2971342295505
26x40	960.0028833290035	551.1190942074137	442.55148401061786	502.043639537441
26x42	1081.7890134402364	608.4384846473803	439.10138874751954	590.6438771374845
27x11	732.6924279668788	168.3939250685726	62.29473493000817	625.9305025320301
27x13	613.4453928427531	90.8366115616387	59.166967135387175	526.9699137521986
27x15	501.3918140536399	53.468413105309395	37.341547905784665	446.0702088236782
27x17	396.8461933797523	136.93203131480988	165.0601744819145	385.32207463367547
27x19	308.77163082122684	252.80450945345112	278.1907978348672	351.5037979880161
27x21	249.76143016887107	377.47197511868364	331.2210923235417	296.9760461720775
27x23	232.72428751636542	480.09902520209283	398.66516527030547	178.7857768392103
27x25	267.3743719955222	387.27330762653884	328.4626840297085	75.9732505557054
27x27	278.5571718696181	320.12175496207664	293.55118463395763	0.42190046219482114
27x29	337.5134343992844	283.51698079656506	262.8515900655728	79.4314698340654
27x31	425.9467356372159	208.10569814399588	266.67909854354923	206.20121629127257
27x33	529.2034924298969	195.37199492250664	319.13874161561756	333.5606337684349
27x35	641.8153893449427	257.50385239836726	406.1155426722796	334.453874248752
27x37	759.7201392618207	355.7044419177247	510.6251168910515	356.1968135736196
27x39	880.5941180816507	468.4373178985637	512.3906330135243	417.4731617721072
27x41	1002.6321129906021	587.0891533659941	493.8282636706816	504.03884175725955
28x12	652.9242360335536	173.94854986460808	12.749039179483521	539.9341978426628
28x14	533.0173805796579	104.22537119147148	51.4825018817074	442.0271122906376
28x16	416.5703205942544	138.88020737311723	117.0924079520104	362.04302506746336
28x18	309.63709596881284	223.54008857473448	236.61802805365463	306.22170269267286
28x20	223.1678489388647	334.37411502686643	353.4562615091153	291.7470973291764
28x22	177.55192367304826	454.1501575470388	415.95091729674084	220.63337372210924
28x24	187.76527154934712	394.14702485240207	346.6805982457052	96.31177082786924
28x26	210.4532803260614	302.81007777152956	264.7458086542633	9.356452319121498
28x28	252.91418465558607	246.48923871033378	228.37527186628571	56.85758348716563
28x30	339.40864455697044	197.79825075060685	199.80307304944014	158.04628435999382
28x32	445.7052344319059	134.51793932409123	236.92909487861544	279.6052145436495
28x34	559.6354702840056	171.27422339628336	319.45393971588453	283.7041057157964
28x36	679.4986378205627	270.2622407958612	425.7137991655898	281.6302519261733
28x38	801.7814255768214	386.53829616223027	522.9079215311237	332.86461872659277
28x40	924.9278261572633	507.5721462018975	520.3985046096883	416.8116644241139
28x42	1050.62935900345	632.4656907690726	548.5929729772339	519.7502573351937
29x11	699.6071240346255	255.3932810392631	91.05958488813796	564.9246392219052
29x13	574.9807944618672	180.79766038309228	87.04983630082249	454.5774235485084
29x15	453.6366801747845	161.94566249208435	116.2965072562374	356.424687136006
29x17	334.96836686469356	221.49322066374887	200.3273491064065	282.5986673712383
29x19	224.8603566660871	308.21644991791095	314.58064148958704	236.26294673519982
29x21	140.32535052512745	417.6641761032423	376.772615777739	249.3392949376408
29x23	117.67075422550829	409.4859782703188	367.0353203712144	154.9003757258194
29x25	159.00962486591774	308.6382685280616	260.7491146677201	31.015170481556385
29x27	170.7000292911514	219.4032360745847	185.07387714099454	26.332109676211
29x29	254.2125764001455	181.97305844547387	150.74585898126654	143.17078612622075
29x31	361.81376203787516	112.3453532639421	156.99489928019958	241.26441594234348
29x33	479.3126712282914	87.56116033950204	233.76628670533316	255.2335338469454
29x35	601.9451513219458	187.50916030957012	343.0865272784697	218.3703395610312
29x37	725.3333581188721	307.6908844928623	461.3082271106813	250.2157477058546
29x39	850.9986575782597	432.5211615632234	460.4796143153354	331.62610753678615
29x41	976.5004757807346	557.9379707458532	476.2924093453519	435.386930442337
30x12	624.5868794651388	259.51102096057537	124.04019509820235	481.6321521659448
30x14	499.52722768633924	215.4217519193458	162.67504787151634	369.49983924218395
30x16	374.0500340863506	236.94097999290878	197.905603760985	269.56436708140785
30x18	252.2523720403834	305.1120764571603	249.982117760451	202.34163980752945
30x20	138.7672382084474	394.3614920349096	296.1747227566863	179.60541862649913
30x22	65.8545548918218	435.03947223211804	379.8330454291727	227.34744863314378
