	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
9x17	1337.4522372032577	1241.5810915119478	1117.6697574865304	1079.148315478461
9x19	1335.5841839434906	1206.2317656238372	1054.1153601005915	978.8360191574478
9x21	1344.03056765834	1181.945991490305	1000.7228221640595	883.9544370610964
9x23	1362.6837062209263	1170.7372562620528	961.283144136003	798.6511398602017
9x25	1390.8865502261497	1172.920830917415	937.0913485888127	723.514668545151
10x16	1282.3296739918326	1206.4870462628264	1102.560380568792	1096.5056647368494
10x18	1273.5343880712448	1162.7436164520534	1030.3403697807826	989.4320378884039
10x20	1277.4534820493463	1131.8246501998442	969.2406299779224	888.0999486544292
10x22	1293.582883776683	1114.3427467345941	920.868132362066	793.813124860001
10x24	1316.7075550781958	1109.1542298526385	886.4118600289596	708.2967355565038
10x26	1352.1566774601233	1119.2425118802448	870.6634713826002	636.6132895251244
10x28	1400.3070727522588	1145.5563268560827	875.0963706929654	581.8362467223917
11x15	1234.4967185051567	1180.9525934600422	1097.7784785647784	1124.4828091171512
11x17	1218.3515461474985	1128.695747311914	1017.9716548116652	1011.9511302429579
11x19	1216.6957000006207	1090.17687849266	948.4582997686298	904.4884667036944
11x21	1226.525256649858	1064.1832009574289	890.2872599335564	802.5300276002138
11x23	1247.1652609016976	1052.4694712912103	846.3304248341777	708.0553565929713
11x25	1277.3203678012808	1054.5897790136216	818.8590367090051	623.9179769809488
11x27	1320.975327248772	1073.675358383529	812.5149446010207	555.1989690192156
11x29	1375.7802203840554	1108.1969747296732	826.7606272676511	506.7620889529917
11x31	1439.069384845637	1154.6277211291958	858.6472001934205	481.87169910672276
12x14	1191.601821079508	1161.8625133809937	1100.2040265332607	1150.1774210964152
12x16	1168.0149588083193	1101.2948306425487	1012.5004809875401	1040.2531730304886
12x18	1157.5648476003405	1052.7858929525983	934.4056166355166	928.6536579371235
12x20	1162.2933584943175	1018.5697674680904	866.1970741118904	818.7288996975738
12x22	1179.8194080451465	999.4849651695616	812.6693273404626	716.6047973604418
12x24	1205.2194173676426	994.2794798244604	774.068630032247	621.5857173391292
12x26	1243.8267290905112	1005.4011995218625	755.765394815084	539.9473048363145
12x28	1295.9385165971414	1034.4648659089391	760.6074406683119	476.10864180352763
