	dist_type_4	dist_type_ambigious	dist_type_parasite	dist_type_portal
18x32	437.6371213688345	437.27136883175876	379.7963269964574	695.0570120500907
19x31	413.18751191196463	413.22889540785974	335.89004153145106	698.0558143873595
19x33	368.45674101582114	367.81730519376043	327.9953810650387	611.2400265035004
19x35	369.64746719002414	367.9913721814683	370.06519695859	523.7144737354504
20x30	396.55492683864105	397.0561799040533	297.13096439112496	703.4001777082516
20x32	333.9626925271741	333.8000599161118	270.52223568498005	611.9404219366454
20x34	306.5031973732085	305.50058919746783	290.9357489206165	527.847525332837
21x29	405.2241108325118	405.8499476407504	285.59723388016187	725.7717134195846
21x31	314.2817207538485	314.6966793596653	223.288602485662	620.0975729673517
21x33	258.5464174959692	258.08186685623616	217.1019345837342	526.4753080629708
21x35	259.9954807299542	258.03381561338034	277.96087854228693	446.01799291059973
22x28	435.22845724975286	435.6774150676162	300.73079323541174	761.770444425353
22x30	317.9492097804302	318.5562744633983	198.90123177094696	640.1825520896364
22x32	229.93897016382374	230.2010642894594	154.2910561244556	533.9287686573928
22x34	192.42660938654	191.40010449317953	192.44219911443562	438.01735125449073
22x36	231.00218613684166	230.11868676837184	287.28524152834586	362.80326624770083
22x38	314.10108245595103	314.2815457515763	394.099086525204	266.21887611512426
22x40	422.6189773306447	423.0640613429602	491.86868166208745	174.55371666051664
22x42	543.5205699879264	543.876465753024	593.2851000994381	130.14303669424655
22x46	766.6062613884653	766.7382604252902	626.0807935083138	289.94578803631583
23x27	471.89805043038706	472.2007729769193	331.1971769203356	797.2444857131344
23x29	343.5876889529075	343.99026149006005	207.03936823705763	670.3214900329541
23x31	232.40228053958495	232.98502097774428	115.62188374178986	556.3243837906081
23x33	148.38345595112685	148.30593379902237	109.67337872063592	447.8187691466269
23x35	150.4274576000009	148.92823775228143	202.59817373313152	353.14758954295564
23x37	229.97608571327598	230.1968722637214	314.31481034147936	282.36324123369843
23x39	343.9709580764051	344.3678556427705	410.1219574711893	178.47806587925575
23x41	464.3724367358597	464.7162144793315	508.1247484624224	92.16376728411232
23x43	587.542696320872	588.029608098096	615.969171306487	101.27990916267667
23x45	706.7750561529458	706.7903366628606	593.4207444975274	207.99370182772378
23x47	715.0732340117338	715.3900544458246	552.9124071677174	281.637941336035
24x28	385.6710774740567	385.83335781137407	244.2346822218333	708.6876462871352
24x30	263.29318259309315	263.60747333867437	123.28057430106314	589.073594723104
24x32	146.8003065391891	147.32932498318144	39.48328760374415	472.660057546647
24x34	78.38271493129056	77.3010349219204	118.74278925475873	362.27317041149996
24x36	148.10864255673943	148.42092170580267	239.18940193913284	266.59214166962977
24x38	263.48464850916844	263.79757390848016	324.182294396224	206.54917090126503
24x40	387.02563222608416	387.4646306438823	422.0021800891556	93.65489843035424
24x42	511.2997261880749	511.62624053111307	529.9003774295696	14.262187770465069
24x44	639.3107069336477	639.7397752211443	573.9994599300592	129.16106224400627
24x46	650.3036290841379	650.4555403715153	516.128482066239	237.20710360358095
24x48	673.3702844646474	673.9008384028025	485.38638217403667	208.149801825512
24x50	717.4521099000266	717.9329564799207	483.81332143710114	131.16985171905895
25x25	497.21323393489814	573.0647432882255	347.9218303010029	891.0206507146733
25x27	413.8282252336106	445.90985636112583	298.53107040976494	765.5556152233486
25x29	313.96237035670384	312.6687864178324	177.91899842343997	633.9884620401227
25x31	189.02975956182138	187.73718331753037	49.540387564087546	510.59499605851994
25x33	63.741038585827766	64.10241805111555	39.43247392695527	390.38611655641637
25x35	65.1835101847087	65.5506674260455	167.81862232779787	277.25275472030916
25x37	183.63550854886427	183.99184764548673	234.29255216502295	182.25805880673698
25x39	317.1008672331251	317.79043409139933	336.23140840795946	134.4595106342427
25x41	442.6095909489536	443.3299561274876	449.4005451710089	16.758579892102965
25x43	568.0629630595541	568.8554561573619	564.0107534435842	59.83585881392559
25x45	591.7216913380815	591.7428157569806	491.33060153017124	186.55658658969938
25x47	603.7454430469849	604.1242918472987	443.01530447604176	168.6332114383166
25x49	635.1278611429354	635.6780631734904	419.2653097979844	122.2399280104496
25x51	694.7452842589147	695.274053880914	437.2642336162427	67.91178101036677
26x24	508.8335385958751	635.6188873845709	340.34742543465774	946.4912942019064
26x26	409.8906439527499	510.30612381197227	262.1723478935183	822.2213448944268
26x28	322.6714118108387	381.03548391193175	221.24339538164722	693.6473455582454
26x30	253.04001659816575	253.0597755472015	140.20431519750025	566.9499536996188
26x32	124.26439554433907	124.30060337745732	52.21532342138652	440.2890414261975
26x34	2.1931712199459814	3.001666203960739	109.92001637554493	317.34525362765356
26x36	109.45725192969198	110.33716508955656	139.1980244112683	197.7131508018622
26x38	238.35882614243621	239.29381521468568	238.88141409494386	94.75405004536708
26x40	366.01066924339796	366.96676961272675	354.43449324240447	86.72029750871481
26x42	493.9481956642823	494.92425683128533	476.7137715652864	63.90007824721353
26x44	532.0498566863822	532.2107195463088	478.98314166575824	134.96166122273408
26x46	525.9006465103458	526.0603482491335	405.4776072732005	129.44068139499242
26x48	549.2593558602348	549.8736582161397	362.0696618055702	98.137862214336
26x50	601.0524436353285	601.5405555737699	358.03217732488764	47.083330383480714
26x52	672.1492170641875	672.3433423482381	395.47107353130144	55.81370799364643
27x25	425.7555754185727	574.6884460296726	256.2658970678697	878.5806792776631
27x27	321.3206653796172	448.88837142434414	179.70856963428304	751.6177020267683
27x29	241.7142941573791	324.1076981498586	170.39483560249133	625.4422435365234
27x31	199.24382048133901	199.54874091309134	131.38074440343246	497.48658273364526
27x33	86.97976776239403	86.9751688702011	99.12355925812956	368.7425660267604
27x35	77.5495970331247	77.74020838665164	56.790316075894324	242.58017231422684
27x37	185.72089273961632	185.9684112961125	155.5070737940882	116.25424723424071
27x39	309.0851662568102	309.64405371329195	276.07433781501675	16.475436261295
27x41	434.80763562752685	435.49865671434645	400.9926183859251	96.99010258784152
27x43	489.5543381484838	489.8559482133498	482.54849497226695	136.42232222037566
27x45	466.9414738487041	466.98601692127784	392.42061617606157	148.4464213108552
27x47	479.102713413314	479.5366617892735	328.06159482633757	48.75458952755123
27x49	520.3792463194513	520.831412263124	297.3989912558548	57.27442710320204
27x51	587.6846263090436	588.078243093553	317.28728307324275	4.901020301937227
28x28	233.99799144437122	398.0505746761333	106.63517243386453	685.7132491063593
28x30	162.8688122385621	279.6180430515885	153.79938231345403	559.7010362684707
28x32	147.8773140140162	172.2222401433683	141.30994303303632	431.40804350405887
28x34	116.90004277159193	116.91543952789135	14.269547995644064	303.42844296472896
28x36	163.66270192074958	163.69935858151715	77.62396537152706	174.55337292644882
28x38	267.94779342252514	267.92838595415793	203.52203811872596	50.16393126540192
28x40	386.09466455780006	386.3996506209602	330.4831160588996	34.26499671676638
28x42	459.96836847765934	460.4220889575128	459.85921758729626	159.21337883482056
28x44	419.6720743628289	419.87313560169554	398.2939241314129	203.91922420409475
28x46	411.6870777665967	411.8881522937991	308.52560671684915	76.72059697369401
28x48	442.0885997172963	442.63453322125673	250.83087927924632	0.3605551275467016
28x50	504.5961256292006	505.17803792326526	245.40018337401455	40.003124877939314
28x52	584.4621801280215	585.0451606500133	297.56619431649136	37.00054053659216
29x27	257.7294705694323	477.31130302979415	82.08337225041346	752.8653797326583
29x29	150.70570659401065	361.2464671107526	69.4536536115991	626.4934237484063
29x31	86.49034628211375	259.6863107674334	175.73781607838438	501.0514744015826
29x33	129.18037776690392	185.7653627563546	88.60457098818318	374.1731818289493
29x35	177.4488095198165	177.7342960714114	28.901211047290403	252.74469331718896
29x37	251.31056483960276	251.32329776604516	144.89168368129384	130.6185285478286
29x39	351.74541930208585	351.5881681740729	269.7495875807786	6.135144660070929
29x41	445.65188207837696	446.0179368590456	397.08059635293216	109.1805843545457
29x43	381.63170727810336	382.01539236004606	420.24987804876275	233.507515938995
29x45	352.6340454352074	352.6904733615581	311.03113992010475	152.52530937519816
29x47	367.08835448703593	367.6626986791015	224.3048372193517	56.42570336291817
29x49	420.89933475832436	421.44661583645444	183.11540077229986	21.80022935659164
29x51	498.2692545200838	498.77073891719033	213.74716372387255	0.49999999999954525
29x53	594.5865201970189	594.9009413339334	303.32248515400244	86.63792472122155
30x26	299.0999331327239	552.0952544624886	117.46476067314812	817.4988501520965
30x28	175.34428989847382	440.1091001104159	0.14142135623718088	692.8082129998172
30x30	60.388409483939945	337.7969212411505	107.89698790976503	567.262514185452
30x32	49.538368967902116	259.2158367075592	166.69748048485906	443.97573131872855
30x34	167.8790040475581	229.01257607389164	87.25227790722712	323.4061842327693
30x36	258.9049439466155	259.3421870810843	120.56189281858542	199.27410770092504
30x38	337.269995700774	337.2252214766863	228.04045693692177	83.74992537310112
30x40	440.71574739280675	440.50626556270487	350.447956193213	78.15222325692372
30x42	361.3655905035784	361.9147551565146	451.2886991716055	190.35306669449815
30x44	309.07801604125757	309.33156967888016	333.19426765777314	228.83710363487796
30x46	302.8639463521533	303.184712675293	223.24150599742836	132.2095684888199
30x48	344.42602979449754	344.9285288287997	142.73223181888514	95.47193304840961
30x50	419.79524771011864	420.24641580862993	138.88430436878002	0.4999999999998181
30x52	515.815412720481	516.0894689876942	224.55097416845038	50.23882960420174
31x27	232.0656157210712	524.377583426294	72.25960143814802	766.7278852369983
31x29	104.30977902382858	422.5687281378024	61.41929664201667	643.0752133304469
