	dist_type_ambigious	dist_type_central	dist_type_portal
14x48	382.59895452026524	489.3405358234691	1218.8446004310804
14x50	394.140203480944	441.01938732894706	1240.2226009874194
15x47	333.4349261850053	475.7676428678182	1152.6035094515373
15x49	324.57019271646004	408.1144569848021	1169.7289472352131
15x51	363.58472190123723	372.9724520658327	1201.9188200540002
15x53	431.70195737337116	377.557121506137	1243.0979768304667
16x18	1004.1668835407786	657.7366722328927	1292.2118750421696
16x20	953.9026417826925	634.8782954236189	1286.472949579586
16x42	317.24302986826984	687.7182126423583	1101.3585882899356
16x44	301.9792873691837	582.5654383843928	1096.9240128650663
16x46	305.09121586830366	480.10129139588844	1092.6929349089799
16x48	265.95431938586734	390.8612285709595	1103.002493197545
16x50	283.35680687077195	328.8596661191516	1127.2503182523392
16x54	436.0655569980278	343.72746471587055	1217.0553685021894
17x19	924.0986148674825	587.1034406303542	1231.2336293327924
17x21	879.3015637424967	575.2453737319406	1230.3992197656823
17x39	375.1527288985111	780.0390823542109	1044.9345290495476
17x41	291.4395477624819	689.0957915993972	1039.747281794956
17x43	245.2529306654662	600.0576638957292	1046.2635423257373
17x45	259.726336746969	498.66739416167957	1036.8084538621392
17x47	225.5581964815287	395.37539124229744	1037.9609337542527
17x49	209.89523577251586	306.5681164113448	1056.159083661169
17x51	262.4302002437982	258.3300408392334	1090.9541741063188
17x53	349.7117241386112	264.779323210858	1136.097482613178
18x18	906.048701781532	550.413526359954	1178.9670266805597
18x20	851.0055052700892	522.4922678853726	1172.6018804351286
18x22	813.1025027633353	529.4635775952863	1184.6450438844538
18x28	689.7745211299123	695.8971834976775	1244.7905406131586
18x40	291.9132234072309	696.7933194283652	986.505413061682
18x42	213.63562437009395	605.3489737333331	992.3214096249258
18x44	194.7118897242795	518.438154460105	988.5604280973419
18x46	211.72919024074096	411.4859049833903	984.3235494490619
18x48	151.64827727343283	304.484153939084	990.3176258150714
18x50	185.18801257100847	228.5699017806148	1022.5713667025885
18x52	270.0415708738194	199.76348515181635	1063.567322739844
19x19	826.4816997369028	479.2504564421405	1119.3520447115823
19x21	775.1299052416955	462.4402339762403	1117.3568677911278
19x27	706.2993487183744	612.3208064405455	1210.9786001412247
19x29	605.5474878157783	699.1694787388819	1164.5289004571764
19x31	513.6524116559756	743.8174507229579	1101.0956361733524
19x39	314.32258907052795	713.1241757225736	938.1983212519622
19x41	209.17074365216527	613.9760581651368	934.4270972098357
19x43	138.93538066309802	520.5789469427282	939.457417874807
19x45	163.30829740095882	434.4055708666725	927.5478424318605
19x47	125.1482720615829	328.23054397785694	927.2565394754572
19x49	107.29585266915026	222.04909367074652	952.1383302860986
19x51	182.80536097171773	145.85815026936265	985.0898436183372
19x53	293.9066858715537	166.38130904641918	1039.664917172836
20x18	811.6092286316118	447.55015361409494	1069.4016738344858
20x20	747.6443071407685	410.7128072023077	1060.001702828821
20x22	701.7602154582432	416.59020631791134	1070.9491117695554
20x28	622.9214075627838	615.6757913057814	1150.2093200804798
20x30	518.6373684955605	672.068240582755	1083.0422521767096
20x32	429.53841504573245	712.5169822537565	1021.2755015175875
20x34	360.7206675531634	768.4937215098117	965.8376675197544
20x38	335.59693085604925	735.3995512644808	888.5197240354318
20x40	229.55513498939632	625.4273419031182	874.6846060152196
20x42	121.01739544379554	525.7908424459292	879.8622676305649
20x44	82.29277003479704	433.17398352163275	873.3146626502956
20x46	143.96499574549327	348.8273498451631	869.1388381610845
20x48	41.76996528607591	246.99661941006372	878.4795558235832
20x50	97.10041194557336	133.77552092965269	910.0112581721174
20x52	212.00547162750337	90.5313205470902	961.2919015574822
20x54	341.46837335249677	173.3800738262619	1025.8046841382622
21x19	725.8163197393674	367.814803943506	1003.4032738635048
21x21	662.748247828691	348.58577136767934	1004.2076677659855
21x27	637.9101268987661	528.1580539952033	1106.5795633392115
21x29	545.4358257393806	608.5800193893976	1075.1471713212102
21x31	433.4603672771016	634.0951742443717	1001.894151095813
21x33	344.7016681131669	687.1378609856974	940.7588638965883
21x35	286.99102773431747	753.3760349254547	891.0587242151884
21x39	273.92060893623886	649.1305723812428	822.6034889301164
21x41	153.37369396346932	543.4952529691495	818.7394518404496
21x43	37.833450807453445	442.3920998390455	829.0197645412322
21x45	94.06657217099	347.04800820635734	811.7373466830267
21x47	76.41289158250704	266.5369205194654	813.1631632089587
21x49	15.079124643028985	169.03780642211342	839.3817844104074
21x51	139.8898137821339	50.13342198573694	881.9595002039495
21x53	265.14905242146386	80.63262367057175	934.8901646717652
21x55	396.16694713214025	204.66863462680354	1012.2308284181034
22x18	711.6851902351207	339.5134901590804	953.1505704766693
22x20	644.0243473658429	298.4847734809934	947.6427385887573
22x22	593.4947430264232	305.0128030099721	957.8926923199697
22x26	571.3288107561181	439.74971290496603	1027.9878452588825
22x28	577.2265153299871	535.9410881804081	1062.6202755453144
22x30	452.97868603279767	560.0493638957192	982.7664473312058
22x32	348.47981290169423	608.9707546344076	920.8788085301993
22x34	258.83461901376324	667.8577393427436	859.7409842504892
22x36	215.10490463957336	742.4429405684994	813.4079665211053
22x38	225.9540882568846	690.35661074549	778.5141296084485
22x40	202.62956348963468	568.9530209077018	759.3681188988645
22x42	78.82867498569287	456.0223240149544	766.3543305808353
22x44	35.323788018841164	353.8069671445148	761.9012862569533
22x46	144.42662496922074	262.1244933233058	757.0022787284062
22x48	38.32088203577799	188.48153755739554	772.0361973379224
22x50	89.48295927158442	87.15273948648986	805.9292772942302
22x52	206.5411339176778	4.651881339845449	863.5671600981594
22x54	336.71716617957014	134.74735618927775	932.321966919154
23x19	629.8149569516427	261.75805622750147	892.2133601331016
23x21	560.7041287524106	235.05386616688517	890.7294314212369
23x27	529.2481931948374	452.7266835520081	1004.869071073441
23x29	489.8119843368471	490.279287753419	973.5819328644094
23x31	371.13659210592544	527.5232411941677	901.1736625090639
23x33	260.8604416158185	586.9601093771197	837.260634450229
23x35	179.22505405216083	658.419030709168	783.8183590603118
23x37	153.93014649509047	728.8989573322216	735.1414081658031
23x39	207.2031129109792	604.4064278281625	709.3309030346836
23x41	128.1065962392256	485.38737107592715	702.673252657307
23x43	1.6763054614239343	371.3677557354703	713.9652722646948
