	dist_type_parasite
15x51	322.64134886898796
15x53	361.4193409323856
16x50	262.90570552956814
16x52	285.4697356989002
17x45	383.78120068601584
17x47	291.15015026614697
17x49	218.3231778808654
17x51	209.37411492350236
17x53	265.51190180479665
17x55	358.031185792523
18x44	406.8354089800933
18x46	296.5602974101556
18x48	201.2474099212208
18x50	154.19212042124582
18x52	185.5526070956699
18x54	278.3836561294502
18x56	392.23281351768645
19x45	326.15586764613005
19x47	212.8740707554585
19x49	121.67933267404112
19x51	104.51028657505428
19x53	194.02672496334108
19x55	309.5510458712749
20x42	497.1846437692941
20x44	371.60045748088083
20x46	244.1183524440549
20x48	126.83552341516916
20x50	37.13892836364541
20x52	109.02866595533499
20x54	235.9139885636288
21x41	484.2049979089435
21x43	429.5637438145822
21x45	302.76978052639254
21x47	178.3135721138464
21x49	46.3038875257789
21x51	35.157360538015546
21x53	161.9788257767048
21x55	266.37912831151
22x42	424.43760436605976
22x44	367.3296203684094
22x46	243.69411154149748
22x48	122.35493451430548
22x50	35.50056337581138
22x52	116.40983635415007
22x54	204.77236141628086
22x56	238.38147998533765
23x41	369.2593262193926
23x43	374.7778008367093
23x45	318.7294307088692
23x47	204.6110945183567
23x49	107.87418597607137
23x51	110.2584690624719
23x53	163.10518078834858
23x55	153.79366046752386
24x40	327.0445229628527
24x42	305.6435832796103
24x44	341.11530308680074
24x46	289.049372945177
24x48	190.84328649444265
24x50	149.5
24x52	156.44992809202526
24x54	90.45446368200955
24x56	141.80426650845197
25x41	254.96048713477143
25x43	260.8767716758241
25x45	324.74594685692387
25x47	275.360799679257
25x49	193.07420853133084
25x51	121.74013307040526
25x53	71.09184200736377
25x55	56.738875561646616
26x40	216.02678074720265
26x42	185.4570570239915
26x44	226.74101966781407
26x46	318.54233627572984
26x48	224.96444163467217
26x50	110.38718222692317
26x52	55.326124028346605
26x54	9.656603957914166
26x56	93.77680950000396
27x39	212.34926418520968
27x41	136.29031513647624
27x43	143.68246239538075
27x45	232.0305152345268
27x47	277.8367866212102
27x49	150.3083829997512
27x51	25.7559701816876
27x53	71.4983915903009
27x55	76.86514164431132
27x57	178.55357739345385
28x36	359.9747213347069
28x38	239.49488512283486
28x40	125.00787975163772
28x42	68.96723859920712
28x44	148.07987709341225
28x46	261.80376238702144
28x48	215.90620648790997
28x50	93.29576624906406
28x52	30.536044275577268
28x54	123.70933675353682
28x56	159.92376308729112
29x37	287.5703218345034
29x39	161.98086306721504
29x41	39.72367052526714
29x43	61.321611198663234
29x45	184.1762742592
29x47	292.769960890799
29x49	174.5589012339387
29x51	84.34642849581748
29x53	114.85373306950056
29x55	185.55152923110103
29x57	247.25683003710958
30x34	458.8619836072712
30x36	344.7575960004361
30x38	217.22377862471652
30x40	89.85349186314333
30x42	0.499999999999909
30x44	121.09124658702628
30x46	249.65416079048268
30x48	251.68084948998384
30x50	158.17768489897688
30x52	133.81767446791193
30x54	202.72390090958726
30x56	259.58775009618654
31x35	400.9193435093893
31x37	291.1832756186382
31x39	170.2760699569967
31x41	69.1104188961404
31x43	83.3405063579531
31x45	196.18893954553113
31x47	305.8707733667926
31x49	209.98652337709655
31x51	158.44068290688463
31x53	189.89294352344942
31x55	278.07053062127943
31x57	340.9204599316388
32x30	278.29489754575053
32x32	314.91116207591
32x34	344.4256813885976
32x36	353.90858989292707
32x38	253.38336567343944
32x40	154.24671795535892
32x42	109.64310283825428
32x44	168.3784428007343
32x46	276.64146471561344
32x48	220.88460788384475
32x50	126.06418999858737
