	dist_type_ambigious	dist_type_central	dist_type_portal
9x17	1241.5810915119478	1117.9431321851748	1079.148315478461
9x19	1206.2317656238372	1054.161596910075	978.8360191574478
9x21	1181.945991490305	1000.9256949444349	883.9544370610964
9x23	1170.7372562620528	961.7575386759387	798.6511398602017
9x25	1172.920830917415	937.327368425781	723.514668545151
10x16	1206.4870462628264	1102.7764019963429	1096.5056647368494
10x18	1162.7436164520534	1030.5654358651857	989.4320378884039
10x20	1131.8246501998442	969.2609136862994	888.0999486544292
10x22	1114.3427467345941	921.1686041111038	793.813124860001
10x24	1109.1542298526385	886.7989544423245	708.2967355565038
10x26	1119.2425118802448	870.7645837997775	636.6132895251244
10x28	1145.5563268560827	875.1892469631924	581.8362467223917
11x15	1180.9525934600422	1098.2758433107774	1124.4828091171512
11x17	1128.695747311914	1018.129701953538	1011.9511302429579
11x19	1090.17687849266	948.6272747502045	904.4884667036944
11x21	1064.1832009574289	890.3878060710399	802.5300276002138
11x23	1052.4694712912103	846.7375909926284	708.0553565929713
11x25	1054.5897790136216	819.1238502204656	623.9179769809488
11x27	1073.675358383529	812.5363100809709	555.1989690192156
11x29	1108.1969747296732	826.9354115044293	506.7620889529917
11x31	1154.6277211291958	858.96319734899	481.87169910672276
12x14	1161.8625133809937	1100.8722450856865	1150.1774210964152
12x16	1101.2948306425487	1012.9611562147879	1040.2531730304886
12x18	1052.7858929525983	934.530650326676	928.6536579371235
12x20	1018.5697674680904	866.2993773517327	818.7288996975738
12x22	999.4849651695616	812.867391153071	716.6047973604418
12x24	994.2794798244604	774.5129592201797	621.5857173391292
12x26	1005.4011995218625	755.8818770151854	539.9473048363145
12x28	1034.4648659089391	760.7146106129418	476.10864180352763
12x30	1075.526223762117	784.2458657844488	433.7143506964
12x32	1130.0186494036282	826.9272204976686	423.05790147449073
13x13	1149.6871786707893	1110.243887080672	1181.617657620264
13x15	1080.1312603568142	1015.3800370304706	1066.9716114311568
13x17	1022.1695143174638	927.7750352321407	955.9445360479863
13x19	979.3312250714768	851.8162996796901	845.9486322466629
13x21	950.5342255805413	786.0729953382189	734.2787713123671
13x23	936.4567016151893	735.7039309396137	629.9943126727412
13x25	939.6235333366229	704.983080931734	535.5514022015066
13x27	960.8571400577716	697.1571728096901	456.80122985823937
13x29	998.7511433785695	713.2772016544478	397.7971422722892
13x31	1049.413923483008	749.4405532128618	366.78808977391833
13x33	1111.6160923628265	802.9163946513983	374.00547696524444
14x12	1146.067462063207	1122.3521851896578	1222.078110269552
14x14	1069.29439800272	1028.1797652161804	1103.668043208645
14x16	1001.5959155268155	932.7184023058619	987.0091681438423
14x18	947.4030626929593	846.1913277740439	875.3274834026404
14x20	908.8337469526537	771.5660306156565	766.8806293028923
14x22	885.5800009033627	708.8283417019949	654.388766712877
14x24	879.7691444918945	664.4805095711988	548.3211719421383
14x26	892.5054865937799	642.6661369638203	453.35986103756477
14x28	923.2861558585181	646.2993467426684	377.76040766602296
14x30	969.113755964696	673.7587045819892	324.47710550977257
14x32	1029.0613198444494	722.2698941531482	309.2345388212642
15x11	1143.8415612312747	1091.3854485011238	1262.5426239141393
15x13	1061.661249175084	1045.0849381748835	1142.8477623900744
15x15	985.7536426511443	942.2292311322124	1022.3371674746056
15x17	921.3020043395106	847.3970162798543	904.9304631848789
15x19	872.7730905567607	763.1500950664946	793.2285594959372
15x21	839.016233454395	689.1302924701539	684.4525403561593
15x23	822.7205399161977	630.214413354693	570.3423943562321
15x25	825.8611198016288	593.4264480118829	462.5995559876813
15x27	848.7060082266413	582.7401551291964	368.077774933505
15x29	890.9241379601293	601.106828775052	296.1360153713151
15x31	947.2155668062047	642.9320726173177	254.63858702089885
15x33	1015.5566922629183	704.2584718695259	263.70383994170425
16x12	1057.397387740295	1012.9267671455821	1184.2514579260605
16x14	976.3800294967117	958.6121019473934	1062.223517909484
16x16	903.4202222664712	856.602392011603	941.608378254994
16x18	841.7750732826433	761.8510838740073	823.336233868035
16x20	798.5743386811274	678.5660280326447	709.5798012908765
16x22	771.9662355310626	607.219522742805	599.5977224773288
16x24	765.0587964333196	554.6350169255451	487.46355966369407
16x26	778.3929095257739	527.3168322744873	377.1569986093323
16x28	813.8669397389231	531.9260809548634	283.3462115504635
16x30	865.588476124769	564.9343413176437	216.87971320526952
16x32	931.9387587175461	621.5914172509143	195.05601759494635
16x34	1010.2214287966772	697.0918843308965	239.92693721214377
17x11	1062.8263845050137	987.0060605690319	1232.6662498827488
17x13	973.4596653174697	938.6433827604603	1108.6176076537843
17x15	892.2217923812441	873.4545476440087	984.0346776409863
17x17	820.8984931159272	770.6288445159576	862.0409827844614
17x19	765.6193268197975	677.5781531306922	742.930517343311
17x21	726.2562613843681	593.4958442988457	625.5642870241234
17x23	707.9612520470312	525.4266213278501	514.000597665022
17x25	712.5405796163471	481.6795590431464	404.3090867146075
17x27	738.5535235851224	468.3415710782034	292.3850666501281
17x29	786.2686291592715	490.5489957180628	199.18965133761336
17x31	849.0366573947206	540.0557430488079	141.32560136082915
17x33	925.2400791146048	612.2237532144601	157.45273576537187
17x35	1011.4033413035575	699.3163510171918	244.18689317815588
18x10	1070.5449326394478	966.5013465070806	1276.981649359144
18x12	975.3924358943943	910.5738871722604	1151.6438703001897
18x14	886.6909923981409	866.7814234280751	1026.2437702612376
18x16	807.7631400354932	784.8302812710529	900.9396929872719
18x18	740.6999179154807	682.3394524721546	778.0136042512365
18x20	690.9391049868287	589.5100056826855	657.0409171429126
18x22	661.9171177723084	509.9077081198126	539.1058437820907
18x24	655.0396046041795	448.29107017650904	426.09581504633405
18x26	673.3954540981101	418.04152616695853	319.3983055684545
18x28	714.0234730035141	424.8115346833229	204.7774401637055
18x30	773.8717216696833	466.8655926495332	115.90220705405036
18x32	848.1657934625754	535.3201408503141	86.90093900528353
18x34	933.8271062675359	621.6742751634491	167.31474651087984
19x9	1086.210292162618	950.5289468501209	1331.5217455227685
19x11	984.8939794719022	885.6214489272488	1204.947231541697
19x13	889.5831133738993	833.343983958605	1078.9595152738586
19x15	800.4040704544173	791.8513724178293	951.1551061735407
19x17	723.8976814440006	700.059578321731	826.1760182915018
19x19	661.6396448218621	597.3450758146415	701.9178154171611
19x21	618.0726125626339	504.516872264942	578.9007465878757
19x23	597.0067098450402	425.25076319743386	456.9837760796328
19x25	603.5661388779193	372.6510485695699	341.7265632051451
19x27	635.9069482243451	358.19682689828494	237.3012574766512
19x29	691.8341804218696	388.5415462984622	120.9912939016689
19x31	763.7326008492761	451.3182088061591	34.974928162899715
19x33	847.8493168010456	535.625675262118	83.47540955275377
19x35	942.164470143085	634.6881193153062	204.68074848407238
20x10	1001.7965631803694	868.7102129018627	1262.0290305694239
20x12	899.8322432542634	806.241592824384	1135.2253635291981
20x14	802.1011891276561	756.8511594758907	1006.4972914022173
20x16	715.2164494752618	720.2180569799675	879.1998689717826
20x18	640.8977918513993	615.44184095656	753.1632888026339
20x20	583.1768681969477	511.0892090428049	626.9723276190105
20x22	548.2039919591977	418.7853111082098	502.23964080904653
20x24	540.6000369959291	344.2478758104397	378.57126145548864
20x26	561.8664884116153	303.3983368444854	258.8117284823079
20x28	608.9319820801006	312.2909521583999	154.09399339364288
20x30	679.4152950883575	367.6279956695354	44.660756822964686
20x32	763.0038007769028	450.6615581564505	5.909314681077478
20x34	856.6463151149371	549.8163595237961	128.65095879938107
20x36	959.0998183713727	651.2533620642583	252.50913171606297
21x11	917.3580119015692	787.0987752499682	1194.892933278961
21x13	813.7058067876867	726.7802006108864	1067.0270943139167
21x15	716.3842572251291	682.4587342836195	938.3940771339086
21x17	631.0251002931659	645.2230910313115	810.9929205609628
21x19	560.8219000716713	532.8263165422666	683.9809965196399
21x21	507.9787113649546	425.87675588132305	556.2907613829302
21x23	482.7593955584916	333.0489963954252	429.7974802159731
21x25	490.6150817086648	264.2034034602883	303.2713609953963
21x27	529.9449499712209	244.15374254760027	179.10402005538552
21x31	677.1625450362711	364.6725001970946	0.33526109228493334
21x33	770.9516996543949	464.87848218647446	58.76430208893865
21x35	874.1747358509053	565.802075641297	186.25925158230407
21x37	983.3420070351923	673.2625214580121	312.9360043203724
22x12	827.5673459000179	699.670488158533	1127.8678078569314
22x14	723.7198643121523	644.3288306447259	1000.1954419012317
22x16	626.6529719070993	604.2990544424175	872.2060233683322
22x18	543.1901177304311	561.460331635281	744.3634219922416
22x20	474.76649755432396	445.62875490704124	616.4736386902524
22x22	431.9756886677767	337.1320744159476	488.87560340029256
22x24	421.66873253775884	243.45989402774313	360.4384552180854
22x26	449.57419231979947	185.77404124365705	232.74087393494068
22x28	510.18665211861446	202.7402772021387	105.22366653942439
22x30	590.9394026463291	278.4935503741516	0.4664761515878237
22x32	685.6909394180444	381.3833562178614	48.68987985197784
22x34	789.8619628770588	480.81946757592925	143.52087095610875
22x36	900.3956685813187	590.2835928602454	262.040378567884
23x13	743.0410693898418	618.7333438566243	1066.846170167002
23x15	637.5400050192926	568.5635391053488	938.4419736989602
23x17	541.7711048034952	534.9685691701893	811.9102721360287
23x19	460.3246093790771	482.7344880987891	683.8395615932146
23x21	395.76966483044134	363.2247067587774	556.441216661742
23x23	364.34978852745314	250.84650366309648	429.8007543036656
23x25	375.2636246693783	159.34311406521462	303.6712498739384
23x27	425.7738634533594	126.67084431707237	180.83037023686032
23x29	504.7442164106492	192.0529197903539	71.02453097345987
23x31	600.6961108580613	298.1668284702377	50.61519139546932
23x33	704.6954306649079	395.1162993347655	130.7198913708243
23x35	817.5338351407848	507.6522152024947	228.39643517358186
23x37	933.6887918359095	625.210364597389	340.7007484582328
24x12	767.126603632021	601.4021499795289	1132.9870016906636
24x14	657.2007407177807	538.0266290807544	1007.6813452674412
24x16	552.3714623330933	495.59305120229436	879.6809605760487
24x18	455.5619163187371	470.6958461682024	754.4702907338365
24x20	376.0135710316848	404.7662604516339	628.1314238278483
24x22	320.448528784265	282.6008839335076	503.61205267546933
24x24	307.0101561837981	164.831902251961	380.3340058422333
24x26	344.2936514082127	76.50724410145726	262.29120915501534
24x28	419.68268060524014	106.78760414954536	156.25668753688595
24x30	514.469970746593	211.9795056131609	91.01225631748707
24x32	621.3252945116595	311.3042910080107	126.19747065611121
24x34	734.7312809456255	425.47852495748805	215.57378133715616
24x36	851.892118052515	545.1581979572536	312.9133758726208
24x38	878.4788962746915	668.7298192842908	422.56674171070307
25x11	803.5825197202836	597.730027688086	1163.5799353718678
25x13	687.2284700156126	519.8045113309425	1061.4092377589334
25x15	573.1618609084171	460.5897510800688	953.7694683727298
25x17	466.4070025203307	421.75458740836444	827.8797328114755
25x19	371.58623925005594	415.4402642980092	704.0986956386157
25x21	293.349812340148	332.04787666841054	580.9543118008506
25x23	249.56220547190233	205.24262325355315	461.1971101383875
25x25	265.5018832324921	81.8154630861425	346.2267031873769
25x27	332.41835087732466	19.250974001333226	243.8541367293159
25x29	428.8139969730466	126.48448126153662	166.3728463421841
25x31	538.417647927703	228.32591530529336	153.07790042981372
25x33	652.8662472513034	345.3776147928526	209.65900123772442
25x35	772.2986274751499	468.76515442170006	301.0557589550484
25x37	829.7727064684641	595.15260597598	399.14802316935015
25x39	816.3909421349553	720.0192291876659	506.0985777494344
26x12	726.5783385155381	514.1318916387117	1080.9649772309924
26x14	606.8062840808423	437.1939002319221	976.5460902589286
26x16	490.6965253596155	385.131769658126	877.8656389220389
26x18	383.95401235043755	355.4162680576115	784.8051755690708
26x20	287.36663759037845	366.1094158854699	663.6754209702209
26x22	212.91237728229893	269.3339198838497	545.7331952520389
26x24	191.57368608449332	141.8986863927921	434.49192995957924
26x26	244.68371829772414	17.044705922954453	332.4912660507039
26x28	340.2634273618018	41.538415954390906	249.4259810043853
26x30	451.1950926151568	141.98032117163274	205.67112485713733
26x32	568.6940368950603	265.29392680572266	230.6468894219041
26x34	689.7130823755631	391.3623078427459	291.57060208464117
26x36	789.3662840532271	517.8558200889511	382.5168367536258
26x38	764.438777143075	645.2616244594127	480.22836650910176
26x40	758.8782039299849	772.5759563952275	546.3480652477867
27x13	647.5946204223749	428.4012049469515	995.5120252412825
27x15	526.5892520741379	356.6796887965447	891.2770839643528
27x17	409.0537866833651	312.7346485440972	793.8503639855561
