	dist_type_ambigious
11x33	252.4862768548024
12x30	274.3071635958492
12x32	208.21359225564484
13x31	189.36074038723018
13x33	136.48095105178584
14x30	199.75297244346578
14x32	98.34393728135933
14x34	93.54277096601325
15x29	246.0358510461431
15x31	122.61635290612756
15x33	18.725917868024464
15x35	120.90264678657819
16x30	179.61347388211155
16x32	52.890925497668995
16x34	60.39751650523424
16x36	175.82229665204576
17x29	248.34421676374893
17x31	133.49794005901373
17x33	57.86000345661938
17x35	130.42116392671832
17x37	133.31444032812047
18x28	327.373670291305
18x30	209.2578552886366
18x32	122.55692554890564
18x34	122.84644887012374
18x36	68.72357674044603
18x38	136.21659223457357
19x29	295.27588794210754
19x31	199.7951450861609
19x33	158.17373359695318
19x35	36.94157549428531
19x37	57.297207610842655
19x39	181.8447964611583
19x47	580.4154374239197
20x28	379.89316919365643
20x30	285.30182263701
20x32	223.01569451498236
20x34	95.51068003108325
20x36	12.520782723137119
20x38	124.2566698410996
20x40	250.12268989437965
20x44	438.8028486689665
20x46	501.45988872491097
20x48	568.9841561941774
21x29	371.9815586826851
21x31	295.93426634980955
21x33	177.03027989584152
21x35	73.83258088405145
21x37	99.72933369876701
21x39	177.55956746962408
21x41	245.9514789546914
21x43	357.34276262434656
21x45	421.6343439521976
21x47	484.89456585942486
21x49	557.0598980361088
21x51	624.2169494654884
22x28	456.45995443193056
22x30	373.1024658187079
22x32	258.38918321013375
22x34	158.32059246983627
22x36	120.26903175797172
22x38	106.70117150247209
22x40	163.0713034227667
22x42	275.74252483068346
22x44	345.9685823886326
22x46	408.74658408358613
22x48	480.64948767266975
22x50	543.4717379956387
23x29	453.8478709876249
23x31	341.6510646844234
23x33	230.38613239515954
23x35	127.60979586222972
23x37	64.13930152410457
23x39	80.01562347441904
23x41	195.3214017971407
23x43	269.5555601355682
23x45	325.56936280921775
23x47	404.4869960826922
23x49	461.1901560094273
24x28	482.86359357483116
24x30	393.291469523558
24x32	274.4636223618713
24x34	149.56557090453663
24x36	43.46952955807062
24x38	0.4472135955001613
24x40	122.50065305948372
24x42	199.53811665944932
24x44	242.79672567808632
24x46	319.68360921386
24x48	380.2555588022351
25x27	458.1256268754236
25x29	409.73496311640275
25x31	310.3538786611178
25x33	208.38526819331537
25x35	80.07877371688454
25x37	18.086735471057505
25x39	87.54907195396204
25x41	154.56924014822573
25x43	158.06960492137637
25x45	235.25452174187842
25x47	299.4931718754204
25x49	367.8783494580783
26x28	371.0106871776064
26x30	331.2871865919355
26x32	225.48669583813586
26x34	138.01220960480248
26x36	85.07843440026376
26x38	102.09965719824929
26x40	151.4340120316436
26x42	78.73969773881515
26x44	134.63580504457207
26x46	209.73757412538188
26x48	269.7079346255873
27x27	350.75400211544286
27x29	293.91869624098416
27x31	249.93651193853216
27x33	139.9114005361963
27x35	62.87590953616477
27x37	126.64691074005736
27x39	183.60185184251299
27x41	68.40847900662601
27x43	49.896392655181096
27x45	143.7005567143007
27x47	186.23479803731635
27x49	277.05394781522256
28x28	268.14013127467484
28x30	224.54919282865367
28x32	163.7207989230445
28x34	58.6809168299199
28x36	47.32293312972049
28x38	169.08060208078277
28x40	135.08071661047677
28x42	10.59481005020854
28x44	75.8071236758133
28x46	102.8250942134265
28x48	192.8142370262114
29x27	260.7647407146908
29x29	187.56868075454392
29x31	145.4748088158222
29x33	75.90322786285151
29x35	0.3999999999996362
29x37	113.54162232415057
29x39	211.09552340113692
29x41	93.96680264859505
29x43	5.52268050859391
29x45	29.901504978846887
29x47	107.92821688511333
30x28	176.9976553517022
30x30	112.4636830270107
30x32	87.76018459415408
30x34	0.22360679774997896
30x36	78.62340618416401
30x38	199.415195007803
30x40	171.7023587490863
30x42	50.49722764667393
30x44	53.65230656737856
30x46	39.95309750194628
30x48	164.3095858433101
31x27	175.46492526998074
31x29	90.33028285132296
31x31	41.57559380213317
31x33	45.98608485183324
31x35	54.715354334958064
31x37	163.50217123940604
31x39	249.6894471138098
31x41	135.81226012404028
31x43	20.52729889683455
31x45	36.717979247229785
31x47	111.1626286123176
31x49	235.65629633005804
32x28	88.74018255559304
32x30	4.669047011971111
32x32	23.830442715149236
32x34	76.21686165147483
32x36	141.1391511948406
32x38	242.8918483605411
32x40	215.9057664815833
32x42	91.19544944787546
32x44	0.3605551275464494
32x46	86.80092165409323
32x48	192.97771892112354
33x27	102.92662434958207
33x29	4.548626166217436
33x31	21.26405417600331
33x33	107.73694816542766
33x35	152.0082234617588
33x37	228.18336924500016
33x39	291.46968967630215
33x41	178.78814278357498
33x43	84.34032250353313
33x45	61.79943365436301
33x47	157.8415661351598
33x49	278.5760937338308
34x28	35.934662931492575
34x30	36.47739025752846
34x32	99.79859718452967
34x34	148.70013449893025
34x36	189.3000264130989
34x38	291.8548440577954
34x40	270.2645555747183
34x42	175.61779522588222
34x44	105.42001707455776
34x46	140.15081162804606
34x48	236.75307812148964
35x27	83.68327192456094
35x29	17.646529403823493
35x31	22.785302280198007
35x33	108.11290394767849
35x35	105.52672647249146
35x37	203.98541614537052
35x39	324.1459547796335
35x41	258.7060300804759
35x43	172.92359584510166
35x45	172.24009405478176
35x47	224.35411741262993
35x49	320.914459007381
36x28	51.474459686333894
36x30	3.736308338453793
36x32	46.98957331153359
36x34	28.000178570859152
36x36	129.0792392292427
36x38	248.05047873366416
36x40	345.9854476708522
36x42	263.61458609113413
36x44	220.88922563131086
36x46	243.5479418923512
36x48	307.7077347094156
37x29	76.4826777773894
37x31	0.4123105625619425
37x33	52.05170506333084
37x35	51.06397947673116
37x37	178.24547680095597
37x39	307.1463820395742
37x41	344.5928757243828
37x43	284.70182647815966
37x45	277.3424057009675
37x47	324.90260078983715
38x28	162.43106230028792
38x30	59.614176166411724
38x32	45.854116500048136
38x34	4.925444142409991
38x36	134.10000000000036
38x38	259.500019267822
38x40	383.76858912631224
38x42	366.36716555936096
38x44	337.28790372617897
38x46	356.8547323491733
38x48	410.1244932944144
39x29	123.87610746225448
39x31	6.356099432828124
39x33	41.723135069167554
39x35	80.02130966186454
39x37	200.8796903621671
39x39	328.4661321963042
39x41	441.0868508581956
39x43	402.1078710992863
39x45	395.8592300300705
39x47	437.11587708524166
40x30	72.8486787800573
40x32	0.8944271909999159
40x34	83.46556176052505
40x36	163.35363479274045
40x38	275.1210642608088
40x40	400.6480375591527
40x42	472.5922238039895
40x44	453.39539036033455
40x46	465.861449360215
41x29	129.00189921082557
41x31	5.303772242470186
41x33	65.0495195985336
41x35	159.8589690946369
41x37	243.8443150864914
41x39	354.9193852130372
41x41	474.22224747474706
41x43	518.0830242345334
41x45	516.3840624961231
41x47	541.413086284401
42x28	165.3302755093571
42x30	82.77306325127743
42x32	49.773286007657084
42x34	144.7706116585825
42x36	237.37838991786933
42x38	329.5003793624527
42x40	437.28929783382563
42x42	555.4772092534492
42x44	565.3231642167162
42x46	578.9286398166877
43x27	201.29446092726937
43x29	79.85912596566494
43x31	52.149209006465064
43x33	137.112289748221
43x35	227.91020161458334
43x37	323.190222624386
43x39	414.2551870526188
43x41	521.804532368204
43x43	633.3563057237214
43x45	626.835688199069
44x28	133.948236270583
44x30	8.918520056601162
44x32	88.80056306127796
44x34	217.86693186438387
44x36	313.6612822775554
44x38	408.09122754599906
44x40	499.96217856953973
44x42	606.6644047576882
45x27	197.69079391817914
45x29	91.8229818727317
45x31	52.93203188996268
45x33	164.64522464985149
45x35	286.036710930608
45x37	402.0436792190625
45x39	493.1262008857372
45x41	586.9832876666936
46x28	113.33971060488891
46x30	70.59121758405922
46x32	137.70130718333814
46x34	245.74446077175395
46x36	361.89636638131674
46x38	480.68103769547645
46x40	571.5588246191289
46x42	669.7829200569392
47x27	146.37257256740395
47x29	29.67086112670132
47x31	83.92359620511965
47x33	209.45510258764287
47x35	327.60112942418255
47x37	444.1573144731495
47x39	561.6574133758055
47x41	659.7137940046428
48x26	208.50671452018034
48x28	82.67587314325763
48x30	32.9164092816943
48x32	149.70855019002786
48x34	275.19456753359106
48x36	402.4045849639392
48x38	525.2704922228166
48x40	640.4877672524281
49x27	167.2829040876565
49x29	66.84676506757849
49x31	116.2398382655451
49x33	227.54272126350259
49x35	353.1884058119691
49x37	473.3874734295365
49x39	599.9415721551559
49x41	726.6731108276957
50x26	249.71539800340705
50x28	150.50797321072386
50x30	124.98995959676128
50x32	201.35962852568048
50x34	310.14204810054383
50x36	426.49062123334005
50x38	550.1121340236007
50x40	671.1853469795062
51x27	237.46073359610446
51x29	181.54737673676283
51x31	204.82599932625763
51x33	286.65044915366894
51x35	397.6836053950428
51x37	508.0426458477677
51x39	626.5009257774485
52x26	321.2227420342463
52x28	253.40333462683557
52x30	239.09537845805397
52x32	285.2841565877784
52x34	371.6148140211852
52x36	476.4263321857853
52x38	589.4281974931299
52x40	707.202128107658
53x27	335.73961636959064
53x29	294.7004071934753
53x31	309.72093891114304
53x33	368.2638320552268
53x35	457.8849746388283
53x37	561.8114363378519
53x39	673.9890577746797
54x28	365.43734073025456
54x30	355.86157421109687
54x32	390.7082927197733
54x34	457.88585913958974
54x36	545.1396243165599
54x38	647.2350191391072
55x27	441.28741201171835
55x29	410.6558656588263
55x31	423.36726373209365
55x33	465.41718919696154
55x35	538.2228720520898
55x37	632.2249995057143
55x39	730.9874485926556
56x28	480.5055358682146
56x30	469.2185524891362
56x32	495.24714032490914
56x34	550.324140847919
56x36	625.3919890756517
56x38	719.1622904463225
57x29	527.3258006204513
57x31	536.2461002189202
57x33	573.0487675582247
57x35	635.6315363479067
57x37	712.4479630120368
57x39	801.5522752759177
58x28	590.5987639675524
58x30	582.7143468287013
58x32	608.8364394482315
58x34	653.5132821909594
58x36	721.1896075235694
58x38	802.0623230148644
59x29	641.9715024827815
59x31	654.6560929220782
59x33	681.014684129498
59x35	739.3166642244718
59x37	804.0446007529687
59x39	887.3486180752188
60x28	704.6167823718085
60x30	701.8186945358468
60x32	720.2893932302493
60x34	759.1389859571177
