	dist_type_ambigious	dist_type_central	dist_type_portal
12x40	268.85773189551384	1126.3824750057147	535.5984316631257
13x39	213.18072145482557	1118.2067876739077	500.2947331323805
14x38	178.7015388853715	1112.2953025163777	470.6506560071916
14x40	154.85373744278826	1029.7689449580423	422.32319377462557
15x37	178.60025195950846	1110.8568089542412	451.5741910251291
15x39	100.65743887065652	1026.4379766941593	391.9873977566113
16x36	211.59343089992163	1119.4076022611243	452.49771270140116
16x38	100.79295610309246	1030.2943365854242	372.3691985113696
16x40	48.3712724662067	939.7102638579614	312.212395653984
17x35	270.41776938655454	1086.3741390515515	471.56226524182324
17x37	141.23855705861607	1035.3975709842089	368.3747141159391
17x39	10.78702924812935	938.0479518660013	283.98232339355206
17x41	97.26134895219202	854.5721561108807	240.2289949194308
18x36	204.5999999999999	1041.7502387808702	389.3047135599567
18x38	76.32889361179002	950.0724709199817	283.11993924836844
18x40	45.81899169558433	854.1850970369359	206.2682234373484
18x42	166.13082194463516	771.8743744936734	184.41705452587607
19x35	273.46546399865565	979.1459339649018	422.43882397336534
19x37	149.70734784906168	967.5541793615486	303.6591674888145
19x39	51.95267076869109	866.7857174642412	200.1116688251834
19x41	121.99987704911875	771.6754304757924	133.48172159513052
19x43	243.26637663269477	687.3858668899148	147.67575968993688
20x34	318.98716275110496	920.4164329258793	467.18691120364235
20x36	232.21268268550693	927.9361669856391	344.66814474215613
20x38	135.48730567842873	881.8179007028605	221.44572698519147
20x40	120.14611937137217	778.6614732988912	111.93520447115819
20x42	207.01171464436518	685.4795766468901	71.64530689445047
21x35	233.51498881228142	866.1374313583265	396.1050996894636
21x37	157.74919968101253	881.9149675563964	269.7947553233754
21x39	152.5133436785122	794.8854760278363	140.94438619540676
21x41	198.72236914851854	696.2101550537737	29.49203282244185
21x43	290.8288843976817	601.4176917916532	70.50134750485286
22x34	257.72716193680475	807.2075879227101	457.9282585733272
22x36	147.77432117928996	816.9216914735462	331.16287533478135
22x38	91.30443581776271	826.8354733560963	210.22297686028512
22x40	134.08523408638268	711.1683696565811	79.55029855380782
22x42	248.49758550134862	607.001359141806	9.01387818866016
22x44	371.2958927863331	515.2001940993422	130.0678284588471
23x33	305.9574153374943	753.7285585673397	504.9407291950213
23x35	180.03077514691728	753.1303207280926	400.8140217108177
23x37	61.76285291338112	770.1509267669551	278.40950055628457
23x39	51.04243332757555	738.6634754744541	155.14615689729467
23x41	169.66216431485273	626.0486003498447	56.29253947016422
23x43	296.9228350935644	520.9873031082426	94.97036379839778
23x45	421.3102538510073	432.22000185090883	202.52834369539525
24x34	240.35334405828405	692.7104229041164	431.13516442062553
24x36	113.34354855923651	702.452532204134	353.7017953022009
24x38	0.4123105625618322	734.235772759677	237.96590091859787
24x40	104.43299287102711	655.4435521080362	138.10231714203783
24x42	226.81181627066982	544.9877062833617	112.93626521184427
24x44	359.71277430750246	435.2898804245278	180.70716643232538
24x46	385.7109021015609	344.0530482352974	285.9952796813264
24x50	450.26074667907716	251.57889418629696	528.1699915746825
24x52	525.9670141748437	272.83933000943995	652.0295238714274
25x33	312.4386179715946	638.3786415600068	397.3649330275632
25x35	191.09306633156518	638.675629721379	364.15952548299487
25x37	87.06669857069343	657.5877203841326	326.1095061478582
25x39	76.02032622923963	688.3617435622058	226.08956189970394
25x41	184.0662109133559	571.7502689111741	167.63045665988017
25x43	303.24229586256627	458.4958996545114	189.70843418256354
25x45	339.51242981664143	350.83085668167774	265.52907562073136
25x47	331.0621844910712	258.7820897975747	370.4631830560225
25x49	366.2236065575236	199.72413474590365	484.3582661625589
25x51	440.28464656401565	199.12902852170998	606.4437071979562
25x53	534.1993073750659	254.88683763584194	728.5863709952312
26x32	404.9284504699562	581.3629245144551	378.54253393773325
26x34	289.494058660968	565.6124203021006	313.08818246621837
26x36	183.256023093376	576.7605829111418	291.9937841804172
26x38	112.27132314175321	614.1117569302841	319.86942648524587
26x40	155.45912646094484	623.4917321023592	255.24486282783457
26x42	231.8207281500082	499.9008401673274	233.11810311513787
26x44	304.5646893518681	385.4008951728056	269.852644974994
26x46	262.3440489128731	266.7860566071621	352.28085386520814
26x48	275.17216428992253	171.1622621958472	452.08176251647245
26x50	340.1301221591525	125.50896382330626	561.4770698790824
26x52	433.3602658297137	155.32327578312285	679.3200423953352
26x54	543.7852701204769	253.27301474890692	804.0455335365033
27x33	373.33288095210696	514.3036457191411	293.76017429188715
27x35	269.24876972792265	510.87581661300027	240.15599097253408
27x37	187.06963943943452	538.0868424334494	245.06295109624367
27x39	168.61891946042113	590.2016096216615	300.62059144376667
27x41	154.77525642039802	549.1802800538269	293.43104811863395
27x43	220.57844409642578	422.82224397493525	303.16934211757007
27x45	222.43776657753054	299.3585809693786	358.14125704810954
27x47	206.07554440059096	183.1609401591941	437.3654421647877
27x49	255.5457884606986	88.20459171721158	537.1871647759282
27x51	346.12673979338877	75.97183688709934	641.5984102224696
27x53	456.1868586445692	165.470390100465	758.5636756396924
27x55	573.1302120809894	286.32575853387686	878.5697695687008
28x32	427.8682624359979	467.1554880336953	296.3043199145095
28x34	330.0589189826567	452.4655677507404	211.58660165520863
