	dist_type_central	dist_type_portal
10x44	308.33600179025484	174.9225257078114
10x46	300.14333242635917	57.941522244414536
10x48	321.8590530030188	76.29711659034065
11x43	238.8589541968229	227.24656213021115
11x45	251.87814514165356	101.80176815753224
11x47	249.1218577323154	0.31622776601676605
11x49	301.02760670742475	74.2726059863258
11x51	390.10912575842167	188.6121151994221
12x42	182.14271876745428	298.153601353396
12x44	197.49091118327433	175.48065420438806
12x46	183.3504295059054	57.394947512825276
12x48	215.90785071414138	0.4472135954999579
12x50	303.3368095038914	117.10004269854083
12x52	410.7293634499486	229.36523276207308
13x15	1650.6536402286217	1183.3502609117893
13x17	1522.9833879593039	1090.8369264010087
13x19	1392.420697921429	1003.8216973148167
13x41	130.80003822629405	329.6253175955997
13x43	125.78688325894697	250.4011581442866
13x45	142.12628187636503	130.43266462048516
13x47	140.35558414256252	36.195165423023184
13x49	217.72976369803004	74.10971596221376
13x51	324.8613858247853	189.3814140827976
13x53	445.552477268391	159.91688466200182
13x55	567.506695995739	182.41943427168056
14x16	1575.329616302569	1092.3304445084368
14x18	1447.5199756825464	1004.3824371224339
14x20	1322.4966729636787	919.5304508280298
14x38	195.65645913181584	253.41043782764737
14x40	93.99430833832415	253.5715480885029
14x42	68.65777450514977	314.14756086909216
14x44	101.9482711967201	210.93091286011162
14x46	67.7213408018475	116.38290252438291
14x48	133.47194461758613	93.60961489077937
14x50	248.91309728497626	159.22289408247823
14x52	367.66513296748735	122.09524970284448
14x54	494.20097126573955	103.13874150870764
15x15	1637.2477454557693	1106.740882049633
15x17	1510.1798634599786	1009.832273201842
15x19	1379.2850793073924	914.9154769704137
15x21	1254.4093829368464	834.1520844546274
15x23	1125.952796523904	747.7000066871738
15x37	235.71781858824332	220.805547937546
15x39	115.47640451624709	194.4988431842204
15x41	13.900359707575781	227.72268222555266
15x43	15.990622251807393	295.90488336626015
15x45	58.14206738670365	202.54308183692672
15x47	50.35007447859449	146.13462970836176
15x49	167.92391134082123	168.982957720594
15x51	292.76722835727395	131.94335905986284
15x53	422.5539965495537	43.17267654431435
15x55	551.374147018157	98.39944105532317
16x14	1645.3080593007498	1123.7740030806906
16x16	1570.8999999999999	1017.3252233184822
16x18	1448.3	925.107285670154
16x20	1315.4000152045003	828.6129373839149
16x22	1188.1000042084	744.861879813969
16x38	170.7004686578216	143.63930520578253
16x40	37.701193615056624	146.1717482963106
16x42	10.607544484941018	231.35885546051637
16x44	30.239378300487967	285.46176626651754
16x46	9.100000000000083	221.3052416911991
16x48	102.53818800817596	205.43534262633605
16x50	229.38177782901596	179.6401959473435
16x52	360.5057835874485	48.54709054104029
16x54	486.72559004021974	20.400980368600024
17x13	1627.6425436808904	1151.0814263117966
17x15	1565.1092741403074	1040.2042299471773
17x17	1507.030938633975	932.2045108236712
17x19	1382.4305588346924	839.3659809642037
17x21	1254.503256273175	745.7592238785919
17x23	1124.5939089289075	659.0801620440415
17x37	231.94794674667824	134.43530042366075
17x39	105.41736099903056	71.67998325892657
17x41	0.5385164807135517	146.92817973418192
17x43	62.404166527564584	262.32933499706076
17x45	43.82236871735704	300.0803225804718
17x47	76.16153884999989	257.4889900558857
17x49	180.0057776850512	248.57127750405903
17x51	301.932608374783	120.9929750026835
17x53	405.9752948148446	4.50998891351187
17x55	489.2325622850549	93.70005336177803
18x14	1553.2556067820904	1077.3063538288445
18x16	1489.1751542380769	963.6630323925474
18x18	1440.6758171080683	859.6263199786288
18x20	1332.1631281491016	759.6563696830297
18x22	1190.22563407112	659.8265378112643
18x24	1066.4453103652338	578.2534046592374
18x26	939.4682804650724	506.0767234323269
18x36	302.4762470013139	143.41575924562798
18x38	184.12422437039595	52.508380283531615
18x40	64.18286375661319	69.9488384463962
18x42	63.728957311414035	186.67131541830443
18x44	113.65707193131463	314.197915333632
18x46	80.43985330667897	325.7569185757994
18x48	169.14993349097148	317.1865381758814
18x50	261.82515158021	197.93940992131917
18x52	321.2138228657042	86.04952062620686
18x54	409.0825833496214	56.99438568841681
18x56	517.0316237910404	169.0233711650553
19x13	1536.3576959809848	1109.4324540051998
19x15	1466.8993830525665	988.7901698540494
19x17	1410.691777107955	883.2695454955979
19x19	1365.0558083829394	771.907999699446
19x21	1273.739392497539	674.3690680925394
19x23	1131.632139875852	575.8386058610519
19x25	1003.7133505139801	489.27935783149474
19x27	878.2465542203965	417.6237660861746
19x29	753.8463636577417	381.1964585354904
19x35	385.7242797647042	189.1951902137046
19x37	261.17966995920636	57.643906876616064
19x39	151.16629915427583	0.2236067977497756
19x41	87.40051487262541	120.97706394188957
19x43	149.06978231687373	247.11980899960278
19x45	136.9883206700483	337.6225703355748
19x47	152.1943822879151	366.4998362891858
19x49	197.56867160559636	281.4003909023581
19x51	239.4363798590349	170.2896943446665
19x53	326.9472281576951	95.21496731081744
19x55	430.22000185951373	137.58724504836923
20x14	1449.7141683794084	1023.980356256896
20x16	1382.7210564680063	905.6517653049652
20x18	1333.55148756994	798.8952184110252
20x20	1286.6998756508838	688.3940513978893
20x22	1206.8740655097365	581.8623634503265
20x24	1075.7366313368714	487.73199607981417
20x26	951.0849909445528	408.00424017404515
20x28	826.8025701459811	341.21531325542804
20x30	699.0904447923745	321.30024898838775
20x32	585.1688645169015	339.8411393577887
20x34	455.624626200121	242.82545171377726
20x36	342.8014585733264	120.56301257019088
20x38	237.24006828527064	11.447707194018992
20x40	159.92338790808543	51.28635296060763
20x42	152.26204385860595	177.3655265264366
20x44	166.0496913577376	257.4468877263815
20x46	103.02567641127138	351.55979576737747
20x48	129.6000385802411	366.99232962011615
20x50	150.48737488573573	260.91310814138876
20x52	235.18205713871973	175.96022277776302
20x54	348.4182113495218	155.58872067087648
20x56	456.49326391525204	216.62248267435234
21x15	1369.0938061360148	943.6209249481486
21x17	1311.1060102066497	828.7976652959393
21x19	1257.6795975128164	714.5075017100938
21x21	1212.95758375963	592.9607912838756
21x23	1151.6844012141519	494.9872321585678
21x25	1026.2969794362643	410.64521183133246
21x27	901.9059208143606	324.5163940388835
21x29	778.400167009232	275.6099054823683
21x31	659.1992490893781	266.2582393091337
21x33	543.1702863743561	315.3860491524632
21x35	425.3463764980252	200.51319158598992
21x37	318.8848381469399	86.48664636809553
21x39	235.54371144227122	0.20000000000027285
21x41	200.30421862756677	116.06282781321534
21x43	197.3689438589566	163.9454177462731
21x45	78.74884126131617	265.3755452184697
21x47	58.434664369704436	342.93266102837157
21x49	77.79389436196116	343.4878309343725
21x51	152.1147264402762	256.6329869677706
21x53	261.6701931821813	214.27433350730553
21x55	382.19330187746624	235.95194425984306
21x57	501.806466678141	317.9215783805815
22x18	1227.4664679737689	742.4285352813426
22x20	1180.0700021608886	627.5920729263554
22x22	1143.8317402485382	514.1350503515587
22x24	1107.9916335424198	406.9489648592314
22x26	984.4866124026269	324.6109825622045
22x28	869.0575872748592	246.46072709460208
22x30	741.0981379007774	200.10009994999993
22x32	629.0084657617895	232.22155369388062
22x34	515.0456775859786	289.20278352740644
22x36	410.9385598845647	176.53469913872456
22x38	318.6271331823453	69.36173296566324
22x40	267.00833320329167	63.753039143244195
22x42	254.10883495069552	80.51645794494445
22x44	129.00387591076472	180.94695355269175
22x46	2.3021728866440703	282.91005637834775
22x48	15.600320509527913	300.86437143669906
22x50	67.53369529353492	341.4021089565791
22x52	180.75978535061412	282.81813944653567
22x54	305.1109306465438	267.4862239443373
22x56	436.284597481965	318.84298643689846
23x17	1203.5096717517476	786.9013470569229
23x19	1144.7029352631187	658.9608561970884
23x21	1104.4424702083852	545.9677371420403
23x23	1072.382939998581	430.4501945637846
23x25	1056.6709468893332	326.640612906601
23x27	949.3500092168326	242.69330439878206
23x29	822.5141032225524	158.9120826117383
23x31	708.3416689705612	155.83747944573543
23x33	596.4562431561932	223.83576568546866
23x35	494.3953984413689	215.49897911591142
23x37	407.5656634212454	112.92993402991041
23x39	339.27832232549156	4.666904755831149
23x41	316.1001423599805	19.258764238652542
23x43	199.7818059784223	105.19776613597845
23x45	87.8936288931116	232.65487314904883
23x47	17.910890541790277	227.24304169765037
23x49	0.6403124237430576	281.17718613002745
23x51	99.86435800624793	358.4219440826693
23x53	231.7849218564487	322.2372573120622
23x55	356.3448470232172	344.90730638825295
23x57	487.31883813372133	401.87989499351687
24x16	1189.295539384555	836.2993961494889
24x18	1124.7833080198159	706.523382486383
24x20	1070.4037088874456	586.768864204637
24x22	1028.9738043312861	461.92714793568894
24x24	1003.2216754037961	346.95580410190564
24x26	997.3190161628323	243.64732709389594
24x28	895.9056423530327	148.48137930393833
24x30	790.0909884310795	86.60005773670122
24x32	680.7467958059003	138.4637136581277
24x34	580.9372599515374	232.17859505130934
24x36	489.7204100300497	134.897294264933
24x38	420.94670684066426	57.73673007713514
24x40	380.50829163107596	0.3999999999996362
24x42	283.5786487026128	39.60113634733262
24x44	173.8372802364324	159.6709115650063
24x46	91.9198020015274	167.62830906502637
24x48	20.13578903345959	200.8757078394499
24x50	42.29846332906199	276.2758766161099
24x52	169.29294137677468	378.64772546524046
24x54	292.83512425936885	382.98983015218556
24x56	424.31626176709307	419.8262616845212
25x15	1178.6962967618078	889.1549696200318
25x17	1106.9364570742077	762.3358315073481
25x19	1044.7832789626757	633.8732523146879
25x21	993.4769901713877	505.7374121023674
25x23	955.2903328308103	383.0864393319084
25x25	940.6777397174869	264.41181894915354
25x27	937.8640679757382	153.60992806456233
25x29	876.2893129554874	70.51354479814495
25x31	767.0570057042698	52.32064602047627
25x33	665.3238083820536	151.1104562894312
25x35	573.8398469956577	145.04402779845844
25x37	507.05562811194585	50.91178645461195
25x39	454.5931037752332	6.007495318350245
25x41	369.97157998959864	0.4123105625618322
25x43	264.2163128953244	77.091244639064
25x45	176.01161893466033	128.82503638656556
25x47	104.44850405822015	120.61297608466487
25x49	56.035881361856084	188.21801189046707
25x51	123.04247234187083	293.47342298749993
25x53	241.27415941206837	406.4598627170956
25x55	364.28939045764156	452.05769543278444
26x14	1170.4679833297448	945.1510461296649
26x16	1091.842593966731	821.1699276032944
26x18	1023.5677310271165	688.4856570764563
26x20	960.1990626948143	561.698353211045
26x22	911.3136507262469	437.07684679012675
26x24	888.507833392593	313.80498721339643
26x26	872.3560568942017	180.8006913703595
26x28	874.0544891481306	58.15883423866056
26x30	864.9067695422436	0.5656854249493666
26x32	760.2358844463998	57.245087125446865
26x34	671.5761833180208	160.06676731914123
26x36	593.9325382566608	70.2015669340792
26x38	533.557691351179	34.348362406379806
26x40	462.03203352148654	10.285912696499235
26x42	353.6068438251724	14.261837188805808
26x44	268.8621393948952	133.11818057650893
26x46	198.14666285355383	50.94801271884871
26x48	127.95475762940583	91.36093256967135
26x50	123.92013557126239	203.7827274329206
26x52	205.35406010108508	311.9450111798551
26x54	322.4310779065816	432.89721643826744
26x56	426.98538616678707	520.473361470114
27x15	1087.0689858514038	883.4324988362155
27x19	940.8069408757567	624.1917173433175
27x21	882.6843150300111	495.3867176257351
27x23	844.6567409308944	367.1994144875506
27x25	819.124782923823	242.6281310977768
27x27	819.7970785505398	109.84648378532634
27x29	835.2202164698841	6.099999999999909
27x31	844.0005035543521	0.5000000000001819
27x33	755.269408886657	82.27198794243412
27x35	675.6166516598003	136.23164096493875
27x37	608.2281233221626	29.567718883944895
27x39	548.8030703266883	88.07161858396827
27x41	442.90668317378095	0.3605551275464494
27x43	351.9615035767406	86.51300480274637
27x45	284.56923586361205	50.148280130029924
27x47	204.26463227881612	10.031948963187576
27x49	173.30046162662134	123.31038074712123
27x51	199.76190828083327	230.4005642354206
27x53	289.8992411166335	345.8013447053092
27x55	395.6946297335864	466.94350836048676
28x16	1001.9934780226863	824.1021356603803
28x20	856.9922111664724	568.3465931981997
28x22	805.9350097867692	441.2800018129077
28x24	776.8776802045478	317.83569654776034
28x26	760.2657495902338	193.5897982849302
28x28	761.4756463604074	88.15191432975229
28x30	795.768031526776	51.001568603328266
28x32	818.9525322019585	34.73110997362451
28x34	713.5370487928427	151.1546228204751
28x36	621.0295001044634	116.19569699433818
28x38	548.4422759051308	103.6075769430019
28x40	493.19667476575705	12.75774274705356
28x42	440.46493617540085	0.40000000000009095
28x44	364.39419589230573	104.47358517826387
28x46	289.4984628629312	0.40000000000009095
28x48	236.00648296180333	47.12812323867796
28x50	234.21959781367568	145.82873516560483
28x52	287.1384683388835	269.3557127665942
28x54	377.18804328875564	397.4745526445691
29x17	919.5262802117184	768.4856407246655
29x21	784.7979676324344	521.040929294427
29x23	731.5728330111773	392.07908640987205
29x25	706.4474856633009	273.3595617497219
29x27	705.451011764814	169.01103514267945
29x29	721.8807172933763	122.60004078302784
29x31	751.0345131883089	97.84089124696276
29x33	728.1156844897653	124.82888287571956
29x35	635.2971981679123	203.71777045707125
29x37	535.6578385499458	149.6473187197152
29x39	470.71624148737385	52.61349636737676
29x41	419.6738257265991	17.638594048279728
29x43	409.9362023534879	67.17804700942128
29x45	369.5420138495757	72.48517089722544
29x47	309.80033892815544	0.5
29x49	286.4002793294728	68.95447773712775
29x51	308.93813296516225	192.8055237797925
29x53	369.0801674433352	328.0356230655449
30x22	697.0120945866004	462.1041657462093
30x24	658.1130981829791	357.2943464428174
30x26	645.7789869607092	251.3899361549703
30x28	653.3911539039996	188.22327167489146
30x30	682.2036352878806	163.32176829804436
30x32	735.1365859484887	150.0133327407938
30x34	640.6819023509245	211.12389727361554
30x36	541.9465010496884	214.48172416315566
30x38	454.1086323777603	93.55239173853315
30x40	390.17740836701415	0.6403124237430576
30x42	359.725242372564	62.98769721143979
30x44	372.81268755234174	146.51177427087538
30x46	379.3373828137693	49.16146865178066
30x48	348.5880663476593	30.689411854905373
30x50	346.2771289011162	142.46350409841838
30x52	387.21663187420086	270.6934059041709
30x54	458.7519809221539	397.6141094076016
31x23	618.6058033998711	439.36310723591697
31x25	595.4991603688455	337.64367312301295
31x27	587.1028019009958	266.4441780185861
31x29	612.1354425288572	231.57374635307877
31x31	653.8721969926537	206.87689576170692
31x33	656.1455021563432	225.73196494958364
31x35	553.9963267026233	285.963511658393
31x37	456.19426782895897	160.40701356237517
31x39	369.8867123863735	38.89190147061468
31x41	314.43881757823686	82.53829414278009
31x43	303.4601291767994	143.88206976548577
31x45	344.1117986933897	123.123230951758
