	dist_type_central	dist_type_portal
12x28	330.55123536299175	1028.6329370577241
12x30	386.9236906678111	983.0845855774567
13x27	258.3398730355033	1004.5676731808563
13x29	305.4837088945988	952.092189023731
13x31	386.90480327853265	911.9898501628185
14x26	199.13468507520204	991.5914192851809
14x28	224.25027536214984	928.9610250166578
14x30	299.54080923974277	878.8321207147585
14x32	400.63099480694206	838.509984436679
14x34	513.6800015573897	803.3220674175458
15x25	158.65391895569414	982.024249191434
15x27	147.2977338590108	909.3284238381642
15x29	213.3207237940095	849.5203653827258
15x31	316.834758194236	804.9416028507904
15x33	432.4147088155073	763.3578455744067
15x35	536.4991351344379	735.9562500583847
16x26	84.7277852891246	898.1539275647576
16x28	127.15845390692665	827.9216583711287
16x30	233.29717100727999	772.0021308260749
16x32	353.75325920760093	732.076941584694
16x34	473.8679394092831	691.251722601832
16x36	494.3217713190469	673.0138286840768
16x38	544.8338792696356	677.5504379749154
17x25	51.780034762444664	895.2541382199802
17x27	41.04961388368953	814.211809543438
17x29	154.58239615169677	747.0047102930473
17x31	280.025673108735	695.7365719868402
17x33	406.6435264454608	655.3600518798806
17x35	423.19868856129483	622.1359095888934
17x37	465.3000150440574	616.2834283022706
17x39	532.9662912417632	632.5646114034517
18x24	34.53705256677218	897.9736343568221
18x26	0.48332183894405834	807.8207929980508
18x28	93.49009145358673	730.9821319293651
18x30	220.6527887881771	668.5119992939545
18x32	348.38393189123974	622.3485872081657
18x34	364.3548407802481	583.2703061188695
18x36	391.6433939184985	562.0793431536158
18x38	455.7937305404715	568.6491755027873
18x40	536.9495268644904	602.1937847570332
18x42	524.6924356230037	658.7495669827798
19x23	61.670433758811704	909.0287357394152
19x25	0.2884441020372352	811.6640457726334
19x27	66.70503729104757	722.8293311702282
19x29	171.64717416840878	648.3171387523237
19x31	293.05095529617387	589.8378272033763
19x33	307.44539742855136	548.4365345233666
19x35	316.32612348650554	511.8423745646699
19x37	371.7097039357459	505.28010449650577
19x39	451.75928811702386	527.7012548781744
19x41	486.16079521080235	577.4399005957242
19x43	460.23342816444773	647.8883610623053
19x45	465.48015854599015	732.4742575681418
19x47	506.47438355755	828.2301257500844
19x49	572.840638223232	933.7607813567666
20x24	0.524976189936431	824.677243289761
20x26	68.74010474242834	726.5497106186195
20x28	150.46475334775238	639.2421778950448
20x30	230.40751376636993	566.6057733556902
20x32	268.183414848868	514.6546259385998
20x34	249.8370068664767	473.42459800901753
20x36	288.1295465584881	447.1194869383349
20x38	365.4585689240304	455.74059024844405
20x40	459.64546554926415	497.1065821330472
20x42	412.2813369532995	562.86497563803
20x44	401.3351198188366	647.6251372514814
20x46	428.8167893168362	742.754736639222
20x48	490.540000407714	850.0206421022964
