dist_roi_px	dist_roi_um
2x32_1	881.083565843785	3039.73830216106
2x34_1	775.078383132957	2674.0204218087
2x36_1	673.038431294974	2321.98258796766
2x38_1	579.377942279476	1998.85390086419
2x40_1	500.080673491788	1725.27832354667
2x42_1	445.761483306936	1537.87711740893
2x44_1	422.978923824816	1459.27728719562
2x48_1	469.656182755002	1620.31383050476
3x29_1	949.7751523387	3276.72427556851
3x31_1	909.192839831023	3136.71529741703
3x33_1	797.646569603355	2751.88066513157
3x35_1	688.273237893207	2374.54267073157
3x37_1	585.588558631399	2020.28052727833
3x39_1	492.395227434223	1698.76353464807
3x41_1	417.552679311246	1440.5567436238
3x43_1	372.773563976846	1286.06879572012
3x45_1	365.572674033495	1261.22572541556
3x47_1	394.428447249942	1360.7781430123
3x49_1	446.770198200372	1541.35718379128
4x28_1	871.258543717076	3005.84197582391
4x30_1	928.908418521438	3204.73404389896
4x32_1	826.410654577976	2851.11675829402
4x36_1	603.28303473577	2081.32646983841
4x38_1	500.42941560224	1726.48148382773
4x40_1	408.622674358631	1409.74822653728
4x42_1	338.423772805635	1167.56201617944
4x44_1	307.216096583496	1059.89553321306
4x46_1	323.027011254477	1114.44318882795
4x48_1	365.65954110347	1261.52541680697
5x27_1	795.066890267731	2742.98077142367
5x29_1	847.055470438625	2922.34137301326
5x31_1	863.094832564765	2977.67717234844
5x33_1	744.624522830131	2568.95460376395
5x37_1	518.702043566439	1789.52205030421
5x39_1	412.304984204654	1422.45219550606
5x41_1	323.265169790994	1115.26483577893
5x43_1	260.859828260313	899.96640749808
5x45_1	251.450452375811	867.504060696548
5x47_1	285.711550344049	985.704848686969
5x49_1	355.426419952147	1226.22114883491
5x51_1	449.539063931045	1550.90977056211
6x24_1	678.719006658868	2341.58057297309
6x26_1	717.118407238303	2474.05850497214
6x28_1	766.792618639486	2645.43453430623
6x30_1	830.546350302017	2865.38490854196
6x32_1	784.003673460782	2704.8126734397
6x34_1	665.159048649269	2294.79871783998
6x38_1	435.359828188132	1501.99140724906
6x40_1	327.749614797638	1130.73617105185
6x42_1	238.741408222369	823.657858367173
6x44_1	191.654115531078	661.206698582221
6x46_1	210.739293915492	727.050564008447
6x48_1	267.869016498736	924.148106920638
6x50_1	363.518431444679	1254.13858848414
7x23_1	610.933466099214	2107.72045804229
7x25_1	640.297993125076	2209.02807628151
7x27_1	687.69417621498	2372.54490794168
7x29_1	748.260656456024	2581.49926477328
7x31_1	824.057922721455	2842.99983338902
7x33_1	705.058536576928	2432.4519511904
7x37_1	465.141967575492	1604.73978813545
7x39_1	351.607238264516	1213.04497201258
7x41_1	242.262749922475	835.80648723254
7x43_1	156.406713410902	539.603161267611
7x45_1	138.93401311414	479.322345243782
7x47_1	184.442619803559	636.327038322277
7x49_1	278.712845057418	961.559315448091
7x51_1	390.319420475077	1346.60200063902
8x22_1	550.012018050515	1897.54146227428
8x24_1	566.783433067693	1955.40284408354
8x26_1	609.562630088164	2102.99107380417
