dist_parasite_px	dist_parasite_um
2x32_1	101.870751445152	285.238104046426
2x34_1	32.8283414140893	91.9193559594501
2x36_1	71.6151520280451	200.522425678526
2x38_1	64.5786342376487	180.820175865416
2x40_1	141.948159551296	397.454846743627
2x42_1	55.5166641649151	155.446659661762
2x44_1	51.2247010728226	143.429163003903
2x48_1	306.0237409091	856.866474545481
3x29_1	151.312392090007	423.674697852019
3x31_1	168.197562408021	470.953174742458
3x33_1	93.8490809757879	262.777426732206
3x35_1	4.34165866921815	12.1566442738108
3x37_1	104.619118711639	292.93353239259
3x39_1	139.860859428219	391.610406399013
3x41_1	101.575784515799	284.412196644237
3x43_1	13.3689939786061	37.4331831400971
3x45_1	121.240999665955	339.474799064674
3x47_1	245.791781799148	688.216989037615
3x49_1	355.285533057568	994.799492561189
4x28_1	134.282724130843	375.991627566359
4x30_1	91.5338735113946	256.294845831905
4x32_1	168.07965373596	470.623030460687
4x36_1	64.2091893734847	179.785730245757
4x38_1	176.794230675099	495.023845890277
4x40_1	179.01365869676	501.238244350927
4x42_1	76.8898562880695	215.291597606595
4x44_1	98.702228951529	276.366241064281
4x46_1	204.859097918545	573.605474171927
4x48_1	298.283925145154	835.194990406432
5x27_1	163.620169905791	458.136475736216
5x29_1	47.8724346571175	134.042817039929
5x31_1	84.2240464475556	235.827330053156
5x33_1	164.116056496615	459.524958190521
5x37_1	150.086674958172	420.242689882883
5x39_1	247.242795648326	692.279827815314
5x41_1	160.778014666185	450.178441065318
5x43_1	121.883756095716	341.274517068005
5x45_1	184.747746941607	517.2936914365
5x47_1	256.332381879465	717.730669262502
5x49_1	241.409071909073	675.945401345405
5x51_1	285.110101539739	798.308284311268
6x24_1	351.022634597828	982.863376873917
6x26_1	223.371014234166	625.438839855665
6x28_1	96.2773078144585	269.576461880484
6x30_1	20.160357139694	56.4489999911431
6x32_1	140.18188185354	392.509269189913
6x34_1	172.300203133949	482.440568775057
6x38_1	236.019024656912	660.853269039354
6x40_1	246.975727552324	691.532037146509
6x42_1	184.790313598955	517.412878077073
6x44_1	193.78261015891	542.591308444948
6x46_1	239.932594701095	671.811265163066
6x48_1	183.157336735387	512.840542859084
6x50_1	203.036080537426	568.501025504792
7x23_1	419.894867794309	1175.70562982406
7x25_1	294.73567819319	825.259898940933
7x27_1	173.430331833852	485.604929134785
7x29_1	74.4540798076237	208.471423461346
7x31_1	106.089867565192	297.051629182538
7x33_1	217.804361756141	609.852212917196
7x37_1	243.467554306524	681.709152058267
7x39_1	322.754163412341	903.711657554554
7x41_1	260.364820972419	729.021498722774
7x43_1	236.180143111143	661.304400711201
7x45_1	250.76734237137	702.148558639836
7x47_1	155.733361872143	436.053413242001
7x49_1	126.923796035259	355.386628898725
7x51_1	195.281463534049	546.788097895337
8x22_1	494.512709644555	1384.63558700475
8x24_1	372.593961303723	1043.26309165042
8x26_1	257.126428046593	719.953998530461
8x28_1	157.570841211184	441.198355391314
8x30_1	125.403548594129	351.12993606356
8x32_1	192.585046148449	539.238129215656
8x34_1	280.088646681725	784.248210708829
8x38_1	324.318886283238	908.092881593067
8x40_1	340.934861813807	954.617613078661
8x42_1	297.75056675009	833.701586900253
8x44_1	288.403484722359	807.529757222605
8x46_1	168.033627586861	470.494157243211
8x48_1	73.2781004120602	205.178681153769
8x50_1	110.04771692316	308.133607384849
9x23_1	454.052970478115	1271.34831733872
